#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -1037.044150285367 0.01419103482504339
-5 -4 1 2 -4477.3860051848 0.07660546958812044
-5 -4 2 3 -2567.683376489173 0.06979767394967805
-5 -4 3 4 -1392.446084063049 0.0564462545060751
-5 -4 4 5 -756.9441462565806 0.06010780510959449
-5 -4 5 6 -403.3149319847273 0.05458878236705106
-5 -4 6 7 -199.4194255393602 0.0459091145914072
-5 -4 7 8 -78.7678329773089 0.03902521016377198
-5 -4 8 9 -6.264856989775808 0.02317888334271736
-5 -4 9 10 37.7325682087336 0.0239184672157659
-5 -4 10 11 64.63936077229073 0.02063590117016793
-5 -4 11 12 80.32115348724778 0.02063449214774685
-5 -4 12 13 88.97465835893547 0.02045612259017897
-5 -4 13 14 93.07764835346666 0.01994013722507838
-5 -4 14 15 94.21116331786288 0.01929393302781117
-5 -4 15 16 93.4028996006432 0.01282407097677174
-5 -4 16 17 91.35855005874384 0.0121154277163859
-5 -4 17 18 88.53289820263046 0.01145050534742579
-5 -4 18 19 85.23756671959916 0.01082047352426629
-5 -4 19 20 81.68380117167902 0.01022834923880423
-5 -4 20 21 78.01565164697882 0.009677383753633199
-5 -4 21 22 74.33130056804166 0.009166324117802537
-5 -4 22 23 70.70022187287958 0.006975897462081739
-5 -4 23 24 67.15972395042286 0.006760899599112334
-5 -4 24 25 63.74094051595597 0.006547569993441434
-5 -4 25 26 60.46071785244541 0.006337746114588597
-5 -4 26 27 57.32816506365154 0.006133113898915095
-5 -4 27 28 54.3470128078618 0.005934825068388183
-5 -4 28 29 51.51727096359386 0.005743456722595134
-5 -4 29 30 48.836400884151 0.005559166846394258
-5 -4 30 31 46.29977587170686 0.004394120721279795
-5 -4 31 32 43.90068345187734 0.002136871186539977
-5 -4 32 33 41.63700909820886 0.002051823847686355
-5 -4 33 34 39.50016163475961 0.001970866969256177
-5 -4 34 35 37.48360447317846 0.001893811370145283
-5 -4 35 36 35.58081822246913 0.001820476034955788
-5 -4 36 37 33.78540885353372 0.001750683791170651
-5 -4 37 38 32.09118032528311 0.001684259424619633
-5 -4 38 39 30.4921813730582 0.001621029882202333
-5 -4 39 40 28.98273362371534 0.00156082564959285
-5 -4 40 41 27.55744633334596 0.001503482308878767
-5 -4 41 42 26.21122157370743 0.00144884201935359
