#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -1250.948370036221 3.883752483277509
-5 -4 1 2 -5003.0493650596 10.90003189005898
-5 -4 2 3 -2872.774298922877 6.933702946160195
-5 -4 3 4 -1502.012632394575 4.936310746876573
-5 -4 4 5 -774.7121764127644 3.606988446827123
-5 -4 5 6 -384.4543015898182 2.717254279041674
-5 -4 6 7 -166.5828204964082 2.167468163005783
-5 -4 7 8 -41.65687032797041 1.795170578419593
-5 -4 8 9 30.88010949941895 1.521328186641637
-5 -4 9 10 72.93875528244973 1.305334881138793
-5 -4 10 11 96.68577881241924 1.128239678497431
-5 -4 11 12 109.1727675503532 0.987953822924129
-5 -4 12 13 114.688522139222 0.8759810777543682
-5 -4 13 14 115.8714185451483 0.7799358689704674
-5 -4 14 15 114.3443672822797 0.6951139412269568
-5 -4 15 16 111.1365114864632 0.6224966635187977
-5 -4 16 17 106.927206579601 0.561445910440304
-5 -4 17 18 102.168431722549 0.5090431350278433
-5 -4 18 19 97.15510633402312 0.4626110038556254
-5 -4 19 20 92.07648416175334 0.4209293003991389
-5 -4 20 21 87.05394465293045 0.3836885754972249
-5 -4 21 22 82.16546161486957 0.3506459154459154
-5 -4 22 23 77.46006051974879 0.3213234601714136
-5 -4 23 24 72.96658888107399 0.2951263738879181
-5 -4 24 25 68.69969520767813 0.2715251470668879
-5 -4 25 26 64.66426583262512 0.2501326269073117
-5 -4 26 27 60.85871882495471 0.2306841002838911
-5 -4 27 28 57.27734201065485 0.2129844660490763
-5 -4 28 29 53.91187752763281 0.1968669288634577
-5 -4 29 30 50.752569301904 0.1821746740560958
-5 -4 30 31 47.78885655619807 0.168758680623095
-5 -4 31 32 45.00984162245754 0.1564816343633396
-5 -4 32 33 42.40461132752756 0.1452215321191029
-5 -4 33 34 39.96245832716903 0.1348727720539406
-5 -4 34 35 37.67303033425364 0.1253450079204686
-5 -4 35 36 35.52642584296503 0.1165608482292382
-5 -4 36 37 33.51325012792546 0.1084533546548786
-5 -4 37 38 31.62464231439358 0.1009638826994971
-5 -4 38 39 29.85228198634836 0.09404044162391587
-5 -4 39 40 28.18838181847382 0.08763653557124035
-5 -4 40 41 26.62567108541976 0.08171036498552134
-5 -4 41 42 25.15737347600493 0.07622426023282525
-5 -4 42 43 23.77718165030101 0.07114425232081709
-5 -4 43 44 22.4792302273571 0.06643971455161619
-5 -4 44 45 21.25806829258365 0.06208304508561412
-5 -4 45 46 20.10812383015633 0.0584951124424184
-5 -4 46 47 19.02536259833937 0.0572694562044738
-5 -4 47 48 18.00495054285214 0.05870891374619255
-5 -4 48 49 17.04287735432272 0.06252681223222419
-5 -4 49 50 16.13501196320226 0.06666131696985031
-4 -3.75 0 1 -448.1469963870973 2.073709239399484
-4 -3.75 1 2 -4449.070922569186 30.66675878717217
-4 -3.75 2 3 -3108.903522432023 14.76220011518061
-4 -3.75 3 4 -1878.67721273068 8.853286343678551
-4 -3.75 4 5 -1134.724889233857 5.901229793994495
-4 -3.75 5 6 -689.4813019553919 4.187641956981599
-4 -3.75 6 7 -415.9243366472163 3.096414478019065
-4 -3.75 7 8 -243.3961388161845 2.356247819980363
-4 -3.75 8 9 -132.1555781012794 1.830996225862064
-4 -3.75 9 10 -59.22089783856291 1.444652066993536
-4 -3.75 10 11 -10.85944170276912 1.153001348011879
-4 -3.75 11 12 21.35345710826243 0.9264597585888029
