#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -1046.590577902559 3.751270067292867
-5 -4 1 2 -4457.229835668759 10.65393441864722
-5 -4 2 3 -2540.798661487721 6.770593756799617
-5 -4 3 4 -1335.297485311964 4.727886038699517
-5 -4 4 5 -699.0759894613363 3.482012300518322
-5 -4 5 6 -355.841331050769 2.690072474049364
-5 -4 6 7 -162.7577941518962 2.163663257711351
-5 -4 7 8 -50.88048247397228 1.790297256621305
-5 -4 8 9 15.03904593844618 1.511906216335676
-5 -4 9 10 53.96694374725371 1.294766337062044
-5 -4 10 11 76.60031181408169 1.12061305601494
-5 -4 11 12 89.14912945568278 0.9841351008765996
-5 -4 12 13 95.34295721460114 0.8669468360134333
-5 -4 13 14 97.48817908195417 0.7686421939684873
-5 -4 14 15 97.07398563186104 0.6860249992990729
-5 -4 15 16 95.03842552815587 0.6151569274313007
-5 -4 16 17 92.00099064062573 0.5538868606734536
-5 -4 17 18 88.37174193135274 0.5005631551168959
-5 -4 18 19 84.42394754676189 0.4538665754004569
-5 -4 19 20 80.340026487069 0.4127330269556503
-5 -4 20 21 76.24128169943864 0.3763060131073873
-5 -4 21 22 72.20751301892312 0.3438944459944012
-5 -4 22 23 68.29014147111431 0.3149349625192738
-5 -4 23 24 64.52109078106838 0.2889622011680917
-5 -4 24 25 60.91885758038416 0.2655874158353327
-5 -4 25 26 57.49269882956085 0.2444833680100384
-5 -4 26 27 54.24554448168479 0.2253731619994162
-5 -4 27 28 51.17603692866592 0.2080214618362679
-5 -4 28 29 48.27996549734991 0.192227311109275
-5 -4 29 30 45.55127765054898 0.1778182194229546
-5 -4 30 31 42.98279171073656 0.164645333354703
-5 -4 31 32 40.56669786729616 0.1525795348498303
-5 -4 32 33 38.29490837558706 0.1415083017074156
-5 -4 33 34 36.15930000337394 0.1313331751237004
-5 -4 34 35 34.15187934891431 0.1219676961347153
-5 -4 35 36 32.26489288920496 0.1133357060159729
-5 -4 36 37 30.49089745159461 0.1053699297418645
-5 -4 37 38 28.82280241651752 0.09801078399318927
-5 -4 38 39 27.25389181815801 0.09120536834844015
-5 -4 39 40 25.7778322605038 0.08490660665796132
-5 -4 40 41 24.38867097979568 0.07907251429834521
-5 -4 41 42 23.08082715467252 0.07366557161097191
-5 -4 42 43 21.8490787415745 0.06865218651967862
-5 -4 43 44 20.68854651028391 0.06400223244127637
-5 -4 44 45 19.59467643208992 0.05968865092247253
-5 -4 45 46 18.56276279123675 0.05611858154570514
-5 -4 46 47 17.58944258079701 0.05486563320488427
-5 -4 47 48 16.67060594363607 0.05597612614018629
-5 -4 48 49 15.8028559542146 0.05945823336359135
-5 -4 49 50 14.9826545634691 0.06431299216978908
-4 -3.75 0 1 -346.7233400458752 1.918925073947303
-4 -3.75 1 2 -4000.236032014488 27.22589020425173
-4 -3.75 2 3 -2775.995529222776 13.11337361278581
-4 -3.75 3 4 -1676.798807327551 7.87632774668687
-4 -3.75 4 5 -1016.633321869482 5.260504881710615
-4 -3.75 5 6 -621.7507966803892 3.741312258132921
-4 -3.75 6 7 -378.9300600898255 2.773147365210562
-4 -3.75 7 8 -225.4100158661927 2.115843265217884
-4 -3.75 8 9 -126.0150737816814 1.648804507893594
-4 -3.75 9 10 -60.44394712575604 1.305164823193407
-4 -3.75 10 11 -16.64569501437472 1.045705066742794
-4 -3.75 11 12 12.80490487505358 0.8454472160929973
-4 -3.75 12 13 32.60200491725004 0.6884078893120157
-4 -3.75 13 14 45.78313879791392 0.5636449005202688
-4 -3.75 14 15 54.3682949395569 0.4635745532959281
-4 -3.75 15 16 59.72635353679675 0.3828079522966379
-4 -3.75 16 17 62.80133026866741 0.3174526440643218
-4 -3.75 17 18 64.25410345974291 0.2646651426720205
-4 -3.75 18 19 64.5532973536948 0.2223511172542624
-4 -3.75 19 20 64.03480827414836 0.2041694392088072
-4 -3.75 20 21 62.94154464426487 0.1896426432457664
-4 -3.75 21 22 61.45041818516177 0.1764568846896389
-4 -3.75 22 23 59.69096242108253 0.1644507915099015
-4 -3.75 23 24 57.75835606671964 0.1534870478020119
-4 -3.75 24 25 55.7226478413007 0.1434481614013919
-4 -3.75 25 26 53.63536496296973 0.1342330794301167
-4 -3.75 26 27 51.53429584142077 0.1257544638244585
-4 -3.75 27 28 49.44698326052256 0.1179364835775983
-4 -3.75 28 29 47.39329684042644 0.1183479777315529
-4 -3.75 29 30 45.3873414498926 0.1203178115483221
-4 -3.75 30 31 43.43888232505665 0.1223514961733591
-4 -3.75 31 32 41.55441547335033 0.1243018836677696
-4 -3.75 32 33 39.73797573157702 0.1260810329797628
-4 -3.75 33 34 37.99174943377291 0.1276404818582912
-4 -3.75 34 35 36.31654062792258 0.128957560336048
-4 -3.75 35 36 34.71212687656192 0.1300261250479342
-4 -3.75 36 37 33.17753137034654 0.1308503728798751
-4 -3.75 37 38 31.71123132282068 0.1314407440880936
-4 -3.75 38 39 30.31131763358798 0.1318112275209992
-4 -3.75 39 40 28.97561713728605 0.1319776004408598
-4 -3.75 40 41 27.7017860730636 0.1319562911768132
-4 -3.75 41 42 26.48738129844197 0.1317636562443877
-4 -3.75 42 43 25.32991429653052 0.1314155330702739
-4 -3.75 43 44 24.22689186214241 0.1309269762849146
-4 -3.75 44 45 23.17584642841131 0.13031211467938
-4 -3.75 45 46 22.17389498399272 0.1296595716927017
-4 -3.75 46 47 21.21950353865059 0.1292434975453389
-4 -3.75 47 48 20.30993242866764 0.1290781163020788
-4 -3.75 48 49 19.44299427942936 0.1291337134855234
-4 -3.75 49 50 18.61643248702791 0.1291832347325804
-3.75 -3.5 0 1 114.5417593643489 1.674917345387382
-3.75 -3.5 1 2 -4705.590143200735 24.12248900403446
-3.75 -3.5 2 3 -3676.42443144353 16.40986670614378
-3.75 -3.5 3 4 -2337.194045334511 11.76437507533942
-3.75 -3.5 4 5 -1479.048863494975 8.908804544275103
-3.75 -3.5 5 6 -945.6841375588167 7.016621060411295
-3.75 -3.5 6 7 -607.9366704441852 5.68698545922757
-3.75 -3.5 7 8 -388.7230033501573 4.710299973621458
-3.75 -3.5 8 9 -243.1032285406968 3.967855878161765
-3.75 -3.5 9 10 -144.4533561896817 3.388098953668718
-3.75 -3.5 10 11 -76.57121379005434 2.925249042729921
-3.75 -3.5 11 12 -29.35694261994649 2.549064739775789
-3.75 -3.5 12 13 3.691117941027187 2.238638599593151
-3.75 -3.5 13 14 26.85148041793195 1.979156230925113
-3.75 -3.5 14 15 43.00590723876314 1.759841021002465
-3.75 -3.5 15 16 54.13451791948728 1.57268163634511
-3.75 -3.5 16 17 61.6219757642674 1.411609061833089
-3.75 -3.5 17 18 66.45152294961929 1.271949011040009
-3.75 -3.5 18 19 69.3307461072236 1.150048368279056
-3.75 -3.5 19 20 70.77478854357707 1.043014679065855
-3.75 -3.5 20 21 71.16244738642735 0.9485308844542656
-3.75 -3.5 21 22 70.77463820354126 0.8647212361504378
-3.75 -3.5 22 23 69.82117766666391 0.7900527098274145
-3.75 -3.5 23 24 68.45969340682274 0.7232614758354851
-3.75 -3.5 24 25 66.80914480125062 0.6632973415450161
-3.75 -3.5 25 26 64.95960180885061 0.6092812720050488
-3.75 -3.5 26 27 62.97939145010673 0.5604725547103547
-3.75 -3.5 27 28 60.9203701675583 0.5162431639173427
-3.75 -3.5 28 29 58.82184720715634 0.4760575596610323
-3.75 -3.5 29 30 56.71352709563189 0.4394566327081689
-3.75 -3.5 30 31 54.617732245898 0.4060448424740807
-3.75 -3.5 31 32 52.55109268236706 0.3754798365177474
-3.75 -3.5 32 33 50.52583817044891 0.3474640142447327
-3.75 -3.5 33 34 48.5507915211719 0.3217376268272064
-3.75 -3.5 34 35 46.63213578415949 0.2980730986703821
-3.75 -3.5 35 36 44.77400927649569 0.2762703279433232
-3.75 -3.5 36 37 42.97896876173232 0.2561527761150256
-3.75 -3.5 37 38 41.24835113662866 0.2375641979148417
-3.75 -3.5 38 39 39.58255659232196 0.2203658934995812
-3.75 -3.5 39 40 37.98127074394665 0.2044343893551042
-3.75 -3.5 40 41 36.4436391823094 0.1896594724212481
-3.75 -3.5 41 42 34.96840471323888 0.1759425171427444
-3.75 -3.5 42 43 33.55401531146522 0.1631950566500853
-3.75 -3.5 43 44 32.19870900158473 0.1513375575842645
-3.75 -3.5 44 45 30.90058048723546 0.1402983666840768
-3.75 -3.5 45 46 29.65700627691903 0.1301220403683784
-3.75 -3.5 46 47 28.46708739286723 0.1211815328235015
-3.75 -3.5 47 48 27.32813121561746 0.1135421715984366
-3.75 -3.5 48 49 26.23808631076984 0.1072027924126957
-3.75 -3.5 49 50 25.19475752898359 0.1017637551726311
-3.5 -3.25 0 1 725.514162074972 0.4259281472042406
-3.5 -3.25 1 2 -4925.67142137458 18.18070796804097
-3.5 -3.25 2 3 -4316.829472743761 14.82166277529104
-3.5 -3.25 3 4 -2859.141658998679 11.30485632925635
-3.5 -3.25 4 5 -1868.226232516602 8.870717086031423
-3.5 -3.25 5 6 -1232.605118038889 7.162252704428742
-3.5 -3.25 6 7 -820.6529030724155 5.917840905811661
-3.5 -3.25 7 8 -547.8504150994202 4.980152863368181
-3.5 -3.25 8 9 -363.1564955001779 4.253384419782638
-3.5 -3.25 9 10 -235.6280132283221 3.676771725555497
-3.5 -3.25 10 11 -146.0793677159081 3.210275559603212
-3.5 -3.25 11 12 -82.41669141842613 2.826764194120869
-3.5 -3.25 12 13 -36.73153520273763 2.50706442796433
-3.5 -3.25 13 14 -3.764116369007525 2.237378574462851
-3.5 -3.25 14 15 20.06692084976294 2.007530102477255
-3.5 -3.25 15 16 37.24825892806359 1.809863410715606
-3.5 -3.25 16 17 49.5367548087014 1.638518398475343
-3.5 -3.25 17 18 58.19283749812269 1.488939875453606
-3.5 -3.25 18 19 64.13309455470346 1.357538204241181
-3.5 -3.25 19 20 68.03204420255213 1.241449762585235
-3.5 -3.25 20 21 70.39126908915694 1.138364766257439
-3.5 -3.25 21 22 71.58716825920692 1.046401467163661
-3.5 -3.25 22 23 71.90444431930337 0.9640128618909292
-3.5 -3.25 23 24 71.55991319773415 0.8899165695068154
-3.5 -3.25 24 25 70.71964716911674 0.8230414706266674
-3.5 -3.25 25 26 69.51145996042533 0.7624866402377818
-3.5 -3.25 26 27 68.03409515551425 0.707489411594432
-3.5 -3.25 27 28 66.36405335071862 0.6574003015779493
-3.5 -3.25 28 29 64.56070951017892 0.6116631479334645
-3.5 -3.25 29 30 62.67017959151576 0.5697992446605026
-3.5 -3.25 30 31 60.7282637361867 0.5313945732868682
-3.5 -3.25 31 32 58.76270172312883 0.4960894523393406
-3.5 -3.25 32 33 56.79491210455546 0.4635700901531049
-3.5 -3.25 33 34 54.84134083212786 0.433561648222795
-3.5 -3.25 34 35 52.91451248444048 0.405822511131797
-3.5 -3.25 35 36 51.02385354403546 0.3801395265744039
-3.5 -3.25 36 37 49.17633990195949 0.3563240312948107
-3.5 -3.25 37 38 47.37700809485426 0.3342085160193391
-3.5 -3.25 38 39 45.62936033524758 0.3136438139032056
-3.5 -3.25 39 40 43.93568635376343 0.2944967201146033
-3.5 -3.25 40 41 42.29731986763591 0.2766479673432957
-3.5 -3.25 41 42 40.71484334528196 0.2599904977961562
-3.5 -3.25 42 43 39.1882518281129 0.2444279822303942
-3.5 -3.25 43 44 37.71708417964288 0.2298735465382975
-3.5 -3.25 44 45 36.30052831486385 0.2162486725111936
-3.5 -3.25 45 46 34.93675297182661 0.2035707692666592
-3.5 -3.25 46 47 33.62588194130804 0.1921174222911757
-3.5 -3.25 47 48 32.36573725098926 0.1819092505431766
-3.5 -3.25 48 49 31.15480243506636 0.1729165535724508
-3.5 -3.25 49 50 29.9913240776521 0.1647961067853077
-3.25 -3 0 1 1381.678134565583 1.229552040440255
-3.25 -3 1 2 -4790.269145255609 8.459918859278613
-3.25 -3 2 3 -4712.270480178166 9.299662193977477
-3.25 -3 3 4 -3231.073616837768 7.659915787589118
-3.25 -3 4 5 -2165.676761189761 6.260188516536411
-3.25 -3 5 6 -1463.259961087501 5.19415186140113
-3.25 -3 6 7 -999.128908123565 4.380849607589293
-3.25 -3 7 8 -686.7488048716182 3.748666565955312
-3.25 -3 8 9 -472.0873260108276 3.247252699993529
-3.25 -3 9 10 -321.6991177623793 2.841967360450234
-3.25 -3 10 11 -214.5105025382654 2.509339132752678
-3.25 -3 11 12 -137.1082441451299 2.232302406897912
-3.25 -3 12 13 -80.60614867501408 1.998781789931818
-3.25 -3 13 14 -39.04229650275647 1.799838431907059
-3.25 -3 14 15 -8.321494149565297 1.628763826100625
-3.25 -3 15 16 14.42344381189878 1.480436885455185
-3.25 -3 16 17 31.23454946618381 1.350887958513225
-3.25 -3 17 18 43.58848157766113 1.236997212671521
-3.25 -3 18 19 52.56758886656417 1.136282024368927
-3.25 -3 19 20 58.97476631968209 1.046744486173384
-3.25 -3 20 21 63.4119645464491 0.9667602712419798
-3.25 -3 21 22 66.33473984719024 0.8949964433816574
-3.25 -3 22 23 68.09072750043333 0.8303498496087365
-3.25 -3 23 24 68.9471489023714 0.7719003664049096
-3.25 -3 24 25 69.1107248902448 0.7188750112736941
-3.25 -3 25 26 68.74225682732742 0.6706201038067052
-3.25 -3 26 27 67.96741535151409 0.6265794588800333
-3.25 -3 27 28 66.88479992623735 0.586277150775268
-3.25 -3 28 29 65.57201286382451 0.5493037744673989
-3.25 -3 29 30 64.09027415162541 0.5153054094411613
-3.25 -3 30 31 62.48795391855862 0.4839746886501924
-3.25 -3 31 32 60.80329505589464 0.4550435221554638
-3.25 -3 32 33 59.06652499798821 0.4282771304026765
-3.25 -3 33 34 57.30150332524386 0.4034691221060792
-3.25 -3 34 35 55.52701416902215 0.3804374109145324
-3.25 -3 35 36 53.75778504440405 0.3590208094651748
-3.25 -3 36 37 52.00529368209365 0.3390761746955692
-3.25 -3 37 38 50.27840967663329 0.3204760030606543
-3.25 -3 38 39 48.58390671551564 0.3031063963991765
-3.25 -3 39 40 46.92687290273676 0.2868653333725599
-3.25 -3 40 41 45.31104054747786 0.2716611946655839
-3.25 -3 41 42 43.73905189869606 0.2574115003932707
-3.25 -3 42 43 42.21267385647809 0.244041824376809
-3.25 -3 43 44 40.73297183025633 0.2314848579520071
-3.25 -3 44 45 39.30045076127308 0.2196795995330799
-3.25 -3 45 46 37.91432894396524 0.2086708400359754
-3.25 -3 46 47 36.57589252300207 0.198790496388795
-3.25 -3 47 48 35.28372450278366 0.1900707707710078
-3.25 -3 48 49 34.03704419517149 0.1824836003220925
-3.25 -3 49 50 32.83473718589893 0.1756504077039325
-3 -2.75 0 1 2008.219973848939 1.930848185775365
-3 -2.75 1 2 -4474.019432811378 3.561137423722045
-3 -2.75 2 3 -4936.209997474034 5.367520659828599
-3 -2.75 3 4 -3482.951218068668 4.676632812034582
-3 -2.75 4 5 -2381.228043687343 3.928325074539678
-3 -2.75 5 6 -1637.92284876809 3.317320492345951
-3 -2.75 6 7 -1139.081258806443 2.834186759123815
-3 -2.75 7 8 -799.046457759031 2.449973140959596
-3 -2.75 8 9 -562.692958250565 2.139956165882335
-3 -2.75 9 10 -395.2825122928264 1.886619362613695
-3 -2.75 10 11 -274.6401058036931 1.676106811846187
-3 -2.75 11 12 -186.5338170912696 1.499380095545267
-3 -2.75 12 13 -121.4392754674759 1.349294802588525
-3 -2.75 13 14 -72.92132815372224 1.220591140530362
-3 -2.75 14 15 -36.52911685902609 1.109268470539762
-3 -2.75 15 16 -9.126186495552247 1.012238706026854
-3 -2.75 16 17 11.53518435029446 0.927085380934611
-3 -2.75 17 18 27.09025814540314 0.851893735548613
-3 -2.75 18 19 38.7448212004665 0.7851290713910877
-3 -2.75 19 20 47.39869724090579 0.7255483702776011
-3 -2.75 20 21 53.73059345185277 0.6721351740235854
-3 -2.75 21 22 58.25733020879045 0.6240509667163754
-3 -2.75 22 23 61.37580266389705 0.5805984282972919
-3 -2.75 23 24 63.39311238838161 0.5411933411585366
-3 -2.75 24 25 64.54847326042955 0.5053428829118487
-3 -2.75 25 26 65.02931851904202 0.472628686267368
-3 -2.75 26 27 64.98326783524033 0.4426934973096107
-3 -2.75 27 28 64.52710387201279 0.4152305771793233
-3 -2.75 28 29 63.75356523055115 0.3899752149954517
-3 -2.75 29 30 62.73652882230965 0.3666978808006386
-3 -2.75 30 31 61.53499331551933 0.3451986625906799
-3 -2.75 31 32 60.19616231698927 0.3253027163197547
-3 -2.75 32 33 58.75784610026278 0.3068565223818043
-3 -2.75 33 34 57.25034364293066 0.2897247865713168
-3 -2.75 34 35 55.69792556471884 0.2737878611964781
-3 -2.75 35 36 54.12000856525316 0.2589395875810119
-3 -2.75 36 37 52.53208992574991 0.245085482524221
-3 -2.75 37 38 50.94649436184096 0.2321412066092974
-3 -2.75 38 39 49.37297330984774 0.2200312648009113
-3 -2.75 39 40 47.81918756742121 0.2086878999622674
-3 -2.75 40 41 46.29109739104942 0.1980501463141533
-3 -2.75 41 42 44.79327869232532 0.1880630172570413
-3 -2.75 42 43 43.32918012821278 0.1786768053756203
-3 -2.75 43 44 41.90133265636814 0.1698464779144336
-3 -2.75 44 45 40.51152072578228 0.1615311517616784
-3 -2.75 45 46 39.16002071329007 0.153844355381104
-3 -2.75 46 47 37.84922176669573 0.147325814376706
-3 -2.75 47 48 36.57850448913427 0.142055191967623
-3 -2.75 48 49 35.34784254161676 0.138009966674231
-3 -2.75 49 50 34.15678717936908 0.1346398922993218
-2.75 -2.5 0 1 2581.547732825094 2.23271660548778
-2.75 -2.5 1 2 -4087.556127349791 1.105382470079785
-2.75 -2.5 2 3 -5055.498686972454 2.390954274200946
-2.75 -2.5 3 4 -3652.913138364167 2.372394596271071
-2.75 -2.5 4 5 -2536.555725024994 2.115638083117619
-2.75 -2.5 5 6 -1768.651721338372 1.855776967842812
-2.75 -2.5 6 7 -1246.811409607787 1.630034901222806
-2.75 -2.5 7 8 -887.527046939811 1.4401221750333
-2.75 -2.5 8 9 -635.5789031751588 1.280906122876855
-2.75 -2.5 9 10 -455.601661280142 1.1457785273746
-2.75 -2.5 10 11 -324.8482157061833 1.0318203519242
-2.75 -2.5 11 12 -228.5517012639275 0.933850145433171
-2.75 -2.5 12 13 -156.782927671293 0.8492104767069074
-2.75 -2.5 13 14 -102.7893061031202 0.7755387821612842
-2.75 -2.5 14 15 -61.87488391900024 0.7109715392842801
-2.75 -2.5 15 16 -30.71361133117944 0.6540273463633457
-2.75 -2.5 16 17 -6.910324789874494 0.6035181755629639
-2.75 -2.5 17 18 11.28568419574367 0.5584827131208294
-2.75 -2.5 18 19 25.17126480857144 0.5181362834374422
-2.75 -2.5 19 20 35.71860726042689 0.4818330431136226
-2.75 -2.5 20 21 43.6643464203529 0.4490372299491578
-2.75 -2.5 21 22 49.57199567631926 0.4193011173487453
-2.75 -2.5 22 23 53.87633592849932 0.3922479647795217
-2.75 -2.5 23 24 56.91539964305787 0.3675587196493681
-2.75 -2.5 24 25 58.9538010142453 0.3449615576698089
-2.75 -2.5 25 26 60.1999462760067 0.3242235902258647
-2.75 -2.5 26 27 60.81886158326699 0.3051442393078895
-2.75 -2.5 27 28 60.94184589843917 0.2875499052592264
-2.75 -2.5 28 29 60.67379885910606 0.271289646400222
-2.75 -2.5 29 30 60.09882890380965 0.2562316538915106
-2.75 -2.5 30 31 59.28457761502222 0.2422603595868431
-2.75 -2.5 31 32 58.28557740170152 0.2292740468750043
-2.75 -2.5 32 33 57.1458754456786 0.2171828682810812
-2.75 -2.5 33 34 55.90109655148967 0.2059071902836511
-2.75 -2.5 34 35 54.58007390711646 0.1953762049987237
-2.75 -2.5 35 36 53.20614493199599 0.1855267605212527
-2.75 -2.5 36 37 51.79818592100207 0.1763023703272362
-2.75 -2.5 37 38 50.37144184044945 0.1676523716398191
-2.75 -2.5 38 39 48.93819458330131 0.1595312060144937
-2.75 -2.5 39 40 47.50830316723213 0.1518978042443389
-2.75 -2.5 40 41 46.08964204648262 0.1447150562237896
-2.75 -2.5 41 42 44.68845782282654 0.1379493538977213
-2.75 -2.5 42 43 43.30966050320748 0.1315701951939245
-2.75 -2.5 43 44 41.95706195100922 0.1255498404834467
-2.75 -2.5 44 45 40.6335715917524 0.1198630125879982
-2.75 -2.5 45 46 39.34041121107757 0.1147069304568155
-2.75 -2.5 46 47 38.080930591607 0.110892037905555
-2.75 -2.5 47 48 36.85523551151664 0.1085352737260549
-2.75 -2.5 48 49 35.66398023980938 0.1075833801897255
-2.75 -2.5 49 50 34.50732003297742 0.1072339423077902
-2.5 -2.25 0 1 3101.140618253932 1.555578713298156
-2.5 -2.25 1 2 -3695.030041904743 0.9766212392995913
-2.5 -2.25 2 3 -5121.763863194936 1.640948357055528
-2.5 -2.25 3 4 -3774.091925143131 1.507333614016864
-2.5 -2.25 4 5 -2652.622976750807 1.326848294760064
-2.5 -2.25 5 6 -1868.805791005638 1.191427474326981
-2.5 -2.25 6 7 -1330.853575693057 1.067913536809536
-2.5 -2.25 7 8 -957.5959231125689 0.9584378305222602
-2.5 -2.25 8 9 -694.0677266665934 0.8644972727014906
-2.5 -2.25 9 10 -504.5562123579798 0.7819658381012098
-2.5 -2.25 10 11 -366.0750312995765 0.7105890484348791
-2.5 -2.25 11 12 -263.4288451246857 0.6483367264016469
-2.5 -2.25 12 13 -186.4334322997124 0.5937303635278727
-2.5 -2.25 13 14 -128.1133323698916 0.5455734442331274
-2.5 -2.25 14 15 -83.5968392224429 0.5028828843161478
-2.5 -2.25 15 16 -49.41966203316497 0.4648514617519642
