#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -1039.401518384221 2.977448376020589
-5 -4 1 2 -4572.980238008913 7.36255104424501
-5 -4 2 3 -2644.304167108364 5.329620324415322
-5 -4 3 4 -1449.034228656652 4.014075354168599
-5 -4 4 5 -795.0285397475056 3.030300464864865
-5 -4 5 6 -427.3363882329143 2.265687162129241
-5 -4 6 7 -214.0395834886974 1.766350220664799
-5 -4 7 8 -86.95185497881289 1.451362417561647
-5 -4 8 9 -10.0285901886466 1.223484183100692
-5 -4 9 10 36.84323026950869 1.052676656364823
-5 -4 10 11 65.29149665782063 0.9193754045396008
-5 -4 11 12 82.08798725369661 0.8074963477509511
-5 -4 12 13 91.34695900484883 0.7191151568483354
-5 -4 13 14 95.75119100552001 0.6511170261628628
-5 -4 14 15 97.03267928784641 0.5925105947189724
-5 -4 15 16 96.27518634280233 0.5380329500743019
-5 -4 16 17 94.18169343409124 0.4902632010340985
-5 -4 17 18 91.24070053801182 0.4508209215950214
-5 -4 18 19 87.79632354847638 0.4176829340753572
-5 -4 19 20 84.08189778995336 0.3879892798574032
-5 -4 20 21 80.25039530293208 0.360386896405386
-5 -4 21 22 76.4024152787683 0.3349461764021553
-5 -4 22 23 72.60584045704161 0.3120196228334338
-5 -4 23 24 68.90689980144995 0.2915825008682073
-5 -4 24 25 65.3360989166695 0.2732602948410329
-5 -4 25 26 61.91207815370197 0.2566007980036666
-5 -4 26 27 58.64473852414565 0.2412627063552304
-5 -4 27 28 55.53785717668097 0.2270521884715801
-5 -4 28 29 52.59111267602185 0.213872802998042
-5 -4 29 30 49.80151938296238 0.2016640704729817
-5 -4 30 31 47.16438389060711 0.1903646797361111
-5 -4 31 32 44.67393222037859 0.1799021665507851
-5 -4 32 33 42.32373149219413 0.17019736726279
-5 -4 33 34 40.10698656021911 0.1611725804805009
-5 -4 34 35 38.0167564181249 0.1527575983597073
-5 -4 35 36 36.04611367907577 0.1448921845842958
-5 -4 36 37 34.18826015311873 0.1375258225171508
-5 -4 37 38 32.43660748128622 0.1306160883927603
-5 -4 38 39 30.78483021439654 0.1241267221109901
