#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -1009.044792383502 0.04967803687153124
-5 -4 1 2 -4434.554380673415 0.4268142693884536
-5 -4 2 3 -2556.433993302948 0.2620957642000584
-5 -4 3 4 -1403.46177721613 0.1582733871293648
-5 -4 4 5 -772.9982933119754 0.1531302599223649
-5 -4 5 6 -417.6829606984809 0.1107895650797355
-5 -4 6 7 -210.5187969781216 0.07897329483801432
-5 -4 7 8 -86.70685758600939 0.03538185705295929
-5 -4 8 9 -11.63173723111618 0.08419538296398056
-5 -4 9 10 34.55784192250405 0.04699645062479389
-5 -4 10 11 62.93559018701535 0.06483232690095017
-5 -4 11 12 79.69831684637381 0.07302563318019986
-5 -4 12 13 89.13729819458649 0.07733478995319783
-5 -4 13 14 93.76792353781775 0.05826776936383129
-5 -4 14 15 95.1880524725234 0.03343077595074046
-5 -4 15 16 94.66224084889137 0.03280535063790588
-5 -4 16 17 92.79817954701923 0.03202944137980145
-5 -4 17 18 90.08296794962303 0.0310449874594427
-5 -4 18 19 86.84601605109697 0.02990769194985476
-5 -4 19 20 83.31202467716764 0.02871668424404493
-5 -4 20 21 79.63536955553448 0.02753844106275249
-5 -4 21 22 75.92207622308445 0.02639456688366463
-5 -4 22 23 72.24425643179731 0.02528430244952605
-5 -4 23 24 68.65004738055057 0.02420493822642491
-5 -4 24 25 65.17066592463527 0.02315866437490193
-5 -4 25 26 61.8254381401116 0.02215072249991843
-5 -4 26 27 58.63571365145953 0.01141422177686049
-5 -4 27 28 55.58549377067908 0.01090368163651961
-5 -4 28 29 52.68667897712386 0.01042057288594711
-5 -4 29 30 49.93752619998862 0.009963482729390065
-5 -4 30 31 47.3343666651637 0.009530799919629232
-5 -4 31 32 44.87225758812986 0.009120964376131146
-5 -4 32 33 42.54545530043981 0.008732565970698143
-5 -4 33 34 40.34775753097541 0.008364348019502336
-5 -4 34 35 38.27274903186127 0.008015171749790016
-5 -4 35 36 36.31397574803296 0.007683978130484491
-5 -4 36 37 34.4650663495479 0.007369761850108802
-5 -4 37 38 32.71981519412527 0.007071558735459373
-5 -4 38 39 31.07223715966098 0.006788443197983518
-5 -4 39 40 29.51660204880945 0.006519530280347941
-5 -4 40 41 28.04745425475481 0.006263979386577984
-5 -4 41 42 26.65962180868043 0.006020996787471873
-5 -4 42 43 25.34821785974805 0.005789837023392861
-5 -4 43 44 24.10863684605535 0.005569802417985595
-5 -4 44 45 22.93654697154016 0.005360241490086471
-5 -4 45 46 21.8274722622551 0.005160831103506461
-5 -4 46 47 20.77818611860989 0.004971071768141926
-5 -4 47 48 19.78439206391029 0.004787703671285844
-5 -4 48 49 18.84037104216908 0.002751086587935373
-5 -4 49 50 17.9472246545323 0.002650016890772034
-4 -3.75 0 1 -321.37677434962 0.02959358627879477
-4 -3.75 1 2 -4023.144768792902 0.4848708691787705
-4 -3.75 2 3 -2809.520246476042 0.400807726529445
-4 -3.75 3 4 -1716.917176540378 0.2900812686601795
-4 -3.75 4 5 -1050.645740638675 0.2690838443911862
