#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 21515.75648547552 1.439073770474351
-5 -4 1 2 76657.32332024012 5.941235421254532
-5 -4 2 3 55602.80764933537 5.418090025581478
-5 -4 3 4 40437.48735932082 3.045122706593247
-5 -4 4 5 30702.1157834023 1.614316292419971
-5 -4 5 6 24127.60072695842 1.860820038436941
-5 -4 6 7 19463.08993491976 0.3062989836253109
-5 -4 7 8 16019.65631920128 0.2209748871810007
-5 -4 8 9 13396.85016269223 0.2055837159605289
-5 -4 9 10 11348.28668342387 0.19235543733339
-5 -4 10 11 9715.1204162415 0.1784023593863822
-5 -4 11 12 8390.839540544703 0.1652449506382254
-5 -4 12 13 7301.591884886548 0.1522006533150488
-5 -4 13 14 6394.744128810282 0.6315748236829677
-5 -4 14 15 5631.748848780629 0.4019904757442418
-5 -4 15 16 4983.955725702084 0.2457924453256055
-5 -4 16 17 4429.566670056499 0.3970304878357638
-5 -4 17 18 3951.762588753837 0.3062558688202444
-5 -4 18 19 3537.381152004543 0.2367038191300708
-5 -4 19 20 3175.987451525987 0.183291331644341
-5 -4 20 21 2859.214893626463 0.1412961177998113
-5 -4 21 22 2580.295089087252 0.1083283798316188
-5 -4 22 23 2333.697123582288 0.08250166107336554
-5 -4 23 24 2114.858595287009 0.0619527603566894
-5 -4 24 25 1919.99184749605 0.04537998232217433
-5 -4 25 26 1745.934101353824 0.03216106979402866
-5 -4 26 27 1590.023591595896 0.02168384975198023
-5 -4 27 28 1450.003893967237 0.0173595353608107
-5 -4 28 29 1323.952239313115 0.01481566081838537
-5 -4 29 30 1210.226178922982 0.01248748537659594
-5 -4 30 31 1107.41487332752 0.01039548312405714
-5 -4 31 32 1014.299263350724 0.008567042758500065
-5 -4 32 33 929.8191884084076 0.01001657640597386
-5 -4 33 34 853.0509287999409 0.01144340360895058
-5 -4 34 35 783.1884042662739 0.01310378886262242
-5 -4 35 36 719.5255194695427 0.01437505501951364
-5 -4 36 37 661.4407845759981 0.01523499058077959
-5 -4 37 38 608.3842135723621 0.01580616321939488
-5 -4 38 39 559.8682577174488 0.01615996695113608
-5 -4 39 40 515.4601957363321 0.01635996833772424
-5 -4 40 41 474.7752850631717 0.01642161783576057
