#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 23.72970107997723 0.0005651735431548843
-5 -4.75 1 2 43.15588695806972 0.001127030385241312
-5 -4.75 2 3 25.66417532711807 0.0002479803839321448
-5 -4.75 3 4 17.02597168164482 0.0002159651914510619
-5 -4.75 4 5 12.10001316652839 0.0001922182037379372
-5 -4.75 5 6 8.991859880929109 0.0001555150996086496
-5 -4.75 6 7 6.892344430567586 0.0001230490699892783
-5 -4.75 7 8 5.403881308752424 9.888079370767855e-05
-5 -4.75 8 9 4.310264313676831 8.090731335919088e-05
-5 -4.75 9 10 3.48416614718659 6.781190249638414e-05
-5 -4.75 10 11 2.846616739022442 5.753262805274773e-05
-5 -4.75 11 12 2.345797412230629 4.894725521120691e-05
-5 -4.75 12 13 1.946704415186269 4.08044018365139e-05
-5 -4.75 13 14 1.624897328513841 3.215750524954153e-05
-5 -4.75 14 15 1.362757743409155 2.362953149659397e-05
-5 -4.75 15 16 1.14739523673361 3.911224736463659e-05
-5 -4.75 16 17 0.9692090549079301 1.454982736937005e-05
-5 -4.75 17 18 0.8208523833305303 1.678845918406946e-05
-5 -4.75 18 19 0.6966851303761044 3.115920983487452e-05
-5 -4.75 19 20 0.5922914230405193 7.037996347825093e-06
-5 -4.75 20 21 0.5041917311507814 5.492001995066609e-06
-5 -4.75 21 22 0.4296017394791291 4.780735236464828e-06
-5 -4.75 22 23 0.3662769990564779 4.747427322426834e-06
-5 -4.75 23 24 0.3124020779267673 4.395717999094995e-06
-5 -4.75 24 25 0.2664840367786664 1.206688141525136e-05
-5 -4.75 25 26 0.2272865107494972 8.418682436811542e-06
-5 -4.75 26 27 0.1937936570077859 5.779159207519591e-06
-5 -4.75 27 28 0.1651538040007594 3.745646897895805e-06
-5 -4.75 28 29 0.1406527891394141 2.382100077719107e-06
-5 -4.75 29 30 0.119686950240658 1.573082165529094e-06
-5 -4.75 30 31 0.1017476454205862 2.108192242972207e-06
-5 -4.75 31 32 0.08640242381144513 2.113256175009792e-06
-5 -4.75 32 33 0.07328161911396709 1.745594489246938e-06
-5 -4.75 33 34 0.06206964675381198 1.036555752439994e-06
-5 -4.75 34 35 0.05249671727650595 6.893683614922486e-07
-5 -4.75 35 36 0.04433121136851612 5.755057412570874e-07
-5 -4.75 36 37 0.03737414337870369 4.762009789480159e-07
-5 -4.75 37 38 0.03145422771863601 7.690014835956549e-07
-5 -4.75 38 39 0.02642386562833325 8.325902318834233e-07
-5 -4.75 39 40 0.02215582262840951 5.75382158959914e-07
-5 -4.75 40 41 0.01854030675548453 2.614265212606826e-07
-5 -4.75 41 42 0.01548291649654268 1.934998881004263e-07
-5 -4.75 42 43 0.01290248429439852 1.917255793137257e-07
-5 -4.75 43 44 0.01072851825162579 2.501348976384488e-07
-5 -4.75 44 45 0.008900573788347483 2.546722557578845e-07
-5 -4.75 45 46 0.007366870013959107 2.21348467993078e-07
-5 -4.75 46 47 0.006082702897115648 1.302091255728569e-07
-5 -4.75 47 48 0.005009814623413821 8.521129627424295e-08
-5 -4.75 48 49 0.004115515904605087 6.238734060175916e-08
-5 -4.75 49 50 0.003371764215145095 7.29484565791666e-08
-5 -4.75 50 51 0.002754678416669369 8.34266509711773e-08
-5 -4.75 51 52 0.002243956631171073 8.774674194970272e-08
-5 -4.75 52 53 0.001822304619359099 4.448298471368059e-08
-5 -4.75 53 54 0.001475096927981704 3.936929672846909e-08
-5 -4.75 54 55 0.001189963268702717 4.476215501860933e-08
-5 -4.75 55 56 0.0009564582048389683 2.771189022763958e-08
-5 -4.75 56 57 0.0007657969900225503 2.522916321679152e-08
-5 -4.75 57 58 0.0006106031481996053 2.05784305114861e-08
-5 -4.75 58 59 0.0004847033387004238 1.391682218586637e-08
-5 -4.75 59 60 0.0003829315172413186 1.188119441161229e-08
-5 -4.75 60 61 0.0003009822282690622 1.2013611123973e-08
-5 -4.75 61 62 0.0002352687339384121 1.018301330204478e-08
