#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 6924.05150686122 0.7556571679742774
-5 -4 1 2 23244.67916103037 20.39261182280097
-5 -4 2 3 16876.36839068765 3.782280965788232
-5 -4 3 4 12153.07859949792 2.040918905364379
-5 -4 4 5 9164.629175125796 9.035534054522941
-5 -4 5 6 7161.613053461978 5.146677509582332
-5 -4 6 7 5747.533857781568 3.111428988032458
-5 -4 7 8 4707.90962542713 4.210950607053746
-5 -4 8 9 3918.738904917855 2.940942626652486
-5 -4 9 10 3304.224288815695 2.038332632720085
-5 -4 10 11 2815.778536976595 1.399001902495911
-5 -4 11 12 2420.75211595108 0.9487064954359994
-5 -4 12 13 2096.755398830984 0.634183041799588
-5 -4 13 14 1827.778618725689 0.4163819307248104
-5 -4 14 15 1602.100555030848 0.2671174732399777
-5 -4 15 16 1411.03256541502 0.1660712126413273
-5 -4 16 17 1248.000549663247 0.1117281694014309
-5 -4 17 18 1107.918145168102 0.08475586482927611
-5 -4 18 19 986.7992261933318 0.06506778022549042
-5 -4 19 20 881.4875311090209 0.047928559768593
-5 -4 20 21 789.481058386645 0.03527584605899392
-5 -4 21 22 708.7452030482706 0.02599904050020996
-5 -4 22 23 637.6072754678705 0.01916613905564191
-5 -4 23 24 574.6900134094845 0.01321235080774841
-5 -4 24 25 518.8636348646056 0.01146512068976335
-5 -4 25 26 469.1902114721154 0.01068494291428124
-5 -4 26 27 424.8700064824417 0.009592276638727526
-5 -4 27 28 385.2195336508441 0.008396741934404872
-5 -4 28 29 349.6624747158095 0.007202666597549978
-5 -4 29 30 317.7181076623573 0.3016834540039781
-5 -4 30 31 288.9592475073226 0.2469242877257898
-5 -4 31 32 263.030557102965 0.2021274854650414
-5 -4 32 33 239.6126893075448 0.1654131041282483
-5 -4 33 34 218.4287358447437 0.1353563798833477
-5 -4 34 35 199.2393109635207 0.1107451528981755
-5 -4 35 36 181.836280885667 0.09058040662873168
-5 -4 36 37 166.0376866475337 0.07404422385573639
-5 -4 37 38 151.6822554547944 0.060521068418808
-5 -4 38 39 138.624496608591 0.04946213001440469
-5 -4 39 40 126.7357404922916 0.04529552388491709
-5 -4 40 41 115.9027570886692 0.05513614285192148
-5 -4 41 42 106.0247311045886 0.06303407512240256
-5 -4 42 43 97.01208849547864 0.06895417994438446
-5 -4 43 44 88.7848735926207 0.07263224153433612
-5 -4 44 45 81.34644446015115 0.05330730624812929
-5 -4 45 46 74.40530102715523 0.01183724670632103
-5 -4 46 47 68.12762590486258 0.00962020568601929
-5 -4 47 48 62.38600929068313 0.00779331084341095
-5 -4 48 49 57.13273839420154 0.006298388171408931
-5 -4 49 50 52.32478059673033 0.005086099275800393
-5 -4 50 51 47.92357761932549 0.004298052369648531
-5 -4 51 52 43.8940772765348 0.004078707298241113
-5 -4 52 53 40.20399744551369 0.00384504663350782
-5 -4 53 54 36.823803359541 0.003648297501513298
-5 -4 54 55 33.72702325598222 0.00344619593522566
-5 -4 55 56 30.88944943572922 0.003250236558223207
-5 -4 56 57 28.28901439705201 0.003073488175587613
-5 -4 57 58 25.90580657560145 0.002905171509002713
-5 -4 58 59 23.72172999162181 0.002744915443798845
-5 -4 59 60 21.72022110393567 0.002576230380103794
-5 -4 60 61 19.88587874723961 0.002415417818472321
-5 -4 61 62 18.20460580415883 0.002267472110137447
-5 -4 62 63 16.6636092828935 0.002123934256690774
-5 -4 63 64 15.25113483980521 0.001987598088909692
-5 -4 64 65 13.956438389601 0.001864902419226766
-5 -4 65 66 12.76980389846484 0.001750987181226904
-5 -4 66 67 11.68238540785292 0.001642512039712329
-5 -4 67 68 10.68607056176265 0.001536756861465705
-5 -4 68 69 9.773311417220176 0.001427891489004907
-5 -4 69 70 8.93706144020052 0.001333356307794631
-5 -4 70 71 8.170970165827473 0.001242377173173992
-5 -4 71 72 7.469196484314562 0.001156971945588836
-5 -4 72 73 6.826389208353308 0.001078627070300264
-5 -4 73 74 6.237680731341528 0.001006361639358744
-5 -4 74 75 5.698632833071983 0.0009392518237838487
-5 -4 75 76 5.205182610502103 0.0008750560932773155
-5 -4 76 77 4.753571487177003 0.0008106508518439526
-5 -4 77 78 4.340274638906062 0.0007519733719201227
-5 -4 78 79 3.962067212476839 0.0006981639295546849
-5 -4 79 80 3.61602250170058 0.0006473867884011497
-5 -4 80 81 3.299451169260457 0.0006009037310650278
-5 -4 81 82 3.009898406695442 0.0005580909282394408
-5 -4 82 83 2.745125238656196 0.0005178922864366164
-5 -4 83 84 2.503076121378048 0.0004804522294317159
-5 -4 84 85 2.281860115952675 0.0004452302611124281
-5 -4 85 86 2.079730480816715 0.0004103369152690384
-5 -4 86 87 1.895053390052887 0.0003792134984803575
-5 -4 87 88 1.726344349888846 0.0003507860844829125
-5 -4 88 89 1.572256735725096 0.000324141027409075
-5 -4 89 90 1.431555026687546 0.0002997502347510395
-5 -4 90 91 1.303110935203197 0.0002770240257465861
-5 -4 91 92 1.185890024453056 0.0002559509364761237
-5 -4 92 93 1.078942227201812 0.0002361254239955368
-5 -4 93 94 0.9813910566960392 0.0002175776206352342
-5 -4 94 95 0.8924286322741487 0.0002002148197044473
-5 -4 95 96 0.8113134963904326 0.0001845966976774527
-5 -4 96 97 0.7373726155249357 0.0001699545957535298
-5 -4 97 98 0.6699879239386003 0.0001564582732241915
-5 -4 98 99 0.6085933374428345 0.0001439773369995567
-5 -4 99 100 0.5526712096697729 0.0001325207223725755
-4 -3.75 0.1 1 3437.230236645708 0.3962484544581457
-4 -3.75 1 2 21751.83168348558 13.71909280056207
-4 -3.75 2 3 17427.63171559525 8.329258788795414
-4 -3.75 3 4 13125.25276937548 5.466709457004981
-4 -3.75 4 5 10180.12517391553 9.043631126456603
-4 -3.75 5 6 8128.821422935747 5.272981827987678
-4 -3.75 6 7 6644.631191358923 5.547871199656583
-4 -3.75 7 8 5533.02618356007 3.475262331182421
-4 -3.75 8 9 4676.52706218277 2.040520019554606
-4 -3.75 9 10 4001.125890417208 1.038752003545142
-4 -3.75 10 11 3457.953323724667 0.7495030321210834
-4 -3.75 11 12 3014.072438482212 0.5557933671802857
-4 -3.75 12 13 2646.33937401547 0.6551476611994076
-4 -3.75 13 14 2338.016194826148 0.9493815695218473
-4 -3.75 14 15 2076.772535175116 2.067019499323578
-4 -3.75 15 16 1853.661742804665 1.705790404887694
-4 -3.75 16 17 1661.498684526365 1.519590516764765
-4 -3.75 17 18 1494.772112438249 1.16321329010475
-4 -3.75 18 19 1349.299532190611 0.9611770182286818
-4 -3.75 19 20 1221.653961652273 0.7943252956272318
-4 -3.75 20 21 1109.055434385212 0.6565140713228175
-4 -3.75 21 22 1009.268432390721 0.5427084343466504
-4 -3.75 22 23 920.4880730496345 0.4487191984884475
-4 -3.75 23 24 841.2147179526964 0.3710561665984642
-4 -3.75 24 25 770.177487320454 0.3068650146211667
-4 -3.75 25 26 706.302892486086 0.253858100119146
-4 -3.75 26 27 648.7014387222968 0.2100804187351741
-4 -3.75 27 28 596.6280766534582 0.1739250906775851
-4 -3.75 28 29 549.4440260396422 0.1440400121982748
-4 -3.75 29 30 506.5876473856842 0.1193514518767529
-4 -3.75 30 31 467.5751253959163 0.09897372123111836
-4 -3.75 31 32 431.98924374772 0.08215557715107025
-4 -3.75 32 33 399.4719167670021 0.06826919239796325
-4 -3.75 33 34 369.7125339003115 0.05680224459058536
-4 -3.75 34 35 342.4357647084714 0.04733021362358159
-4 -3.75 35 36 317.3983657714786 0.03950059376717263
-4 -3.75 36 37 294.3840502068145 0.03303676719212945
-4 -3.75 37 38 273.201276678903 0.02768989692020796
-4 -3.75 38 39 253.682083871658 0.02326343890499061
-4 -3.75 39 40 235.6773808458159 0.01960121440885132
-4 -3.75 40 41 219.0539468247578 0.01657446460734491
-4 -3.75 41 42 203.692147525306 0.01405842426024151
-4 -3.75 42 43 189.4834405761275 0.01196653508739587
-4 -3.75 43 44 176.3301650760361 0.01023004670256
-4 -3.75 44 45 164.1441824694959 0.008778808658632897
-4 -3.75 45 46 152.846747599971 0.007565469419915871
-4 -3.75 46 47 142.3668613693365 0.006557245591466199
-4 -3.75 47 48 132.6399682646912 0.00571690432025207
-4 -3.75 48 49 123.6073726932434 0.005011080996098372
-4 -3.75 49 50 115.215005073297 0.00440599607154013
-4 -3.75 50 51 107.4134180954701 0.003890838972509414
-4 -3.75 51 52 100.1573258350195 0.003463744430916904
-4 -3.75 52 53 93.40576977180787 0.003234086216764354
-4 -3.75 53 54 87.12137710678515 0.003195288759130221
-4 -3.75 54 55 81.27032144668244 0.003140991231575185
-4 -3.75 55 56 75.82120564197609 0.003061554114125897
-4 -3.75 56 57 70.74495760463176 0.002971858983173092
-4 -3.75 57 58 66.01471933060033 0.003019476865617321
-4 -3.75 58 59 61.60376942695921 0.05988882545894825
-4 -3.75 59 60 57.49281324040766 0.05368935574372102
-4 -3.75 60 61 53.6588663750706 0.04814264831061621
-4 -3.75 61 62 50.08262405086689 0.04317970123758386
-4 -3.75 62 63 46.74626657793291 0.03872369854612856
-4 -3.75 63 64 43.63346652645008 0.03471454670966523
-4 -3.75 64 65 40.72882910691471 0.0311096407666156
-4 -3.75 65 66 38.01811550471162 0.02788723523595138
-4 -3.75 66 67 35.48803633656733 0.02500618845876801
-4 -3.75 67 68 33.12613393861439 0.02242294488291208
-4 -3.75 68 69 30.92093987518552 0.02010037074908411
-4 -3.75 69 70 28.86184507159849 0.01801541827497743
-4 -3.75 70 71 26.93909176485791 0.01614245509407297
-4 -3.75 71 72 25.14369133765532 0.01446301735312971
-4 -3.75 72 73 23.46723260607148 0.01295570305446958
-4 -3.75 73 74 21.90175523327424 0.01160311837138295
-4 -3.75 74 75 20.4398489004421 0.0103889517077782
-4 -3.75 75 76 19.07454264772185 0.009300202035582572
-4 -3.75 76 77 17.79938023677484 0.008327755471242426
-4 -3.75 77 78 16.60835340274793 0.007456315665933744
-4 -3.75 78 79 15.49591597137358 0.006671016482172831
-4 -3.75 79 80 14.45689766733048 0.005963694122462115
-4 -3.75 80 81 13.48649749402814 0.005327736667696925
-4 -3.75 81 82 12.58026136291484 0.004760720712637223
-4 -3.75 82 83 11.73396900923222 0.004252495208936224
-4 -3.75 83 84 10.94369206531 0.003797031839116727
-4 -3.75 84 85 10.20578382921387 0.003387586968443657
-4 -3.75 85 86 9.51673905023034 0.003021017125883318
-4 -3.75 86 87 8.8733157132269 0.002691719063482978
-4 -3.75 87 88 8.272513713641692 0.002396907800925163
-4 -3.75 88 89 7.711544278516572 0.002135323590620075
-4 -3.75 89 90 7.187824681358366 0.001902569833785783
-4 -3.75 90 91 6.698918682871638 0.001803972822838951
-4 -3.75 91 92 6.242567893717277 0.001747928553510469
-4 -3.75 92 93 5.816663915972492 0.00169754702428726
-4 -3.75 93 94 5.419194496148336 0.001621020261760364
-4 -3.75 94 95 5.048265538719993 0.001532855665785426
-4 -3.75 95 96 4.702102357104844 0.001446175759652668
-4 -3.75 96 97 4.379085240527223 0.00138087504483142
-4 -3.75 97 98 4.077711676719306 0.001336995172271038
-4 -3.75 98 99 3.796571306616716 0.001298761052752617
-4 -3.75 99 100 3.53433638229067 0.001248706272554134
-3.75 -3.5 0.1 1 1083.563196666741 0.4621189091481028
