#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 19.1224043473947 0.0002648400516527261
-5 -4.75 1 2 34.18098705762782 0.001167221622857539
-5 -4.75 2 3 20.3551646330301 0.000213443437477423
-5 -4.75 3 4 13.55062249078714 0.0001728416161377311
-5 -4.75 4 5 9.66634074445038 0.0001531609495160069
-5 -4.75 5 6 7.21035908098147 0.0001244150919612608
-5 -4.75 6 7 5.547203720895276 9.942334923351837e-05
-5 -4.75 7 8 4.364873707118726 8.036844016601208e-05
-5 -4.75 8 9 3.493664481451542 6.616607085252468e-05
-5 -4.75 9 10 2.833641898003834 5.590394888033146e-05
-5 -4.75 10 11 2.322715123905623 4.828514374910498e-05
-5 -4.75 11 12 1.920150749967821 4.203218872045333e-05
-5 -4.75 12 13 1.59838129003289 3.585354983681732e-05
-5 -4.75 13 14 1.338129446248754 2.888665909961396e-05
-5 -4.75 14 15 1.125492354285501 2.15345653740151e-05
-5 -4.75 15 16 0.9502778680054249 4.720388549794841e-05
-5 -4.75 16 17 0.8048747665732351 1.80619399208215e-05
-5 -4.75 17 18 0.6834598899979409 9.249920392417899e-06
-5 -4.75 18 19 0.5815473464929689 1.652060119594623e-05
-5 -4.75 19 20 0.4956209944869069 5.600232341029798e-06
-5 -4.75 20 21 0.4229028064285535 4.442849695973639e-06
-5 -4.75 21 22 0.3611669107783318 3.956954322203998e-06
-5 -4.75 22 23 0.3086147774944143 3.980033364048285e-06
-5 -4.75 23 24 0.2637865670707986 3.729224856363622e-06
-5 -4.75 24 25 0.2254814508965971 9.588191034248794e-06
-5 -4.75 25 26 0.1927005430021143 6.008034268090157e-06
-5 -4.75 26 27 0.1646217293491279 3.260736348820181e-06
-5 -4.75 27 28 0.1405540776036625 1.111648119694886e-06
-5 -4.75 28 29 0.1199167034912069 8.426513543463576e-07
-5 -4.75 29 30 0.1022175033612076 1.615805892085653e-06
-5 -4.75 30 31 0.08704023142413712 2.371088086150497e-06
-5 -4.75 31 32 0.0740300640659344 2.663467380911722e-06
-5 -4.75 32 33 0.06288303558644093 2.551211473064696e-06
-5 -4.75 33 34 0.05333891593393622 2.364881630190219e-06
-5 -4.75 34 35 0.04517457619088312 1.992818584727052e-06
-5 -4.75 35 36 0.0381978506930598 1.510935380713563e-06
-5 -4.75 36 37 0.03224310300300892 1.085522967854413e-06
-5 -4.75 37 38 0.02716747839609877 6.883763945322863e-07
-5 -4.75 38 39 0.02284758490571641 7.498441060363459e-07
-5 -4.75 39 40 0.01917669173050305 5.28593135137867e-07
-5 -4.75 40 41 0.01606243991427814 3.64037771542064e-07
-5 -4.75 41 42 0.01342521291303478 3.768549934769078e-07
-5 -4.75 42 43 0.01119638228980237 3.518187761172159e-07
-5 -4.75 43 44 0.009316215979389338 2.778241015508054e-07
-5 -4.75 44 45 0.007733398584686658 2.59552163803245e-07
-5 -4.75 45 46 0.006403859501300379 2.439292827866035e-07
-5 -4.75 46 47 0.005289456717374663 1.715781171168773e-07
-5 -4.75 47 48 0.004357488579304715 1.763955997501759e-07
-5 -4.75 48 49 0.0035799704987917 1.448702587189196e-07
-5 -4.75 49 50 0.002932843777891406 1.108596358579371e-07
-5 -4.75 50 51 0.00239557827376124 1.101370051743468e-07
-5 -4.75 51 52 0.001950690812974719 5.741162510414927e-08
-5 -4.75 52 53 0.001583255334612045 4.141943383412228e-08
-5 -4.75 53 54 0.001280636084953052 3.170817691766116e-08
-5 -4.75 54 55 0.001032113905893557 3.025395021441155e-08
-5 -4.75 55 56 0.0008286303003335495 2.513775578308602e-08
-5 -4.75 56 57 0.0006625498726195831 2.274803045986071e-08
-5 -4.75 57 58 0.0005274511678196304 1.85795732492687e-08
-5 -4.75 58 59 0.0004179503953629718 1.23900738766545e-08
-5 -4.75 59 60 0.0003295354650289318 1.048956390053545e-08
-5 -4.75 60 61 0.000258441516860483 1.099074023051859e-08
-5 -4.75 61 62 0.0002015275732404042 9.241697742230206e-09
-5 -4.75 62 63 0.0001561864688574339 6.207680473742936e-09
-5 -4.75 63 64 0.0001202526985233023 4.840029038403397e-09
-5 -4.75 64 65 9.193584622529109e-05 4.318778779722034e-09
-5 -4.75 65 66 6.97569850362631e-05 1.050823427106934e-09
-5 -4.75 66 67 5.249996494161569e-05 7.038751236122039e-10
-5 -4.75 67 68 3.916775349270855e-05 2.00203837083285e-10
-5 -4.75 68 69 2.894650803925252e-05 1.896856304129258e-10
-5 -4.75 69 70 2.117528412306889e-05 3.955462773352827e-10
-5 -4.75 70 71 1.532006646546584e-05 3.946033743225342e-10
-5 -4.75 71 72 1.095152334928548e-05 1.426873525441714e-10
-5 -4.75 72 73 7.726764025197568e-06 1.263886525497507e-10
-5 -4.75 73 74 5.373985858300752e-06 1.906734747958051e-10
-5 -4.75 74 75 3.679265402239376e-06 5.082870311838645e-11
