#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 6576.612956966783 1.194419348425072
-5 -4 1 2 24765.93484983896 8.380402327824413
-5 -4 2 3 17618.93367154841 3.446065884243581
-5 -4 3 4 12711.67369417784 1.948559080634368
-5 -4 4 5 9595.858359330185 9.54014187010398
-5 -4 5 6 7502.954091133011 5.457271770141233
-5 -4 6 7 6023.160068344557 3.302094349337494
-5 -4 7 8 4934.019052265268 4.717448190390314
-5 -4 8 9 4106.579975909069 3.3263080325396
-5 -4 9 10 3461.881450385934 2.320054695780527
-5 -4 10 11 2949.228415232057 1.598894573159669
-5 -4 11 12 2534.497339826309 1.086995047955952
-5 -4 12 13 2194.289514366285 0.7276763083314108
-5 -4 13 14 1911.841047568855 0.4781030555318466
-5 -4 14 15 1674.866459031241 0.3067862033287838
-5 -4 15 16 1474.257559145281 0.190729413965073
-5 -4 16 17 1303.117857149664 0.1173900284227329
-5 -4 17 18 1156.107054923304 0.08871119885748158
-5 -4 18 19 1029.036570442468 0.06793622098598462
-5 -4 19 20 918.5875556629388 0.04958648597732918
-5 -4 20 21 822.1319173991378 0.03613321424882088
-5 -4 21 22 737.5305861843862 0.02637077052588666
-5 -4 22 23 663.0224576680437 0.01929752084549818
-5 -4 23 24 597.1565066173664 0.01325346856594933
-5 -4 24 25 538.7444766197972 0.01308439019305752
-5 -4 25 26 486.8008965940323 0.012202930508181
-5 -4 26 27 440.4835718146221 0.01096427361244423
-5 -4 27 28 399.0713629167486 0.009608249560415061
-5 -4 28 29 361.9568716335793 0.008255763554814166
-5 -4 29 30 328.6287655543836 0.006976533840827415
-5 -4 30 31 298.6571879342428 0.2693272836844471
-5 -4 31 32 271.6478278097599 0.21988526989702
-5 -4 32 33 247.2708070904274 0.179466476731875
-5 -4 33 34 225.2344007898311 0.146447764909226
-5 -4 34 35 205.284862855746 0.1763961983002673
-5 -4 35 36 187.2070344168262 0.1338523626453707
-5 -4 36 37 170.8080810944992 0.09741068853864476
-5 -4 37 38 155.9185476677032 0.06616704871689194
-5 -4 38 39 142.3851973954264 0.05271383267432839
-5 -4 39 40 130.0726511298669 0.04291834895101942
-5 -4 40 41 118.8619594251653 0.03490974026823324
-5 -4 41 42 108.6472632234006 0.02837987064864933
-5 -4 42 43 99.33460606025899 0.02635020899994345
-5 -4 43 44 90.84016938352953 0.03580491635351279
-5 -4 44 45 83.13223356971822 0.03056207912362652
-5 -4 45 46 76.01003253300919 0.05027144779219839
-5 -4 46 47 69.54376772970579 0.05493119584363626
-5 -4 47 48 63.6343310875893 0.05853464962267907
-5 -4 48 49 58.23220098004689 0.006407045218210783
-5 -4 49 50 53.29130650505093 0.005135345367229149
-5 -4 50 51 48.77198482385854 0.004544819132711098
-5 -4 51 52 44.63765753133966 0.004305309979216076
-5 -4 52 53 40.85460141359268 0.004049391291282234
-5 -4 53 54 37.39195989161646 0.003837277763459213
-5 -4 54 55 34.22214595603317 0.003618240536866324
-5 -4 55 56 31.31992327532681 0.003406487165779737
-5 -4 56 57 28.66229977967889 0.003216880081801321
-5 -4 57 58 26.22857095444936 0.003037445929873428
-5 -4 58 59 23.99995241312456 0.002867590629829664
-5 -4 59 60 21.95926572031658 0.002687071508077565
-5 -4 60 61 20.09050930565752 0.002515452190326783
-5 -4 61 62 18.37904379993248 0.002358140271422116
-5 -4 62 63 16.81160261518632 0.00220540750983389
-5 -4 63 64 15.37599585934062 0.002060531483154548
-5 -4 64 65 14.06109144713049 0.001931239155769759
-5 -4 65 66 12.85685053344035 0.001811982394785971
-5 -4 66 67 11.75415341897956 0.001698548261471089
-5 -4 67 68 10.74464355771754 0.00158767372184343
-5 -4 68 69 9.820533842259566 0.00147228499631602
-5 -4 69 70 8.974537381126757 0.001373226544346906
-5 -4 70 71 8.200108739399804 0.001277915930099738
-5 -4 71 72 7.491232356299773 0.0011885947456447
-5 -4 72 73 6.842402986306298 0.001106973876589201
-5 -4 73 74 6.248622215756767 0.001031979366911351
-5 -4 74 75 5.705340218920933 0.0009624928967264523
-5 -4 75 76 5.208396396224483 0.0008959616954706817
-5 -4 76 77 4.75394089467388 0.0008287203673082999
-5 -4 77 78 4.338355449544209 0.0007677926636819876
-5 -4 78 79 3.95833441410685 0.000712080946577931
-5 -4 79 80 3.610884090183006 0.0006594208307157956
-5 -4 80 81 3.293254005537991 0.0006114860532830946
-5 -4 81 82 3.002938949466182 0.0005675212068840807
-5 -4 82 83 2.737659023983716 0.0005262003312727082
-5 -4 83 84 2.495321775263373 0.0004877224508006428
-5 -4 84 85 2.274002548042044 0.0004515951979908728
-5 -4 85 86 2.071924444302817 0.000415556902717551
-5 -4 86 87 1.887422448220966 0.0003835999416572644
-5 -4 87 88 1.718986337237677 0.0003544547384324304
-5 -4 88 89 1.56524864180984 0.0003271862044622598
-5 -4 89 90 1.424956385819752 0.0003023199081142458
-5 -4 90 91 1.296967550294529 0.0002791584537322755
-5 -4 91 92 1.180235759918268 0.0002576696685052671
-5 -4 92 93 1.073800002216784 0.0002374690497655152
-5 -4 93 94 0.9767741803521746 0.0002185858556906783
-5 -4 94 95 0.8883418896195009 0.0002008666252142355
-5 -4 95 96 0.8077537348746947 0.0001850059554481254
-5 -4 96 97 0.7343308822087137 0.0001701498597047602
-5 -4 97 98 0.6674507425893806 0.0001564912670708463
-5 -4 98 99 0.6065438476062472 0.0001438596983056595
-5 -4 99 100 0.5510897482330285 0.0001322726418648834
-4 -3.75 0.1 1 3509.910186402132 0.5213756402795298
-4 -3.75 1 2 22656.12329633705 15.4363309473556
-4 -3.75 2 3 18147.00861759087 8.450426917595905
-4 -3.75 3 4 13671.22517095962 5.665368227928411
-4 -3.75 4 5 10606.09701414028 9.435617725217526
-4 -3.75 5 6 8470.076944969132 5.51978160395447
