#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 7440.396676537661 2.170683647887927
-5 -4 1 2 23617.83469853344 10.03325979308647
-5 -4 2 3 16809.10665770293 9.125082440241385
-5 -4 3 4 12145.1092414671 7.231478454701573
-5 -4 4 5 9184.88253077387 5.799295682340016
-5 -4 5 6 7196.252439259554 5.024531124378882
-5 -4 6 7 5789.71951890204 3.973343221481628
-5 -4 7 8 4753.952017026455 3.540914680631431
-5 -4 8 9 3966.191096640177 2.917021116272281
-5 -4 9 10 3351.795317742597 2.542934184095429
-5 -4 10 11 2862.636544979729 2.231617533690951
-5 -4 11 12 2466.565870149436 0.6908958467784032
-5 -4 12 13 2141.143030293326 0.4355847797951355
-5 -4 13 14 1870.54848637916 0.267310928802317
-5 -4 14 15 1643.185893023663 0.2015083157289155
-5 -4 15 16 1450.41041323461 0.1530217778290535
-5 -4 16 17 1285.659112866393 0.1166821650333532
-5 -4 17 18 1143.871128044146 0.08920634746573342
-5 -4 18 19 1021.087240838547 0.0682315639743365
-5 -4 19 20 914.1700029091044 0.05208446218773588
-5 -4 20 21 820.6057815440369 0.03948241864191004
-5 -4 21 22 738.3610774581879 0.0296477794341854
-5 -4 22 23 665.7744097711662 0.02392603061434784
-5 -4 23 24 601.4764399501731 0.02177061856775708
-5 -4 24 25 544.33091959782 0.0192411263304848
-5 -4 25 26 493.3888343480204 0.01662894278342719
-5 -4 26 27 447.8516410911125 0.01411693573095363
-5 -4 27 28 407.042973211376 0.01181776677435664
-5 -4 28 29 370.3869840298239 0.009796050156410274
-5 -4 29 30 337.3915536438756 0.008052086162081196
-5 -4 30 31 307.6404275929344 0.2356859261740851
-5 -4 31 32 280.7540067984872 0.1929826081984061
-5 -4 32 33 256.4232684453216 0.1580576118667523
-5 -4 33 34 234.3720757673703 0.1294965304107336
-5 -4 34 35 214.3592508243536 0.106133391573735
-5 -4 35 36 196.1734702634645 0.08701116346412618
-5 -4 36 37 179.6288113412812 0.07138364487545346
-5 -4 37 38 164.5655263444982 0.1300173539838738
-5 -4 38 39 150.828961653334 0.1143196676494824
-5 -4 39 40 138.2949259048087 0.100086502259586
-5 -4 40 41 126.8486511631334 0.08725174369291722
-5 -4 41 42 116.3878106355298 0.07571147001148404
-5 -4 42 43 106.8209508507251 0.06531452544112426
-5 -4 43 44 98.06610710193533 0.05600542702561029
-5 -4 44 45 90.04966572321685 0.04769820776729716
-5 -4 45 46 82.70549433059378 0.04028634742086012
-5 -4 46 47 75.9739751717044 0.03365299971821401
-5 -4 47 48 69.80126593697598 0.02770577841882016
-5 -4 48 49 64.138702292445 0.02239796118162474
-5 -4 49 50 58.94225730244547 0.01769539355714045
-5 -4 50 51 54.17197218516833 0.01356471275374105
-5 -4 51 52 49.79159810398347 0.009929678513437068
-5 -4 52 53 45.76824492975031 0.006749924665250262
-5 -4 53 54 42.07197806718809 0.00399287708501106
-5 -4 54 55 38.67550680661538 0.003414530389825643
-5 -4 55 56 35.55419516965961 0.004583065427254951
-5 -4 56 57 32.68448730657695 0.003066870558775747
-5 -4 57 58 30.04645817002715 0.002961302423049261
-5 -4 58 59 27.62089653555199 0.003905496983790613
-5 -4 59 60 25.39044872909183 0.004663873286094855
-5 -4 60 61 23.3392022520335 0.005248968667633136
-5 -4 61 62 21.45258625701123 0.005650795595418145
-5 -4 62 63 19.71727925983434 0.00588958618710933
-5 -4 63 64 18.12108451108929 0.006047131980295717
-5 -4 64 65 16.65278751420597 0.006164509924143857
-5 -4 65 66 15.3021007595756 0.006231099644400828
-5 -4 66 67 14.05960713173712 0.006234268792567832
-5 -4 67 68 12.91667649085768 0.006177592092889483
-5 -4 68 69 11.8653560557477 0.00606249886816812
-5 -4 69 70 10.89830618495783 0.005900951602288984
-5 -4 70 71 10.00879060029427 0.005714761874969554
-5 -4 71 72 9.190633659149274 0.005518719397086258
-5 -4 72 73 8.438165824016799 0.00530035579220467
-5 -4 73 74 7.74616589976735 0.005051543959029736
-5 -4 74 75 7.109805973630735 0.004783612295261364
-5 -4 75 76 6.524646929430362 0.004511431798458254
-5 -4 76 77 5.98661936202047 0.004235858362566347
-5 -4 77 78 5.491987878046257 0.003952353950856136
-5 -4 78 79 5.037303877162209 0.003666977925908199
-5 -4 79 80 4.619382949293833 0.003387237176903923
-5 -4 80 81 4.235304176943279 0.003118219019134116
-5 -4 81 82 3.882385134610583 0.002865514128333135
-5 -4 82 83 3.558144073668082 0.002638090619768718
-5 -4 83 84 3.260293093098143 0.002435108887706594
-5 -4 84 85 2.986730879055561 0.002253816272363984
-5 -4 85 86 2.735517881732902 0.002097020389374649
-5 -4 86 87 2.504858748837444 0.001961449558703698
-5 -4 87 88 2.293117382706353 0.0004000393082499443
-5 -4 88 89 2.098714542398592 0.0003718706009694372
-5 -4 89 90 1.920302761133056 0.0003456160801578179
-5 -4 90 91 1.756601601650392 0.000320952302296007
-5 -4 91 92 1.606428899070096 0.0002978899033780902
-5 -4 92 93 1.468694510274662 0.0002763596258978929
-5 -4 93 94 1.342394107673078 0.0002562731547148811
-5 -4 94 95 1.226602638485146 0.0002376159570161018
-5 -4 95 96 1.120469524114023 0.0002202658740724228
-5 -4 96 97 1.023212222865831 0.0002040814078496656
-5 -4 97 98 0.9341098317637261 0.0001890198284547617
-5 -4 98 99 0.852498683594446 0.0001750057640292901
-5 -4 99 100 0.7777675740206365 0.0001618974705565046
-4 -3.75 0 1 4224.736766553729 0.5866051289467578
-4 -3.75 1 2 21161.11480621132 15.31188550673687
-4 -3.75 2 3 16662.76013366434 8.22738263615247
-4 -3.75 3 4 12504.65215093032 6.117476708128379
-4 -3.75 4 5 9688.756310180794 3.332855701646622
-4 -3.75 5 6 7735.265069319285 4.880815588076075
-4 -3.75 6 7 6324.432140412415 3.044177977304571
-4 -3.75 7 8 5268.941875105945 2.44038999168788
-4 -3.75 8 9 4456.118460899218 2.791263448508289
-4 -3.75 9 10 3815.171515376521 2.985180479847713
-4 -3.75 10 11 3299.756836083751 0.7038833008605252
-4 -3.75 11 12 2878.511008278091 0.5219466612115866
-4 -3.75 12 13 2529.40590066451 0.3936523170750661
-4 -3.75 13 14 2236.639713844884 0.3019478163701024
-4 -3.75 14 15 1988.583642422432 0.2340173753052568
-4 -3.75 15 16 1776.520880357316 0.1833122528269087
-4 -3.75 16 17 1593.794158707039 0.1451534552541034
-4 -3.75 17 18 1435.245067799022 1.089284864428009
-4 -3.75 18 19 1296.80373343424 0.8978550957137941
-4 -3.75 19 20 1175.243847198674 0.7402576144920658
-4 -3.75 20 21 1067.966007462761 0.6104532762208237
-4 -3.75 21 22 972.8573643623341 0.5035033481135542
-4 -3.75 22 23 888.1874131008015 0.4153794910016586
-4 -3.75 23 24 812.5252004076467 0.3427683243058937
-4 -3.75 24 25 744.6773008514723 0.2829414891414217
-4 -3.75 25 26 683.6422386736027 0.2336490606500092
-4 -3.75 26 27 628.5753542948305 0.193039781142943
-4 -3.75 27 28 578.75988869811 0.1595894294958953
-4 -3.75 28 29 533.5832360615581 0.1320361469554427
-4 -3.75 29 30 492.5191577772968 0.1093441564602244
-4 -3.75 30 31 455.113550148727 0.09065590305391424
-4 -3.75 31 32 420.9737108330183 0.07526380744599237
-4 -3.75 32 33 389.7579634183335 0.06258823623937815
-4 -3.75 33 34 361.1678223394315 0.05214397913107405
-4 -3.75 34 35 334.9413269574783 0.04353207891358579
-4 -3.75 35 36 310.8477780444707 0.03642706024191966
-4 -3.75 36 37 288.6836114261604 0.03056796531978989
-4 -3.75 37 38 268.2686411077969 0.0257311679488339
-4 -3.75 38 39 249.4429109973101 0.02173842193536757
-4 -3.75 39 40 232.0637708982073 0.01843894635081256
-4 -3.75 40 41 216.0037818827183 0.0157059524323131
-4 -3.75 41 42 201.1486695388256 0.01343810272865653
-4 -3.75 42 43 187.3958488036988 0.01155692913931716
-4 -3.75 43 44 174.6530418582411 0.00999617006061726
-4 -3.75 44 45 162.8371161057492 0.008696448651505762
-4 -3.75 45 46 151.8728984128585 0.007611083464126978
-4 -3.75 46 47 141.6922685025568 0.006703128189656127
-4 -3.75 47 48 132.2333048847023 0.005941119186246624
-4 -3.75 48 49 123.439678588783 0.005296983402544697
-4 -3.75 49 50 115.2601295720283 0.004751807454780987
-4 -3.75 50 51 107.6478940646035 0.00428852078718478
-4 -3.75 51 52 100.5602477342319 0.003889771413625454
-4 -3.75 52 53 93.95815611626934 0.003550452339936783
-4 -3.75 53 54 87.80583479886313 0.003262237193297324
-4 -3.75 54 55 82.07047910060847 0.003010686145600516
-4 -3.75 55 56 76.72197613795669 0.002787768902010157
-4 -3.75 56 57 71.73259361056321 0.002693581916858534
-4 -3.75 57 58 67.07677748321403 0.002620649386528839
-4 -3.75 58 59 62.73094005806719 0.002543759549681113
-4 -3.75 59 60 58.67329435387626 0.002464350187118214
-4 -3.75 60 61 54.88372643959532 0.002430443024707074
-4 -3.75 61 62 51.34179457442617 0.03978723092550496
-4 -3.75 62 63 48.03420791725943 0.03550073507648932
-4 -3.75 63 64 44.94310823329621 0.03166420768323519
-4 -3.75 64 65 42.05380937631561 0.02822545559396872
-4 -3.75 65 66 39.35265712909241 0.02514385452447243
-4 -3.75 66 67 36.82697294837674 0.02238470715508356
-4 -3.75 67 68 34.46501187184109 0.01991582783906409
-4 -3.75 68 69 32.25587103817271 0.01770709441183982
-4 -3.75 69 70 30.18937603049179 0.01573185294101265
-4 -3.75 70 71 28.25606693767109 0.01397179292463591
-4 -3.75 71 72 26.44715441358509 0.01240140059596584
-4 -3.75 72 73 24.75444481831713 0.01099820336016322
-4 -3.75 73 74 23.17030356653585 0.009746436515083445
-4 -3.75 74 75 21.68763134544048 0.008624523691530328
-4 -3.75 75 76 20.29984319723533 0.007617397837606177
-4 -3.75 76 77 19.00081504470613 0.006716054857211162
-4 -3.75 77 78 17.78479623930255 0.005914277340654195
-4 -3.75 78 79 16.64640521020337 0.005202843812327274
-4 -3.75 79 80 15.5806132999527 0.004570133783490249
-4 -3.75 80 81 14.58271959102062 0.00400512934730024
-4 -3.75 81 82 13.64835798758431 0.003504261974656586
-4 -3.75 82 83 12.77348019165853 0.003057505869724864
-4 -3.75 83 84 11.95429908629408 0.002658737660983235
-4 -3.75 84 85 11.18724212363665 0.00230214571196008
-4 -3.75 85 86 10.46895537080008 0.001987368951843038
-4 -3.75 86 87 9.796314146603226 0.001708937845842584
-4 -3.75 87 88 9.166421149353456 0.00146533351957423
-4 -3.75 88 89 8.57657433546505 0.001251326319353652
-4 -3.75 89 90 8.024240995941032 0.001216160814502487
-4 -3.75 90 91 7.507044145546871 0.001189098301364488
-4 -3.75 91 92 7.022731560434586 0.001161938163564358
-4 -3.75 92 93 6.569197943081694 0.001130622727952613
-4 -3.75 93 94 6.144495492933227 0.001092244521886165
-4 -3.75 94 95 5.746812855894798 0.001045940435105308
-4 -3.75 95 96 5.374463230228773 0.000993000130152133
-4 -3.75 96 97 5.025848810513586 0.0009548456504369085
-4 -3.75 97 98 4.69944761427843 0.0009325086284377448
-4 -3.75 98 99 4.39383755494742 0.0009133407428718598
-4 -3.75 99 100 4.107711631798646 0.0008792498249947656
-3.75 -3.5 0 1 3239.330911009941 0.6179795459233901
-3.75 -3.5 1 2 27042.0170420802 15.90994432638763
-3.75 -3.5 2 3 22628.05356994422 8.6457513302812
-3.75 -3.5 3 4 17322.03037136016 5.345856088810251
-3.75 -3.5 4 5 13581.34822745171 3.528051263392626
-3.75 -3.5 5 6 10938.5639730626 6.596596219347703
-3.75 -3.5 6 7 9008.561335804796 4.135269619075189
-3.75 -3.5 7 8 7553.230332315478 2.732101669685107
-3.75 -3.5 8 9 6425.582708971928 1.878761112203392
-3.75 -3.5 9 10 5531.860887692307 1.335433902589102
-3.75 -3.5 10 11 4810.041188502408 0.9733694585202102
-3.75 -3.5 11 12 4217.727008433751 0.7262306175571211
-3.75 -3.5 12 13 3725.052957117943 0.5508481785882395
-3.75 -3.5 13 14 3310.419682164457 2.60079056725408
-3.75 -3.5 14 15 2958.02580010013 2.155632142071681
-3.75 -3.5 15 16 2655.789505916707 1.778539586724946
-3.75 -3.5 16 17 2394.540112655479 1.461053809235182
-3.75 -3.5 17 18 2167.143077599739 1.19426188972966
-3.75 -3.5 18 19 1967.973719174312 0.9786817500994403
-3.75 -3.5 19 20 1792.547202303838 0.8074908054975367
-3.75 -3.5 20 21 1637.251498766641 0.6662893275567967
-3.75 -3.5 21 22 1499.142491663519 0.5497983549219043
-3.75 -3.5 22 23 1375.800476935501 0.4537048422334919
-3.75 -3.5 23 24 1265.222348758185 0.3744468650982071
-3.75 -3.5 24 25 1165.740563747958 0.3090843358713755
-3.75 -3.5 25 26 1075.951232266385 0.2551994652578742
-3.75 -3.5 26 27 994.6668273274571 0.2107861576197365
-3.75 -3.5 27 28 920.8785351029649 0.1741838735673582
-3.75 -3.5 28 29 853.7240492502837 0.1853132346461734
-3.75 -3.5 29 30 792.4629499275088 0.2373676537384881
-3.75 -3.5 30 31 736.4550537367276 0.2826096233699218
-3.75 -3.5 31 32 685.1450882325825 0.3222854435892941
-3.75 -3.5 32 33 638.0494313364343 0.3572570557677182
-3.75 -3.5 33 34 594.7451305135291 0.3881923463521844
-3.75 -3.5 34 35 554.8613240185875 0.4152701619771051
-3.75 -3.5 35 36 518.0687038633801 0.03946789713882026
-3.75 -3.5 36 37 484.084429760466 0.03309810869779994
-3.75 -3.5 37 38 452.6489916103065 0.02785033625900724
-3.75 -3.5 38 39 423.5343087856754 0.02352521732757396
-3.75 -3.5 39 40 396.537287233187 0.01995944866592936
-3.75 -3.5 40 41 371.4763188251034 0.01702103856899839
-3.75 -3.5 41 42 348.1885005450874 0.01459624498892254
-3.75 -3.5 42 43 326.5274457397118 0.01259383057595187
-3.75 -3.5 43 44 306.3611009225445 0.01093554987392054
-3.75 -3.5 44 45 287.570148736928 0.009559320522328107
-3.75 -3.5 45 46 270.0466840259422 0.008413843493599416
-3.75 -3.5 46 47 253.6927882354298 0.007458226633104914
-3.75 -3.5 47 48 238.4128673302826 0.1872419957229567
-3.75 -3.5 48 49 224.1400089944929 0.1653309794036204
-3.75 -3.5 49 50 210.7929477364746 0.1458092960472186
-3.75 -3.5 50 51 198.3042151941425 0.1284214915887674
-3.75 -3.5 51 52 186.6121073622178 0.1129344422891165
-3.75 -3.5 52 53 175.6599244614959 0.09914111605698395
-3.75 -3.5 53 54 165.3956439322838 0.08686202054641967
-3.75 -3.5 54 55 155.7714811592324 0.07593321708142753
-3.75 -3.5 55 56 146.7434736036647 0.06621343890935805
-3.75 -3.5 56 57 138.2710885739015 0.05757967155957999
-3.75 -3.5 57 58 130.3169400209403 0.04991148975878446
-3.75 -3.5 58 59 122.8464842308128 0.04309840955029642
-3.75 -3.5 59 60 115.8277762421382 0.03704998474887589
-3.75 -3.5 60 61 109.2312153299941 0.03168631329856453
-3.75 -3.5 61 62 103.0294115364743 0.0269326396622489
-3.75 -3.5 62 63 97.19692562085197 0.02272541697756481
-3.75 -3.5 63 64 91.71013351207472 0.01901078948073121
-3.75 -3.5 64 65 86.54707811772283 0.01573837137966905
-3.75 -3.5 65 66 81.68734041262702 0.01285536383326757
-3.75 -3.5 66 67 77.11191663798259 0.01031939056827014
-3.75 -3.5 67 68 72.80309044501297 0.008093648632524264
-3.75 -3.5 68 69 68.74434827043099 0.006140547204054769
-3.75 -3.5 69 70 64.92031867677359 0.004426811806467867
-3.75 -3.5 70 71 61.31667245006906 0.002929772104145911
-3.75 -3.5 71 72 57.92001063443892 0.002006304665442826
-3.75 -3.5 72 73 54.7178159734414 0.001938672871894198
-3.75 -3.5 73 74 51.69837871153202 0.001870835097236068
-3.75 -3.5 74 75 48.850727306744 0.001804936769751464
-3.75 -3.5 75 76 46.16461201182832 0.002017335437173529
-3.75 -3.5 76 77 43.63046054918997 0.002621235182708403
-3.75 -3.5 77 78 41.23933133697319 0.003126011389468886
-3.75 -3.5 78 79 38.98283089425846 0.003545870838301823
-3.75 -3.5 79 80 36.85303025621641 0.003893082610247234
-3.75 -3.5 80 81 34.84248585685376 0.00417574605806692
-3.75 -3.5 81 82 32.94423367081863 0.004399955016815227
-3.75 -3.5 82 83 31.15175302625616 0.00457442931413965
-3.75 -3.5 83 84 29.45892847801663 0.004706375275404184
-3.75 -3.5 84 85 27.86002060563898 0.004801032511991821
-3.75 -3.5 85 86 26.34964037029071 0.004861539117648306
-3.75 -3.5 86 87 24.92272508785359 0.004889570972558488
-3.75 -3.5 87 88 23.57451579673889 0.004890472439949889
-3.75 -3.5 88 89 22.30055563127106 0.004869568653752765
-3.75 -3.5 89 90 21.09666379118931 0.004828528382823549
-3.75 -3.5 90 91 19.95887987959687 0.004769519081790463
-3.75 -3.5 91 92 18.88344410360923 0.004697030499460908
-3.75 -3.5 92 93 17.86681929082963 0.004614064217410174
-3.75 -3.5 93 94 16.90568701052045 0.004522004668370272
-3.75 -3.5 94 95 15.99693540340752 0.004422418806447226
-3.75 -3.5 95 96 15.13763504125807 0.004319276539435535
-3.75 -3.5 96 97 14.32502309306851 0.004211492894730995
-3.75 -3.5 97 98 13.5565032712249 0.004097292829502663
-3.75 -3.5 98 99 12.82963983611269 0.003979141133140018
-3.75 -3.5 99 100 12.14212982275533 0.003858774154418043
-3.5 -3.25 0 1 1215.937488803376 0.6519891982654826
-3.5 -3.25 1 2 31166.96021133869 16.4849115953366
-3.5 -3.25 2 3 27626.06048981436 9.034528358108219
-3.5 -3.25 3 4 21515.46887657207 5.638392544231465
