#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 11934.11253279084 3.627297496248502
-5 -4 1 2 27206.64520599843 13.71994748082216
-5 -4 2 3 17761.0888686871 10.43216491743078
-5 -4 3 4 12452.61016307983 7.851716232982653
-5 -4 4 5 9261.056364254708 6.130028732179198
-5 -4 5 6 7174.717532710254 4.937224374902144
-5 -4 6 7 5724.166450031835 4.071302536815892
-5 -4 7 8 4668.659078474847 3.431607509312016
-5 -4 8 9 3873.561066977505 2.931294663716926
-5 -4 9 10 3258.028092277355 2.535945298952811
-5 -4 10 11 2771.001962285095 2.209087274502508
-5 -4 11 12 2378.761628587685 0.7835815914631894
-5 -4 12 13 2057.993629009687 0.4958654586557714
-5 -4 13 14 1792.384791731877 0.3031242483384631
-5 -4 14 15 1570.057127072273 0.1790395886741862
-5 -4 15 16 1382.204393165249 0.1345858358408805
-5 -4 16 17 1222.173679300461 0.101399000977608
-5 -4 17 18 1084.858512054422 0.07650208751056198
-5 -4 18 19 966.2796639397789 0.05765035586841805
-5 -4 19 20 863.2947484975018 0.043252969215132
-5 -4 20 21 773.394773184878 0.03206045166450622
-5 -4 21 22 694.5569240731509 0.02470733469158404
-5 -4 22 23 625.1329987655284 0.02389422453347834
-5 -4 23 24 563.7678896630365 0.02203697285176531
-5 -4 24 25 509.3404023186063 0.01970239732361279
-5 -4 25 26 460.9167156774947 0.01721920558355805
-5 -4 26 27 417.7127152743616 0.01479037386650361
-5 -4 27 28 379.0655455731031 0.01253648362751392
-5 -4 28 29 344.412057957551 0.01053262537516275
-5 -4 29 30 313.2810957273477 0.2463045311382075
-5 -4 30 31 285.2421244360488 0.1989899949895175
-5 -4 31 32 259.9508076285691 0.1606300657522297
-5 -4 32 33 237.099390087031 0.1295543153591723
-5 -4 33 34 216.4203888033667 0.1043971373743489
-5 -4 34 35 197.6807955730062 0.08403750884147598
-5 -4 35 36 180.6819171817965 0.1432813344492843
-5 -4 36 37 165.234447455543 0.1260496301225658
-5 -4 37 38 151.1855691898037 0.1104723786891384
-5 -4 38 39 138.3956797850076 0.09639375890134261
-5 -4 39 40 126.741059032235 0.08373228164325042
-5 -4 40 41 116.111910505581 0.07240697361615389
-5 -4 41 42 106.4105505996141 0.06227982960396616
-5 -4 42 43 97.5497651175137 0.05316021055988074
-5 -4 43 44 89.45142894373267 0.04502129495951124
-5 -4 44 45 82.04542515500997 0.03779698620637362
-5 -4 45 46 75.2688600181164 0.03137422054700778
-5 -4 46 47 69.06512170258527 0.02563579290087148
-5 -4 47 48 63.38320351137759 0.02051525208323568
-5 -4 48 49 58.17710155810241 0.01596928906836581
-5 -4 49 50 53.40524766042979 0.011952258157784
-5 -4 50 51 49.02991619971164 0.008442525914404087
-5 -4 51 52 45.01690832384614 0.005368211447041915
-5 -4 52 53 41.33523394964167 0.0036119169551867
-5 -4 53 54 37.95629264313213 0.004843406391756844
-5 -4 54 55 34.85574475827816 0.00324466870043949
