#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -777.9456003488708 0.08910031561072174
-5 -4 1 2 21354.99451726341 9.740313427941146
-5 -4 2 3 17360.97064122971 9.260579177163891
-5 -4 3 4 12999.26761891415 7.764509167560391
-5 -4 4 5 9993.420639927379 6.372234987258707
-5 -4 5 6 7732.112188604082 5.767155882748739
-5 -4 6 7 6392.868560703839 4.444968752931345
-5 -4 7 8 5267.823540168846 3.805678430278022
-5 -4 8 9 4405.217808489268 3.289764426652255
-5 -4 9 10 3557.059857099752 2.05159126854187
-5 -4 10 11 3187.384589130986 2.524673414743575
-5 -4 11 12 2747.871586143912 1.576302149273943
-5 -4 12 13 2385.883229458646 1.096989222202865
-5 -4 13 14 2084.34311283228 0.7574572192665983
-5 -4 14 15 1830.645718235432 0.5186347138896963
-5 -4 15 16 1615.338521628925 0.3518142043792523
-5 -4 16 17 1431.211063754528 0.2361100480090954
-5 -4 17 18 1272.683956530526 0.1564652502247554
-5 -4 18 19 1135.377637647106 0.1021120221764704
-5 -4 19 20 1015.810665369021 0.06537917030664175
-5 -4 20 21 911.1874524260289 0.04425221711358063
-5 -4 21 22 819.2431122375426 0.0328523221372734
-5 -4 22 23 738.1232626787847 0.024376959146025
-5 -4 23 24 666.2962962222673 0.02042646682468785
-5 -4 24 25 602.4903132454639 0.01636459625001407
-5 -4 25 26 545.642598111133 0.01252901386067151
-5 -4 26 27 494.8577587467172 0.008854522717285818
-5 -4 27 28 449.3762866838184 0.005413856224777192
-5 -4 28 29 408.5510134166863 0.002332892584831825
-5 -4 29 30 371.8292935675811 0.002746373047557427
-5 -4 30 31 338.7363364332393 0.004046130160531902
-5 -4 31 32 308.8616474733674 0.004981521427112057
-5 -4 32 33 281.8483144753199 0.005685149763223762
-5 -4 33 34 257.3861835729634 0.1908577461591108
-5 -4 34 35 235.2026812532818 0.1576463630857177
-5 -4 35 36 215.0613655967508 0.1302839373901463
-5 -4 36 37 196.7534078030996 0.1077627200761242
-5 -4 37 38 180.099605072069 0.1398223050945546
-5 -4 38 39 164.9250747773439 0.1224762640113966
-5 -4 39 40 151.0906759041585 0.106831663823499
-5 -4 40 41 138.4676261086167 0.09281427439788104
-5 -4 41 42 126.9412852654867 0.08025122462035483
-5 -4 42 43 116.4091887807217 0.06889567959333931
-5 -4 43 44 106.7794373819976 0.05874295504443694
-5 -4 44 45 97.9694606769952 0.04972547960716156
-5 -4 45 46 89.90516201126277 0.0416950464932313
-5 -4 46 47 82.51979685479607 0.03449883296842415
-5 -4 47 48 75.75319108719765 0.02805450985130165
-5 -4 48 49 69.55106107275094 0.02231097781728408
-5 -4 49 50 63.86432823283921 0.01721602735347005
-5 -4 50 51 58.64839823612073 0.01275003674943065
-5 -4 51 52 53.86282545440746 0.008817985441048393
-5 -4 52 53 49.47095432086029 0.005741090983789832
-5 -4 53 54 45.43945620471114 0.004810335497140272
-5 -4 54 55 41.73803266001241 0.00842715988898135
-5 -4 55 56 38.33885207533123 0.003626002639478543
-5 -4 56 57 35.21684737245572 0.003636066832555684
-5 -4 57 58 32.34900231666295 0.004837210233375799
-5 -4 58 59 29.71432001661944 0.00576290446452532
-5 -4 59 60 27.29356273672333 0.006487569013803096
-5 -4 60 61 25.06910472070043 0.007025429420881579
-5 -4 61 62 23.02482053945209 0.00736177439169694
-5 -4 62 63 21.14598772703615 0.007519365594390592
-5 -4 63 64 19.41914406965824 0.007597278053538048
-5 -4 64 65 17.83191925961935 0.007645142010726858
-5 -4 65 66 16.37297828240269 0.007645010403940944
-5 -4 66 67 15.03196960653955 0.007578135705474054
-5 -4 67 68 13.79940518480315 0.007448814301644902
-5 -4 68 69 12.66654034181431 0.007258006340093104
-5 -4 69 70 11.62530610780837 0.007020456533490815
-5 -4 70 71 10.66830481360735 0.006761756929954288
-5 -4 71 72 9.788762894896404 0.006499321613318898
-5 -4 72 73 8.980470235963621 0.00621615925419583
-5 -4 73 74 8.237712523303165 0.005901450981552259
-5 -4 74 75 7.555204964377917 0.00556808273321252
-5 -4 75 76 6.928094727722718 0.005232781766534522
-5 -4 76 77 6.351940988776949 0.004895248808455044
-5 -4 77 78 5.822672017080814 0.004549204373747173
-5 -4 78 79 5.336529292497617 0.004201546390671496
-5 -4 79 80 4.890041532818858 0.00386198400977289
-5 -4 80 81 4.480028705052929 0.003536686723017546
-5 -4 81 82 4.103574564142365 0.003232373818288004
-5 -4 82 83 3.757981138504053 0.002959809195581808
-5 -4 83 84 3.440763866114865 0.002718308958952864
-5 -4 84 85 3.149643726628583 0.002504339647344977
-5 -4 85 86 2.882602766389628 0.0005003067253723792
-5 -4 86 87 2.637498497055419 0.0004645567761620839
-5 -4 87 88 2.412648551168115 0.0004313338504768893
-5 -4 88 89 2.206413494879892 0.0004005983634227661
-5 -4 89 90 2.017290448447215 0.0003720189477127711
-5 -4 90 91 1.843897896453623 0.0003451554509321664
-5 -4 91 92 1.684960488329286 0.000320052924621228
-5 -4 92 93 1.539302756455264 0.0002966350722042321
-5 -4 93 94 1.40584254599647 0.0002748065180160353
-5 -4 94 95 1.283583758950383 0.0002545534326552357
-5 -4 95 96 1.171611291418535 0.0002357492143212347
-5 -4 96 97 1.069084178319898 0.0002182354737130243
-5 -4 97 98 0.9752285183506176 0.0002019518413386434
-5 -4 98 99 0.8893323796559067 0.0001868099187785077
-5 -4 99 100 0.8107404749780052 0.0001726470378156097
-4 -3.75 0 1 -4509.657304042661 2.738389421349893
-4 -3.75 1 2 16413.69968017721 9.966566770126519
-4 -3.75 2 3 16417.49085485924 8.711014299795352
-4 -3.75 3 4 12947.95129365487 0.2041451526583842
-4 -3.75 4 5 10341.3772211199 5.561766172882926
-4 -3.75 5 6 8372.302503487492 5.958598617420648
-4 -3.75 6 7 6905.574821503872 3.711909166339865
-4 -3.75 7 8 5787.010613367992 2.43144945426684
-4 -3.75 8 9 4914.351535689231 2.285424414390036
-4 -3.75 9 10 4219.775722919301 2.724015163676995
-4 -3.75 10 11 3657.353096999944 0.8497462867494505
-4 -3.75 11 12 3195.247110442252 0.6280375026749425
-4 -3.75 12 13 2810.697675870071 0.4718367117443449
-4 -3.75 13 14 2487.162322138935 0.3611886369221793
-4 -3.75 14 15 2212.32578559726 0.2786959855434361
-4 -3.75 15 16 1976.887440250788 0.2173703700402712
-4 -3.75 16 17 1773.69047939359 0.1716510160490543
-4 -3.75 17 18 1597.142064211867 0.1360678028722759
-4 -3.75 18 19 1442.833017627399 0.1083857199459999
-4 -3.75 19 20 1307.222517201698 1.042366068812953
-4 -3.75 20 21 1187.50187115836 0.8674031298128284
-4 -3.75 21 22 1081.31771500697 0.7220583769153563
-4 -3.75 22 23 986.763877041526 0.6013249156751499
-4 -3.75 23 24 902.2593750067717 0.5010247756304125
-4 -3.75 24 25 826.4808969237932 0.4176970707687815
-4 -3.75 25 26 758.3157581169879 0.3484623295584015
-4 -3.75 26 27 696.8251199178281 0.2909300006391504
-4 -3.75 27 28 641.2117093624581 0.2431130665817136
-4 -3.75 28 29 590.7922481185996 0.2033577467126406
-4 -3.75 29 30 544.9783686131181 0.1703015797695571
-4 -3.75 30 31 503.2617568253063 0.142806542081928
-4 -3.75 31 32 465.2034964545828 0.1199274571163187
-4 -3.75 32 33 430.4213871545252 0.1008825800045656
-4 -3.75 33 34 398.5811365095859 0.08501605367030152
-4 -3.75 34 35 369.3888047644853 0.07178476329755767
-4 -3.75 35 36 342.5852109030902 0.06073980722067063
-4 -3.75 36 37 317.9417379563192 0.05151714534747498
-4 -3.75 37 38 295.2562561227441 0.04380576172235351
-4 -3.75 38 39 274.3494233690383 0.03735363058228813
-4 -3.75 39 40 255.0611037927108 0.03194770696867977
-4 -3.75 40 41 237.2481276139568 0.02740827285535374
-4 -3.75 41 42 220.7819685039199 0.0235893825962421
-4 -3.75 42 43 205.547252956819 0.02037477700804402
-4 -3.75 43 44 191.4402997656289 0.01766613667305705
-4 -3.75 44 45 178.3678513337731 0.01537695979564546
-4 -3.75 45 46 166.2455988014228 0.01343770101090058
-4 -3.75 46 47 154.99717405466 0.01179213159528558
-4 -3.75 47 48 144.5530580639982 0.01039212924769117
-4 -3.75 48 49 134.8500049533862 0.009194882129179405
-4 -3.75 49 50 125.8304769014564 0.008169593985840606
-4 -3.75 50 51 117.442011542507 0.007288614619255895
-4 -3.75 51 52 109.6366992031958 0.006526073915225084
-4 -3.75 52 53 102.3708600211562 0.005870251736837417
-4 -3.75 53 54 95.6044632799119 0.005306350308757146
-4 -3.75 54 55 89.30082290624344 0.004814029409004661
-4 -3.75 55 56 83.42629162941762 0.004380435099449187
-4 -3.75 56 57 77.94983769276168 0.004000523927018662
-4 -3.75 57 58 72.84288069836235 0.003668567881121021
-4 -3.75 58 59 68.07905698418928 0.003372428932323146
-4 -3.75 59 60 63.63403186227745 0.00310682774186688
-4 -3.75 60 61 59.48535313176173 0.002868829190695976
-4 -3.75 61 62 55.6123393669538 0.002660993340114715
-4 -3.75 62 63 51.99587718812676 0.002580937518388282
-4 -3.75 63 64 48.61831491002107 0.002540321291405689
-4 -3.75 64 65 45.46118023143094 0.03487001399242473
-4 -3.75 65 66 42.51370283677495 0.03111810031587936
-4 -3.75 66 67 39.75949289805681 0.02775524339028124
-4 -3.75 67 68 37.18549452547227 0.02474245402623154
-4 -3.75 68 69 34.7795952247708 0.02204389186919542
-4 -3.75 69 70 32.53049151777454 0.01962821606655041
-4 -3.75 70 71 30.42769278103778 0.01747285264582388
-4 -3.75 71 72 28.46145312906953 0.01554727426952596
-4 -3.75 72 73 26.62269550344581 0.01382465980508485
-4 -3.75 73 74 24.9029689818464 0.01228583547140616
-4 -3.75 74 75 23.29442488454615 0.01090489534614036
-4 -3.75 75 76 21.78978805760203 0.009663185389278794
-4 -3.75 76 77 20.38230073882445 0.008549998002958858
-4 -3.75 77 78 19.06561445514922 0.00755804172933594
-4 -3.75 78 79 17.83378378029686 0.006676509226405614
-4 -3.75 79 80 16.68125590936214 0.005890883351653997
-4 -3.75 80 81 15.60284461335515 0.005187909082074782
-4 -3.75 81 82 14.59373666367009 0.004563263452919131
-4 -3.75 82 83 13.64947847762253 0.004005020732215314
-4 -3.75 83 84 12.76590468184844 0.003505492312331882
-4 -3.75 84 85 11.93908565736196 0.003057694212238005
-4 -3.75 85 86 11.16533178304519 0.002661111849146636
-4 -3.75 86 87 10.44121139646383 0.002309566435968691
-4 -3.75 87 88 9.763546223899171 0.002000797883592753
-4 -3.75 88 89 9.129375856785634 0.001728512433116336
-4 -3.75 89 90 8.535926802441322 0.00148263494981471
-4 -3.75 90 91 7.980596223131228 0.001290393470082307
-4 -3.75 91 92 7.460914535998675 0.001261091431736361
-4 -3.75 92 93 6.974573389167079 0.001226444895728207
-4 -3.75 93 94 6.519442379343562 0.001183272113340905
-4 -3.75 94 95 6.093543942138411 0.001130708963090754
-4 -3.75 95 96 5.695038796171681 0.00106989239747346
-4 -3.75 96 97 5.322183485756155 0.00102798424820616
-4 -3.75 97 98 4.973314203983223 0.001006072335977493
-4 -3.75 98 99 4.646878295513456 0.0009886180129834443
-4 -3.75 99 100 4.341452266886639 0.0009521473254716639
-3.75 -3.5 0 1 -10515.52280618889 8.029786103414153
-3.75 -3.5 1 2 18476.03015174507 9.207668268103589
-3.75 -3.5 2 3 21617.40288494791 9.149258234374429
-3.75 -3.5 3 4 17625.14454692298 8.891287586509861
-3.75 -3.5 4 5 14330.05736091015 5.216215920634568
-3.75 -3.5 5 6 11738.80646591261 8.10340193275988
-3.75 -3.5 6 7 9771.285260211203 5.075708135249442
-3.75 -3.5 7 8 8251.938726645238 3.349095528426915
-3.75 -3.5 8 9 7055.696988001493 2.297774048363863
-3.75 -3.5 9 10 6096.71254255954 1.630229570336269
-3.75 -3.5 10 11 5315.556037960697 1.184411741796794
-3.75 -3.5 11 12 4670.35875823723 0.8819516782523351
-3.75 -3.5 12 13 4130.943089756826 0.6664602476676009
-3.75 -3.5 13 14 3675.17489521243 0.512297904472689
-3.75 -3.5 14 15 3286.502803829294 2.542779204863109
-3.75 -3.5 15 16 2952.252069594704 2.093766535675513
-3.75 -3.5 16 17 2662.646228545126 1.989301606990921
-3.75 -3.5 17 18 2410.226022816656 1.656982086035896
-3.75 -3.5 18 19 2188.825255722674 1.380588986920884
-3.75 -3.5 19 20 1993.594200044206 1.150647570918181
-3.75 -3.5 20 21 1820.612873739534 0.9593094232243402
-3.75 -3.5 21 22 1666.668427519691 0.8000395712176669
-3.75 -3.5 22 23 1529.109157333814 0.6674949782463955
-3.75 -3.5 23 24 1405.735162268852 0.5571911175977675
-3.75 -3.5 24 25 1294.714262310953 0.4653762229688709
-3.75 -3.5 25 26 1194.495822390825 0.3889663564834791
-3.75 -3.5 26 27 1103.764228959144 0.3253746440013856
-3.75 -3.5 27 28 1021.401039743969 0.2724349132446378
-3.75 -3.5 28 29 946.4494396052039 0.2283621989768108
-3.75 -3.5 29 30 878.0870777786794 0.2648577914507086
-3.75 -3.5 30 31 815.6006900165399 0.3164051125514789
-3.75 -3.5 31 32 758.3707124258877 0.3614400122677353
-3.75 -3.5 32 33 705.8570209899898 0.4013322544469702
-3.75 -3.5 33 34 657.5866364859031 0.4371520662873536
-3.75 -3.5 34 35 613.1452706032246 0.4685728110698619
-3.75 -3.5 35 36 572.1655309832522 0.06945942270681371
-3.75 -3.5 36 37 534.3297989524046 0.05912296917892945
-3.75 -3.5 37 38 499.3474247336756 0.05046855477553436
-3.75 -3.5 38 39 466.962303218659 0.04321489512415155
-3.75 -3.5 39 40 436.9467671940487 0.03712925921036003
-3.75 -3.5 40 41 409.0972833149247 0.03202009416327201
-3.75 -3.5 41 42 383.2312082203612 0.0277209310655735
-3.75 -3.5 42 43 359.1844424793317 0.02409817139397319
-3.75 -3.5 43 44 336.8086990704859 0.02103725937752188
-3.75 -3.5 44 45 315.9699406762355 0.01844483348435233
-3.75 -3.5 45 46 296.5470199968099 0.01624322129509892
-3.75 -3.5 46 47 278.4299461622811 0.0143692473790793
-3.75 -3.5 47 48 261.5189529755734 0.01277092468700403
-3.75 -3.5 48 49 245.7233577097924 0.01140495508218464
-3.75 -3.5 49 50 230.9603891946951 0.01023262986123541
-3.75 -3.5 50 51 217.1451450783661 0.1655117049693615
-3.75 -3.5 51 52 204.2278086311444 0.1463710796714395
-3.75 -3.5 52 53 192.1345049305824 0.1292840051984001
-3.75 -3.5 53 54 180.8068880179615 0.1140353198113644
-3.75 -3.5 54 55 170.1914091594929 0.1004288064393393
-3.75 -3.5 55 56 160.2388187483656 0.08829457735205892
-3.75 -3.5 56 57 150.903731582285 0.07748287994894554
-3.75 -3.5 57 58 142.1443443552377 0.0678495123627556
-3.75 -3.5 58 59 133.922057392087 0.05926328403950265
-3.75 -3.5 59 60 126.2011580121631 0.05161511717281542
-3.75 -3.5 60 61 118.9485457346484 0.04480788132276814
-3.75 -3.5 61 62 112.1336479413633 0.03875163157276518
-3.75 -3.5 62 63 105.7280218594146 0.03336908641385605
-3.75 -3.5 63 64 99.70527956029949 0.02859359925530214
