#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 748.9808548015392 0.5917167018136524
-5 -4 1 2 20039.11087791645 7.141381739947974
-5 -4 2 3 16424.14678768783 8.360435439484718
-5 -4 3 4 12351.67241515043 7.10231789514728
-5 -4 4 5 9528.076408503097 5.873771572758415
-5 -4 5 6 7555.926351265029 5.688736357397829
-5 -4 6 7 6129.423004300653 4.144669122883897
-5 -4 7 8 5063.08952149253 3.561530395199952
-5 -4 8 9 4243.673408897062 3.09129291260615
-5 -4 9 10 3599.622842923729 2.710303963320712
-5 -4 10 11 3083.497077572701 2.389142567379622
-5 -4 11 12 2663.392324563689 2.121891358140601
-5 -4 12 13 2316.897992889718 0.7930075321478398
-5 -4 13 14 2027.700560276704 0.5323259116446479
-5 -4 14 15 1783.971763993569 0.3524269442091281
-5 -4 15 16 1576.779830064757 0.2293891619192436
-5 -4 16 17 1399.304651296686 0.1460924302100466
-5 -4 17 18 1246.261112906278 0.1043100376598431
-5 -4 18 19 1113.496545583467 0.0800811811134281
-5 -4 19 20 997.7073623195645 0.06140008904924343
-5 -4 20 21 896.2377673644954 0.04679104883757645
-5 -4 21 22 806.9328155506539 0.03537385107733826
-5 -4 22 23 728.0268025442036 0.02642778645383714
-5 -4 23 24 658.060654104537 0.01932776942942382
-5 -4 24 25 595.8209162348685 0.01365404038392626
-5 -4 25 26 540.2920690597437 0.01017592224695818
-5 -4 26 27 490.6179180162641 0.006991103110863151
-5 -4 27 28 446.0718573333049 0.004071605447620641
-5 -4 28 29 406.0341923487239 0.002835571394371073
-5 -4 29 30 369.9746118092437 0.002228602430250248
-5 -4 30 31 337.4368795246248 0.002668514428478375
-5 -4 31 32 308.0263560185144 0.003989909693132176
-5 -4 32 33 281.3999745943696 0.004958520755735663
-5 -4 33 34 257.2589109449673 0.1899049644786146
-5 -4 34 35 235.3407946719923 0.1578453258236721
-5 -4 35 36 215.4169674979915 0.1313333516145008
-5 -4 36 37 197.285486342951 0.109426524284828
-5 -4 37 38 180.7677425513785 0.09129786706296272
-5 -4 38 39 165.7103069217387 0.1279662759793609
-5 -4 39 40 151.9630252659072 0.1121397227738328
-5 -4 40 41 139.405838500662 0.09785749691749857
-5 -4 41 42 127.9271909953835 0.08500699558864255
-5 -4 42 43 117.4273248480484 0.07341908914266071
-5 -4 43 44 107.8167815913162 0.06304140957423954
-5 -4 44 45 99.0151749581352 0.05378211169191616
-5 -4 45 46 90.95026541743495 0.04551972706244101
-5 -4 46 47 83.55689902992262 0.03812075260358938
-5 -4 47 48 76.77620330862187 0.03147944041384676
-5 -4 48 49 70.55495154957127 0.02554437467175319
-5 -4 49 50 64.84497378700109 0.02028213003025314
-5 -4 50 51 59.60253088556328 0.0156576462783562
-5 -4 51 52 54.78793667633519 0.01158293086531614
-5 -4 52 53 50.36517868671344 0.008011702410399835
-5 -4 53 54 46.30147300131574 0.006223194673900423
-5 -4 54 55 42.56692006850283 0.005352256930571286
-5 -4 55 56 39.13412078842349 0.02394998095257961
-5 -4 56 57 35.97843857903564 0.003978620610716632
-5 -4 57 58 33.07684062739516 0.003443708181784189
-5 -4 58 59 30.40866045232827 0.004006386974594989
-5 -4 59 60 27.9548647153712 0.004879023850783426
-5 -4 60 61 25.69799408195873 0.005560046282663933
-5 -4 61 62 23.62205847301476 0.006030066272650458
-5 -4 62 63 21.71243979887571 0.006310191700737988
-5 -4 63 64 19.9557530111127 0.006499634007369082
-5 -4 64 65 18.33968445860947 0.006648372395510194
-5 -4 65 66 16.85293589961775 0.006741719275730418
-5 -4 66 67 15.4851687856732 0.006762790773381155
-5 -4 67 68 14.22690930159133 0.006714814875939723
-5 -4 68 69 13.06942210388392 0.006598983111054224
-5 -4 69 70 12.00463978126295 0.006429200336519614
-5 -4 70 71 11.0251583417139 0.006232238001764756
-5 -4 71 72 10.12419280473252 0.006026109628779253
-5 -4 72 73 9.295514467694165 0.005794547458668475
-5 -4 73 74 8.533385701685487 0.005526735360863455
-5 -4 74 75 7.832496344255597 0.005236266883660079
-5 -4 75 76 7.187963874828689 0.004941446171134345
-5 -4 76 77 6.595314328093989 0.004643161690347064
