#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 7078.469771293313 1.664457123040847
-5 -4 1 2 22321.02097854321 1.744612006554235
-5 -4 2 3 15901.71723257084 0.2413987402887869
-5 -4 3 4 11493.14732890794 0.1877518901183066
-5 -4 4 5 8693.276858962116 8.351868005036522
-5 -4 5 6 6811.972001234848 6.044418790782402
-5 -4 6 7 5480.623950136775 4.136665209238345
-5 -4 7 8 4499.798918114647 2.836785525549203
-5 -4 8 9 3753.746524091585 1.933752646909852
-5 -4 9 10 3171.748370223128 1.30305722703315
-5 -4 10 11 2708.322120084462 0.8637312617838688
-5 -4 11 12 2332.904312381089 0.5598762680756408
-5 -4 12 13 2024.46125305812 0.3520373756384743
-5 -4 13 14 1767.964551185268 0.2574486259229616
-5 -4 14 15 1552.40958707363 0.194718856982945
-5 -4 15 16 1369.619127871728 0.1471898832110128
-5 -4 16 17 1213.397193600473 0.1122807216268029
-5 -4 17 18 1078.951677100121 0.08601085820146182
-5 -4 18 19 962.5257482594382 0.06643311563641419
-5 -4 19 20 861.1420151917619 0.05005208594593569
-5 -4 20 21 772.4301843336348 0.03760898133509727
-5 -4 21 22 694.4653284629378 0.02825227734047076
-5 -4 22 23 625.666992862806 0.02255979228027627
-5 -4 23 24 564.7325345649928 0.02036957608800094
-5 -4 24 25 510.5876402283386 0.0178968047489434
-5 -4 25 26 462.3383758338828 0.01540499373777493
-5 -4 26 27 419.2259909045027 0.01305116499179348
-5 -4 27 28 380.603385678902 0.01092213463942926
-5 -4 28 29 345.9313823898611 0.3328603221756339
-5 -4 29 30 314.7251256929665 0.2733797789937853
-5 -4 30 31 286.5977149668144 0.2245589818937788
-5 -4 31 32 261.2013445480974 0.2303283754383187
-5 -4 32 33 238.2349608277704 0.1790459258877206
-5 -4 33 34 217.4332455292286 0.1348430778898546
-5 -4 34 35 198.5667089048814 0.1023581739001145
-5 -4 35 36 181.4351017955732 0.08414632953073919
