#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 -304.4969150548098 0.1093705106019911
-5 -4 1 2 20106.87650695827 8.997383618945605
-5 -4 2 3 16425.09128922313 5.124589983621263
-5 -4 3 4 12315.31382121057 3.076346426489181
-5 -4 4 5 9474.163679332987 1.783908689358213
-5 -4 5 6 7494.089418294963 5.818285259013464
-5 -4 6 7 6064.409981662784 3.524821026957397
-5 -4 7 8 4997.735357100222 2.31199167304203
-5 -4 8 9 4179.216578943538 3.924526419053109
-5 -4 9 10 3536.911961220791 2.810219268631499
-5 -4 10 11 3023.170873641491 1.998745429418705
-5 -4 11 12 2605.557355889605 1.411282647457938
-5 -4 12 13 2261.595887541619 0.9891432227746009
-5 -4 13 14 1975.036676419909 0.6878057063051983
-5 -4 14 15 1733.875579943388 0.4742320096797812
-5 -4 15 16 1529.163122831474 0.3239848243961205
-5 -4 16 17 1354.092374723127 0.2190611047203674
-5 -4 17 18 1203.366447950717 0.1464381271741786
-5 -4 18 19 1072.81413479994 0.09654717189050643
-5 -4 19 20 959.1199370931346 0.06260115024986135
-5 -4 20 21 859.6516469867137 0.04197142549969612
-5 -4 21 22 772.2599065193001 0.03126983758807
-5 -4 22 23 695.1704638199591 0.02337220268952933
-5 -4 23 24 626.9187645058611 0.01641000147481009
-5 -4 24 25 566.3029616741102 0.01042759055985698
-5 -4 25 26 512.3242879643421 0.006159987650448784
-5 -4 26 27 464.1272865534707 0.00341380569471994
-5 -4 27 28 420.9782621225969 0.001061557037189687
-5 -4 28 29 382.2584708158778 0.001240217565623425
-5 -4 29 30 347.446226160389 0.003273916674629618
-5 -4 30 31 316.0952977680985 0.2972080668671424
-5 -4 31 32 287.8178498645465 0.2738894161223016
-5 -4 32 33 262.2664081368645 0.2266357540906938
-5 -4 33 34 239.1423307594293 0.1876178733628819
-5 -4 34 35 218.1868754831771 0.1553863058533409
-5 -4 35 36 199.1750830550913 0.128739147856237
-5 -4 36 37 181.9103204816464 0.1066802573240011
-5 -4 37 38 166.2179920571663 0.08845670373892744
-5 -4 38 39 151.9399705555465 0.07339612139429619
-5 -4 39 40 138.9363945617715 0.06092975828494218
-5 -4 40 41 127.0842580865441 0.05059429517937986
-5 -4 41 42 116.2740324705753 0.05592603292316767
-5 -4 42 43 106.4083838246027 0.06378264901587727
-5 -4 43 44 97.40046252620962 0.06897014729973705
-5 -4 44 45 89.24500153297258 0.07946375249126447
-5 -4 45 46 81.65058387437512 0.07609374428628257
-5 -4 46 47 74.77362070069609 0.0167949891787913
-5 -4 47 48 68.48181716269725 0.01398969476319678
-5 -4 48 49 62.72397473849956 0.01165389504345171
-5 -4 49 50 57.45316622623365 0.009720323905348494
-5 -4 50 51 52.62739213355875 0.008120571098039875
-5 -4 51 52 48.20845061564997 0.006796616641700837
-5 -4 52 53 44.16106190852359 0.005689619602549101
-5 -4 53 54 40.45292013370733 0.004765813957725129
-5 -4 54 55 37.05511331620677 0.003994090070868594
-5 -4 55 56 33.94118268652065 0.003546669830804206
-5 -4 56 57 31.08700120345138 0.003356047644718529
