#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0.1 1 865.7300213698951 0.05247320696321367
-5 -4 1 2 18890.19659500297 4.424826167556603
-5 -4 2 3 15521.02950075032 1.556529336859967
-5 -4 3 4 11681.06069989826 0.596138971784967
-5 -4 4 5 9014.420176440522 0.1532638567023241
-5 -4 5 6 7150.443334029879 5.414261928861379
-5 -4 6 7 5801.32316318818 3.314416690587677
-5 -4 7 8 4792.66699898889 4.291922741336748
-5 -4 8 9 4017.01806116976 3.023342212122316
-5 -4 9 10 3406.996145726148 2.120958007527406
-5 -4 10 11 2918.145452433308 1.478528671416825
-5 -4 11 12 2520.063553792778 1.022490938860756
-5 -4 12 13 2191.592163492146 0.7006045270441064
-5 -4 13 14 1917.450408785477 0.4748819386745708
-5 -4 14 15 1686.348593870332 0.3178348685237324
-5 -4 15 16 1489.845734333763 0.2095433345550646
-5 -4 16 17 1321.511137272076 0.1356205033500828
-5 -4 17 18 1176.343334376047 0.1007499058300709
-5 -4 18 19 1050.402479093041 0.07816392474433087
-5 -4 19 20 940.5538489575356 0.0591188385795931
-5 -4 20 21 844.2962676928024 0.04468483293760528
-5 -4 21 22 759.5908428287403 0.03384421568546259
-5 -4 22 23 684.7572750326569 0.02560003022711044
-5 -4 23 24 618.4070012682622 0.01867239133378007
-5 -4 24 25 559.3934075497114 0.01280640303070868
-5 -4 25 26 506.7611224885955 0.008379924017333451
-5 -4 26 27 459.6963467883677 0.005262237533372627
-5 -4 27 28 417.5028879719985 0.002693279932145742
-5 -4 28 29 379.590435022281 0.001401975817373113
-5 -4 29 30 345.4580001673668 0.001639844104545318
-5 -4 30 31 314.6767952559925 0.003003926272413082
-5 -4 31 32 286.8712312162453 0.2697880858580675
-5 -4 32 33 261.7143354988905 0.224530627995648
-5 -4 33 34 238.9188582781706 0.1870370394258316
-5 -4 34 35 218.2358514270053 0.1559376411212838
-5 -4 35 36 199.4479953923374 0.1301225949081299
-5 -4 36 37 182.3647518642042 0.1086591161419221
-5 -4 37 38 166.8172577439407 0.09083860601677429
-5 -4 38 39 152.6536570538292 0.07603190684673677
-5 -4 39 40 139.7391598629625 0.06370635893210874
-5 -4 40 41 127.954695756448 0.05342950744110908
-5 -4 41 42 117.1940044658955 0.04487332604874439
-5 -4 42 43 107.3623228410975 0.04881023785513605
-5 -4 43 44 98.37490398766192 0.0556264771396684
-5 -4 44 45 90.15529867302693 0.06115733378852894
-5 -4 45 46 82.63403915553121 0.06515438449814326
-5 -4 46 47 75.74873340184919 0.06779091671221238
-5 -4 47 48 69.44384329228714 0.01617145510125795
-5 -4 48 49 63.66738239712613 0.01369541006442887
-5 -4 49 50 58.37401256092215 0.01162337003412972
-5 -4 50 51 53.52238485124604 0.009888761607058427
-5 -4 51 52 49.07489870933158 0.008434987104529057
-5 -4 52 53 44.99702135929 0.00720427357615705
-5 -4 53 54 41.25713698672055 0.006162985320067094
-5 -4 54 55 37.82675439441099 0.005280643017016473
-5 -4 55 56 34.67985273789517 0.004530400874045881
-5 -4 56 57 31.79267857374097 0.003894595100256026
-5 -4 57 58 29.14368829732289 0.003353854902456987
-5 -4 58 59 26.71323451996908 0.002947659481161935
-5 -4 59 60 24.48332633636485 0.002775316140311901
-5 -4 60 61 22.43731890598438 0.002609585846247597
-5 -4 61 62 20.55995846372305 0.00245563845324881
-5 -4 62 63 18.83735933422236 0.002306543996123622
-5 -4 63 64 17.25676096363427 0.002163839679528934
-5 -4 64 65 15.80646965368829 0.002033298759487323
-5 -4 65 66 14.47585523228071 0.001910401741104906
-5 -4 66 67 13.25519849054391 0.001793178709407428
-5 -4 67 68 12.13557924124611 0.0016809105165283
-5 -4 68 69 11.10874547442732 0.001567359535535218
-5 -4 69 70 10.16702397786131 0.001466296179007287
-5 -4 70 71 9.303451580422538 0.001369008408303785
-5 -4 71 72 8.511613652856477 0.001277064058179178
-5 -4 72 73 7.78561741123654 0.001192076334099568
-5 -4 73 74 7.120084028373708 0.001113244484771236
-5 -4 74 75 6.510098001465432 0.001039876051097011
-5 -4 75 76 5.951155584920985 0.0009701213424868627
-5 -4 76 77 5.439098420286129 0.0009011327942483049
-5 -4 77 78 4.970041609546304 0.000837161452656332
-5 -4 78 79 4.540415137550023 0.0007784248564757235
-5 -4 79 80 4.146970716145423 0.0007233685249845578
-5 -4 80 81 3.786726666801928 0.0006722259636005035
-5 -4 81 82 3.456947595581027 0.0006246717866229545
-5 -4 82 83 3.155127414415217 0.0005802271397117309
-5 -4 83 84 2.878966392763891 0.0005388478529226859
-5 -4 84 85 2.626349809587689 0.0004997858319546467
-5 -4 85 86 2.395323325821236 0.0004617195730673984
-5 -4 86 87 2.184066960517174 0.0004273922009225828
-5 -4 87 88 1.990922697689828 0.0003959732315494957
-5 -4 88 89 1.814382021041963 0.0003663306475112371
-5 -4 89 90 1.653056008807246 0.0003389768467148002
-5 -4 90 91 1.505671324897357 0.0003135209298497088
-5 -4 91 92 1.37106049081492 0.0002899829500651041
-5 -4 92 93 1.248152176747594 0.0002677698826436536
-5 -4 93 94 1.135956725616975 0.000246991385783879
-5 -4 94 95 1.033562237434775 0.0002277226693849776
-5 -4 95 96 0.9401339814427865 0.000210250406658008
-5 -4 96 97 0.8549120258422188 0.0001937981372294173
-5 -4 97 98 0.7771961027448882 0.0001785225178029259
-5 -4 98 99 0.7063425655686731 0.000164391251699203
-5 -4 99 100 0.6417622738441476 0.0001514391831008988
-4 -3.75 0.1 1 -3402.61713026338 3.311722010193989
-4 -3.75 1 2 15522.36489788172 2.361560884422943
-4 -3.75 2 3 15511.9214784979 8.837728394757505
