#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 21217.36114648905 16.48918354627676
-5 -4 1 2 81612.4253417115 51.48680554596649
-5 -4 2 3 58882.9254419826 27.32362500835006
-5 -4 3 4 42698.22292946369 22.5054982894726
-5 -4 4 5 32347.25047332489 17.40641934295127
-5 -4 5 6 25372.77006107579 17.66974062069858
-5 -4 6 7 20432.69832199 10.80502302531022
-5 -4 7 8 16791.29869321036 7.084499253949616
-5 -4 8 9 14021.31035870057 5.113083616872245
-5 -4 9 10 11860.42264528399 3.646152584502488
-5 -4 10 11 10139.71422423563 2.720798141641353
-5 -4 11 12 8746.025830436316 2.680735970756359
-5 -4 12 13 7600.957676957011 2.594171303692747
-5 -4 13 14 6648.632105831764 2.519796469498033
-5 -4 14 15 5848.272984875173 2.436914050202176
-5 -4 15 16 5169.473199156747 2.341425057496053
-5 -4 16 17 4589.154646406577 2.256384271307979
-5 -4 17 18 4089.51517309602 2.170516052211497
-5 -4 18 19 3656.641190881709 2.076610553549017
-5 -4 19 20 3279.499924364575 1.990410302538294
-5 -4 20 21 2949.252355332629 1.90847201775523
-5 -4 21 22 2658.757891576394 1.822156967675255
-5 -4 22 23 2402.179442349316 1.737900852431267
-5 -4 23 24 2174.705277043881 1.656005429040306
-5 -4 24 25 1972.378858831737 0.04191638993347624
-5 -4 25 26 1791.808804799113 1.355025965164486
-5 -4 26 27 1630.202613076574 1.114821010202832
-5 -4 27 28 1485.203984914252 0.9167903858340196
-5 -4 28 29 1354.790287165291 0.7536351702055981
-5 -4 29 30 1237.236815519667 0.6192828726957487
-5 -4 30 31 1131.063700014335 0.5086817651942965
-5 -4 31 32 1034.992434436397 0.4176615426440549
-5 -4 32 33 947.9101333187607 0.3428148731155716
-5 -4 33 34 868.847730003959 0.2813096510880086
-5 -4 34 35 796.9612578211229 0.2307775014822937
-5 -4 35 36 731.5125825878596 0.1892595666240595
-5 -4 36 37 671.8523104762866 0.1552034330386505
-5 -4 37 38 617.4051678977993 0.1272456616401314
-5 -4 38 39 567.6611938529599 0.1042660344693331
-5 -4 39 40 522.1682826962793 0.08537182116970143
-5 -4 40 41 480.525277045716 0.06983460636377004
-5 -4 41 42 442.3751792281899 0.0570879516652667
-5 -4 42 43 407.398877583117 0.04665284910225864
-5 -4 43 44 375.309286140919 0.03812898490554062
-5 -4 44 45 345.8480492713251 0.03115312697110539
-5 -4 45 46 318.7829722855711 0.02543963742704136
-5 -4 46 47 293.9048964314988 0.02074813324236402
-5 -4 47 48 271.0254188084234 0.01691871110199372
-5 -4 48 49 249.9744690478911 0.01473054183432509
-5 -4 49 50 230.5980807443065 0.01415693284951658
-5 -4 50 51 212.7558184578375 0.01357711512062565
-5 -4 51 52 196.3199104578428 0.01300792962308606
-5 -4 52 53 181.1743036643771 0.01243741255501618
-5 -4 53 54 167.2132747376723 0.01187974230109035
-5 -4 54 55 154.3405104400918 0.0113370376234343
-5 -4 55 56 142.4681986534205 0.01080856861813118
-5 -4 56 57 131.5162192728309 0.01030117683231424
-5 -4 57 58 121.4113852442822 0.009788834385801692
-5 -4 58 59 112.0840006215503 0.08744227847452635
-5 -4 59 60 103.4772921213455 0.07803767971847719
-5 -4 60 61 95.53216061068865 0.06955419608826219
-5 -4 61 62 88.19661933543331 0.06201048997502312
-5 -4 62 63 81.42303240589793 0.05531178828323391
-5 -4 63 64 75.16773018666905 0.04924019837129379
-5 -4 64 65 69.39052690373649 0.04366176755733875
-5 -4 65 66 64.05448630978468 0.03856204881364533
-5 -4 66 67 59.12574668994692 0.03396868012372067
-5 -4 67 68 54.57306469302937 0.0298685459111141
-5 -4 68 69 50.36759262196421 0.02623743737354545
-5 -4 69 70 46.48268894674042 0.02301946377231445
-5 -4 70 71 42.89381501846696 0.02016088114326209
-5 -4 71 72 39.57836826150906 0.01761005500286217
-5 -4 72 73 36.5155460222341 0.01534853666498748
-5 -4 73 74 33.68614834666472 0.01337222359781265
-5 -4 74 75 31.07240446399061 0.01164661734851791
-5 -4 75 76 28.65793591853572 0.01013294430655165
-5 -4 76 77 26.42765457177896 0.00881759454502884
-5 -4 77 78 24.36764714854616 0.007688629768477284
-5 -4 78 79 22.46504529181486 0.006719842938327503
-5 -4 79 80 20.70793089717453 0.005879762930607768
-5 -4 80 81 19.08530313489105 0.005152566661028146
-5 -4 81 82 17.58701214818007 0.004510885074381576
-5 -4 82 83 16.20365376908945 0.003920532961043222
-5 -4 83 84 14.92653139299083 0.003370256889864365
-5 -4 84 85 13.74760727866223 0.002858459913481326
-5 -4 85 86 12.65707901447274 0.005271369073676979
-5 -4 86 87 11.65517696567993 0.001909525950811286
-5 -4 87 88 10.7284086608511 0.001567915340734416
-5 -4 88 89 9.87325950988974 0.001464962978118933
-5 -4 89 90 9.08430220086 0.001369152525841244
-5 -4 90 91 8.356530634351987 0.001278454806760365
-5 -4 91 92 7.68530228661015 0.001193404684662447
-5 -4 92 93 7.066320878365101 0.001113597423300305
-5 -4 93 94 6.495613361084406 0.001038791827153496
-5 -4 94 95 5.96950419342674 0.0009689268940595852
-5 -4 95 96 5.484597760335713 0.0009034181453335677
-5 -4 96 97 5.037753244983135 0.0008421390919028937
-5 -4 97 98 4.626065767928905 0.0007845532761638907
-5 -4 98 99 4.246844318133796 0.0007305338466778721
-5 -4 99 100 3.89759579063321 0.0006797417794994765
-4 -3.75 0 1 3797.717997845643 0.5389084901130445
-4 -3.75 1 2 50953.2946973422 6.452180171865621
-4 -3.75 2 3 42980.04770077745 21.30806929645041
-4 -3.75 3 4 32875.54789222561 24.74588753811986
-4 -3.75 4 5 25713.45939174297 4.863310583928978
-4 -3.75 5 6 20649.97540970538 13.16116622479603
