#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 21506.52801056534 11.35193905475535
-5 -4 1 2 72657.54493251434 27.38240499224048
-5 -4 2 3 53000.6502070378 32.15252241163398
-5 -4 3 4 38687.06693579278 19.75099509015854
-5 -4 4 5 29461.86569148165 13.08888901532191
-5 -4 5 6 23214.57326482139 15.59833510959288
-5 -4 6 7 18771.75288854337 9.628303810157377
-5 -4 7 8 15485.37726670611 6.272093161309385
-5 -4 8 9 12977.41729921429 4.254150653692705
-5 -4 9 10 11015.01634426603 2.979180440814162
-5 -4 10 11 9447.840602684457 2.138874841239158
-5 -4 11 12 8174.947695017406 2.066287171698605
-5 -4 12 13 7126.270735099405 2.040620043410854
-5 -4 13 14 6251.785583690597 2.008554744181311
-5 -4 14 15 5514.916064558359 1.966827861790989
-5 -4 15 16 4888.350871124975 1.915343451583794
-5 -4 16 17 4351.328464746199 1.863069023574099
-5 -4 17 18 3887.80939469992 1.808053518065208
-5 -4 18 19 3485.232788890886 1.74824744209991
-5 -4 19 20 3133.63142402198 1.689105717523489
-5 -4 20 21 2825.008441267379 1.63032181161725
-5 -4 21 22 2552.886888284709 1.56910783143212
-5 -4 22 23 2311.968019795807 1.507845623796129
-5 -4 23 24 2097.927188517045 1.651410133150421
-5 -4 24 25 1907.031836256163 1.387447353136622
-5 -4 25 26 1736.296324731448 1.328117709858134
-5 -4 26 27 1583.173956955811 0.92790582276848
-5 -4 27 28 1445.466202760873 0.7653756978495494
-5 -4 28 29 1321.340292033482 0.6312894675966163
-5 -4 29 30 1209.212861505789 0.5207188517067607
-5 -4 30 31 1107.721981905614 0.4295451483578745
-5 -4 31 32 1015.690166787816 0.3543720835335762
-5 -4 32 33 932.0936835103786 0.2924244098473991
-5 -4 33 34 856.0396768770412 0.2413963288051946
-5 -4 34 35 786.74736795588 0.1993617104384384
-5 -4 35 36 723.5317837406727 0.1647255320248178
-5 -4 36 37 665.7895404163262 0.1362285139116466
-5 -4 37 38 612.9867175115689 0.112755151273177
-5 -4 38 39 564.6499177104191 0.09338638976680613
-5 -4 39 40 520.3584229100591 0.07739026520061998
-5 -4 40 41 479.7373715996513 0.06417279061969339
-5 -4 41 42 442.4519773847841 0.05326989122886516
-5 -4 42 43 408.2025631343117 0.0442911147379732
-5 -4 43 44 376.7198366381651 0.03690807350574232
-5 -4 44 45 347.7614577621193 0.03082107219393038
-5 -4 45 46 321.1091755010465 0.02578765813643713
-5 -4 46 47 296.5659228862858 0.02160967668078229
-5 -4 47 48 273.9535253799206 0.01816230912038463
-5 -4 48 49 253.1105454654191 0.01531383380174134
-5 -4 49 50 233.8905252421067 0.01295534760453165
-5 -4 50 51 216.1601507546572 0.0123593192382998
-5 -4 51 52 199.7980795031906 0.01191140213012432
-5 -4 52 53 184.693819459186 0.01145356483635851
-5 -4 53 54 170.7465209358816 0.01099586015740783
-5 -4 54 55 157.8640854422403 0.01054107040047825
-5 -4 55 56 145.962324532817 0.0100883817000863
-5 -4 56 57 134.9641677928769 0.009643498976970477
-5 -4 57 58 124.7990172848107 0.009201770304798629
-5 -4 58 59 115.4020644786244 0.008770604455591524
-5 -4 59 60 106.712144305473 0.0840619787771999
-5 -4 60 61 98.67819294574029 0.07548120245441226
-5 -4 61 62 91.24811350747188 0.06778258623101863
-5 -4 62 63 84.37572593864707 0.06088710457186153
-5 -4 63 64 78.01858816834542 0.05461129405456688
-5 -4 64 65 72.13757373954863 0.04885080828313448
-5 -4 65 66 66.696636861895 0.04357333726612467
-5 -4 66 67 61.66259876050467 0.03878535898942914
-5 -4 67 68 57.00486959509475 0.03447517722565863
-5 -4 68 69 52.69519006377769 0.03061986199690381
-5 -4 69 70 48.70742985273712 0.02717824372503941
-5 -4 70 71 45.01747627812179 0.02409866786988601
-5 -4 71 72 41.6030827523897 0.02133013657309135
-5 -4 72 73 38.44371696234567 0.01884984136869861
-5 -4 73 74 35.52039209899351 0.01665617618881754
-5 -4 74 75 32.81551758418473 0.01471777085388482
-5 -4 75 76 30.31283746736408 0.01299324832081084
-5 -4 76 77 27.99733771671108 0.01146427470085953
-5 -4 77 78 25.85515083541413 0.01011977994832591
-5 -4 78 79 23.87343430622058 0.008935470775050192
-5 -4 79 80 22.04028998919611 0.007888310491939166
-5 -4 80 81 20.34471759368778 0.006965783616859511
-5 -4 81 82 18.77654492236238 0.006144472556449898
-5 -4 82 83 17.32633565727927 0.005391214942161326
-5 -4 83 84 15.98534442269359 0.00469878018000891
-5 -4 84 85 14.74547502778526 0.004065244566092474
-5 -4 85 86 13.59922790449224 0.003474188677358825
-5 -4 86 87 12.539643661896 0.002922095012003467
-5 -4 87 88 11.56027180087648 0.002419992125950898
-5 -4 88 89 10.65514783926681 0.001971932620680406
-5 -4 89 90 9.817183561199839 0.004521935794397081
-5 -4 90 91 9.045999967071182 0.001310617863330421
-5 -4 91 92 8.332143350740436 0.001225940845763773
-5 -4 92 93 7.672803110218593 0.001146342714293702
-5 -4 93 94 7.063917250799835 0.001071427920845913
-5 -4 94 95 6.501720160742999 0.001001305447706713
-5 -4 95 96 5.982727046696413 0.0009354673955295212
-5 -4 96 97 5.503709788096271 0.0008736318959572387
-5 -4 97 98 5.061675998238563 0.0008154013984329467
-5 -4 98 99 4.653849289432486 0.0007607685176349577
-5 -4 99 100 4.277655721026785 0.0007093922030714239
-4 -3.75 0 1 6844.281858794805 4.986836677420797
-4 -3.75 1 2 47491.90767150461 16.54944028129103
-4 -3.75 2 3 39167.22720664873 8.920544656590209
-4 -3.75 3 4 29857.94229242032 5.516875138619071
-4 -3.75 4 5 23359.96680062607 3.661635670425312
-4 -3.75 5 6 18789.13057326025 11.25979757809546
-4 -3.75 6 7 15459.5826161789 7.055079207968447
-4 -3.75 7 8 12951.9610475069 10.30824622958971
-4 -3.75 8 9 11012.61409472796 8.299271014182523
-4 -3.75 9 10 9476.893447443823 6.754956458817105
-4 -3.75 10 11 8237.368927440044 5.540423442940664
-4 -3.75 11 12 7220.709833714064 4.568825187941002
-4 -3.75 12 13 6375.378559547652 3.781748761828567
-4 -3.75 13 14 5664.212821007082 3.138291176113853
-4 -3.75 14 15 5059.780502238718 2.608799141319651
-4 -3.75 15 16 4541.465995633994 2.171124968299409
-4 -3.75 16 17 4093.490407370292 1.808214965578827
-4 -3.75 17 18 3703.582665110734 1.506709702659009
-4 -3.75 18 19 3362.087790202688 1.255923363187321
-4 -3.75 19 20 3061.312037449536 1.047195769228438
-4 -3.75 20 21 2795.048321766265 0.8734213104908122
-4 -3.75 21 22 2558.243639274679 0.7287182067384492
-4 -3.75 22 23 2346.753974518872 0.6082572467848877
-4 -3.75 23 24 2157.148693355197 0.5079878198457664
-4 -3.75 24 25 1986.563010141071 0.4245446431498294
-4 -3.75 25 26 1832.589809857289 0.3551140936563115
-4 -3.75 26 27 1693.19652226815 0.2973482654151667
-4 -3.75 27 28 1566.656647165812 0.249303506598153
-4 -3.75 28 29 1451.492997087488 0.2093520291391542
-4 -3.75 29 30 1346.435137156283 0.1761340313737492
-4 -3.75 30 31 1250.385482264955 0.1485127831451791
-4 -3.75 31 32 1162.393858303364 0.1255391243175836
-4 -3.75 32 33 1081.6326698398 0.1064336051167629
-4 -3.75 33 34 1007.378279259399 0.09053208530599477
-4 -3.75 34 35 938.9949023749371 0.07727720384571057
-4 -3.75 35 36 875.9219729866427 0.0662158689780199
-4 -3.75 36 37 817.67912032659 0.5455177353126146
-4 -3.75 37 38 763.7966405939296 0.3963909248001301
-4 -3.75 38 39 713.9008053639714 0.2608655277880416
-4 -3.75 39 40 667.6437826553077 0.1380879686895469
-4 -3.75 40 41 624.7140222099225 0.03294268439083226
-4 -3.75 41 42 584.831814458215 0.07436713452136701
-4 -3.75 42 43 547.7457267741768 0.1660120039047115
-4 -3.75 43 44 513.2295000203608 0.2490778702398302
