#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 1126.127321062547 0.6262326037492585
-5 -4 1 2 60104.72556111903 37.29051526033436
-5 -4 2 3 51318.68228451205 40.93470636298298
-5 -4 3 4 39111.67166854184 26.10827421709837
-5 -4 4 5 30422.22152366991 17.80427575951762
-5 -4 5 6 24281.38578727015 17.62499632780236
-5 -4 6 7 19807.0019404769 10.91936350732431
-5 -4 7 8 16444.28787187284 7.13420082724042
-5 -4 8 9 13848.87593179071 4.851329500614156
-5 -4 9 10 11800.66109043544 3.405589698048061
-5 -4 10 11 10153.97637096843 2.45062018769022
-5 -4 11 12 8809.250660599644 2.056319297353184
-5 -4 12 13 7696.423292338044 2.060789480810854
-5 -4 13 14 6764.934582184294 2.053161565003393
-5 -4 14 15 5977.494530465985 2.030154441671584
-5 -4 15 16 5306.055684472034 1.992215003435376
-5 -4 16 17 4729.166097933513 1.951083745087089
-5 -4 17 18 4230.164607958297 1.904595852790408
-5 -4 18 19 3795.944071206705 1.850460413766541
-5 -4 19 20 3416.060748413246 1.795743966393275
-5 -4 20 21 3082.104877519213 1.740204628070842
-5 -4 21 22 2787.243602484134 1.680500168997241
-5 -4 22 23 2525.870237369559 1.619718920812375
-5 -4 23 24 2293.346588746537 1.558458739008984
-5 -4 24 25 2085.808494699874 1.497980487452423
-5 -4 25 26 1900.017054134577 1.437333137714859
-5 -4 26 27 1733.249460999669 1.376666478307925
-5 -4 27 28 1583.169180835908 1.093367425620954
-5 -4 28 29 1447.783198455887 0.9136535259444827
-5 -4 29 30 1325.404789112816 0.7640350994829532
-5 -4 30 31 1214.569398399336 0.6394239636558723
-5 -4 31 32 1114.008984926323 0.5355955236609589
-5 -4 32 33 1022.619404528443 0.4490775139314565
-5 -4 33 34 939.4363782177494 0.3769672784036402
-5 -4 34 35 863.6157982075837 0.3168297129053599
-5 -4 35 36 794.4164463508193 0.2666336394893278
-5 -4 36 37 731.1847452787204 0.2247585867448834
-5 -4 37 38 673.341714531492 0.1897654406660649
-5 -4 38 39 620.3735197564515 0.1604600485924266
-5 -4 39 40 571.8231518822159 0.1358816880546101
-5 -4 40 41 527.2831114881836 0.1152437465593721
-5 -4 41 42 486.3892469928944 0.09792110110817021
-5 -4 42 43 448.8153924083044 0.08338557700449201
-5 -4 43 44 414.2682286053148 0.07118893496743794
-5 -4 44 45 382.4836203653186 0.06092460636523356
-5 -4 45 46 353.2235842817944 0.05225718922088163
-5 -4 46 47 326.2731339966463 0.0449109931475391
-5 -4 47 48 301.4378041543275 0.03870270864661052
-5 -4 48 49 278.5413315426326 0.03344583287514524
-5 -4 49 50 257.4237367644578 0.02898390515332494
-5 -4 50 51 237.9393160795038 0.02520390884100721
-5 -4 51 52 219.9553963312763 0.02198365742827946
-5 -4 52 53 203.3511392657972 0.01920870201522007
-5 -4 53 54 188.0162160842843 0.01682609570653426
-5 -4 54 55 173.8498406495249 0.01479279522018828
-5 -4 55 56 160.7598608261119 0.013030665086319
-5 -4 56 57 148.6618937493061 0.0115024507617818
-5 -4 57 58 137.4786221689641 0.01018605592363997
-5 -4 58 59 127.1390419447599 0.009597736997548623
-5 -4 59 60 117.5761000349343 0.09306307907243649
-5 -4 60 61 108.7338720187866 0.08357328392219188
-5 -4 61 62 100.5552130245697 0.07506515251523638
-5 -4 62 63 92.98948192011865 0.06745384061771631
-5 -4 63 64 85.99013098489371 0.06052289957742119
-5 -4 64 65 79.51423398663634 0.05415064760728683
-5 -4 65 66 73.52223530539477 0.0483078526890921
-5 -4 66 67 67.97772722093464 0.04300756179158327
-5 -4 67 68 62.84713729665014 0.03823790746892541
-5 -4 68 69 58.0994386346414 0.03397425634782536
-5 -4 69 70 53.7059299551366 0.03017017328730986
-5 -4 70 71 49.64012316920456 0.02676465971243402
-5 -4 71 72 45.87758300910366 0.02369792336265419
-5 -4 72 73 42.39575479217171 0.02094778996690394
-5 -4 73 74 39.17377577831405 0.01851564263952099
-5 -4 74 75 36.1923074987016 0.01636695179688274
