#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 -981.2139301534183 0.08931476155862583
-5 -4 1 2 53621.83982111864 4.573785302207398
-5 -4 2 3 46929.44598284308 1.489286783769785
-5 -4 3 4 36021.40463852098 2.771890322925174
-5 -4 4 5 28131.56932026331 0.1668763919697085
-5 -4 5 6 22517.86137377245 1.525175712064083
-5 -4 6 7 18410.52954784789 0.289542289043311
-5 -4 7 8 15315.13005764991 0.2974654103836656
-5 -4 8 9 12920.47578897205 0.2666592893092457
-5 -4 9 10 11027.07913202454 0.2219673236268136
-5 -4 10 11 9502.502393381792 0.1766190324196941
-5 -4 11 12 8255.440124473247 0.136564731999897
-5 -4 12 13 7222.024279006688 0.1036911460132615
-5 -4 13 14 6356.033986239569 0.6306658992552912
-5 -4 14 15 5622.923759888569 0.4214883042941437
-5 -4 15 16 4997.04062113389 0.2759406779414348
-5 -4 16 17 4458.697107899663 0.4450906455294898
-5 -4 17 18 3992.547632700979 0.3493589128343046
-5 -4 18 19 3586.477793474509 0.2771649313272064
-5 -4 19 20 3230.825966763462 0.216649908031286
-5 -4 20 21 2917.859584693502 0.1692917738837423
-5 -4 21 22 2641.275777075949 0.1336812954909874
-5 -4 22 23 2395.866354274212 0.1059829724981682
-5 -4 23 24 2177.31933178388 0.0827663309178206
-5 -4 24 25 1982.062498843445 0.06286964317882848
-5 -4 25 26 1807.116868099496 0.04707619373834859
-5 -4 26 27 1649.947159369555 0.03586940150125884
-5 -4 27 28 1508.37563167774 0.02638885126270907
-5 -4 28 29 1380.551245796528 0.01788871514895618
-5 -4 29 30 1264.898794891817 0.0104662050839579
-5 -4 30 31 1160.068938690352 0.004734837935757241
-5 -4 31 32 1064.887252010548 0.003199302308303231
-5 -4 32 33 978.3163261473563 0.003294267833894082
-5 -4 33 34 899.4492001879216 0.005218118358016
-5 -4 34 35 827.4966225079331 0.007704989357989689
-5 -4 35 36 761.7688280270972 0.009807821038066322
-5 -4 36 37 701.6615487071964 0.01147026849753274
-5 -4 37 38 646.6382299071905 0.01247242282045136
-5 -4 38 39 596.2150268320461 0.0129699427777723
-5 -4 39 40 549.9590355976536 0.0136203606680283
-5 -4 40 41 507.4888115684039 0.01396903633974489
-5 -4 41 42 468.4632766760947 0.01428862276520704
-5 -4 42 43 432.577659310904 0.014462950642951
-5 -4 43 44 399.5585916833965 0.01448308286700239
-5 -4 44 45 369.1589033595802 0.01431620520492061
-5 -4 45 46 341.1535139148139 0.01407077461306017
-5 -4 46 47 315.3391072405012 0.01382826539230564
-5 -4 47 48 291.5326689800278 0.0135265366681665
-5 -4 48 49 269.5679922782934 0.01316350035085634
-5 -4 49 50 249.2939566861985 0.01284144215188121
-5 -4 50 51 230.574299512788 0.01250526163707377
-5 -4 51 52 213.2850735930802 0.01209115320918386
-5 -4 52 53 197.3104567608487 0.01868264485514715
-5 -4 53 54 182.5476636344587 0.0163720433696426
-5 -4 54 55 168.9000911853395 0.01438523978364969
-5 -4 55 56 156.2803624093799 0.01267012333389061
-5 -4 56 57 144.6082943506531 0.01119085651006912
-5 -4 57 58 133.8109019854201 0.00991006662755467
-5 -4 58 59 123.8214401100117 0.009059409127431195
-5 -4 59 60 114.5785866434769 0.008635399337379113
-5 -4 60 61 106.0252566613638 0.008209906504205833
-5 -4 61 62 98.10871810200635 0.007816129789176784
-5 -4 62 63 90.78076662592279 0.007423428349355277
-5 -4 63 64 83.99680933286558 0.007038699532799342
-5 -4 64 65 77.71572142232311 0.006690324973106954
-5 -4 65 66 71.90000175920508 0.006361469017377885
-5 -4 66 67 66.51522797988268 0.00604426571024419
-5 -4 67 68 61.52966112638011 0.005736681749297645
-5 -4 68 69 56.91373751211268 0.005403306304387456
-5 -4 69 70 52.63963346533245 0.005112266970641599
-5 -4 70 71 48.68197163554173 0.004825232915763422
-5 -4 71 72 45.01721023909523 0.00229409134780667
-5 -4 72 73 41.62361817880301 0.002092303037557031
-5 -4 73 74 38.48125659224721 0.001912342098613351
-5 -4 74 75 35.57177153979002 0.001751812320584634
-5 -4 75 76 32.87821384147951 0.001605791698601422
-5 -4 76 77 30.38478359903725 0.001471696961495184
-5 -4 77 78 28.07659712302387 0.00134703157683802
-5 -4 78 79 25.93989253024996 0.001234506475920938
-5 -4 79 80 23.96206580247861 0.001135047777996334
-5 -4 80 81 22.13141902829584 0.001044191704316688
-5 -4 81 82 20.43715261949774 0.00095894319374068
-5 -4 82 83 18.86931946589242 0.0008820291255808854
-5 -4 83 84 17.41869233980987 0.0008119232066725601
-5 -4 84 85 16.07670404527399 0.0007472830602743841
-5 -4 85 86 14.83529178983655 0.001213734266023891
-5 -4 86 87 13.6871979351343 0.0007926196034144795
-5 -4 87 88 12.62535207540806 0.0005819636085018232
-5 -4 88 89 11.6433918547499 0.0005355543507388205
-5 -4 89 90 10.73544433397003 0.0004942683648785362
-5 -4 90 91 9.896074407519178 0.0004558286835205649
-5 -4 91 92 9.120242951188196 0.0004198667395218791
-5 -4 92 93 8.40327190753238 0.0005543516095602996
-5 -4 93 94 7.740821128094904 0.0006727932135204284
-5 -4 94 95 7.128865263289654 0.0003247141371796047
-5 -4 95 96 6.563597823080609 0.0002988108742618678
-5 -4 96 97 6.04156907036518 0.0002754118633570002
-5 -4 97 98 5.559560075049841 0.0002532434128132977
-5 -4 98 99 5.114587113232484 0.0002324351371241207
-5 -4 99 100 4.703884259486641 0.0002128517377286698
-4 -3.75 0 1 -12001.57359217442 0.639682503979202
-4 -3.75 1 2 29989.78995939593 1.453202112061263
-4 -3.75 2 3 33366.82613669506 0.5168750948942034
-4 -3.75 3 4 27198.05254669234 0.2842821872291097
-4 -3.75 4 5 21956.08351213647 0.2597605618502712
-4 -3.75 5 6 17994.38188275794 0.2365541994986415
-4 -3.75 6 7 14995.9035684051 0.1979396240822098
-4 -3.75 7 8 12683.42188986398 0.1803760949242132
-4 -3.75 8 9 10863.2511668731 1.068804229489615
-4 -3.75 9 10 9403.800766586681 0.7540644687887834
-4 -3.75 10 11 8214.064940020247 0.5258036482046009
-4 -3.75 11 12 7230.484850395047 0.3614629850580968
-4 -3.75 12 13 6407.368181003858 0.2440851632090926
-4 -3.75 13 14 5710.954421784088 0.1611971149859528
