#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 22.97838373537092 0.0006895498960872715
-5 -4.75 1 2 41.10923699327455 0.0008574461307588876
-5 -4.75 2 3 24.44955999088706 0.0008791231458076254
-5 -4.75 3 4 16.22210105798999 0.0004625584198798549
-5 -4.75 4 5 11.53392529185209 0.0002739276565559834
-5 -4.75 5 6 8.57741853431328 0.0001700486889912867
-5 -4.75 6 7 6.580833737485072 0.0001063297946028996
-5 -4.75 7 8 5.165335751989275 6.377691498826721e-05
-5 -4.75 8 9 4.124930238397007 4.49616968607458e-05
-5 -4.75 9 10 3.338723287870272 3.493426130241062e-05
-5 -4.75 10 11 2.731454076840557 2.794719548759872e-05
-5 -4.75 11 12 2.25404027520007 2.339073124923985e-05
-5 -4.75 12 13 1.873233464354232 2.045991983989914e-05
-5 -4.75 13 14 1.565803722328744 1.856541449840599e-05
-5 -4.75 14 15 1.315084946300745 1.71592377500307e-05
-5 -4.75 15 16 1.108859880310144 4.625395434976198e-05
-5 -4.75 16 17 0.9379916087652039 1.341421625200567e-05
-5 -4.75 17 18 0.7955372004202664 1.169999050276704e-05
-5 -4.75 18 19 0.6761422555883407 2.503541700005218e-05
-5 -4.75 19 20 0.5756206157050786 9.895107667690084e-06
-5 -4.75 20 21 0.4906654963657792 8.961166059306969e-06
-5 -4.75 21 22 0.4186352675947265 8.410227677613236e-06
-5 -4.75 22 23 0.3573980614370942 7.946377452994202e-06
-5 -4.75 23 24 0.3052210185834291 7.268416141681389e-06
-5 -4.75 24 25 0.2606845775384642 6.29479464259175e-06
-5 -4.75 25 26 0.2226166567958519 5.39337411642471e-06
-5 -4.75 26 27 0.1900433498557104 4.922975185644995e-06
-5 -4.75 27 28 0.1621509760960122 4.541584849721003e-06
-5 -4.75 28 29 0.1382561104900288 3.978648276892205e-06
-5 -4.75 29 30 0.1177818949161419 3.411874704817297e-06
-5 -4.75 30 31 0.1002398404441349 2.972413926563555e-06
-5 -4.75 31 32 0.08521392209886366 2.612156922529585e-06
