#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 20.51199959740385 0.0006219596501182423
-5 -4.75 1 2 43.05032466515944 0.001029772224562464
-5 -4.75 2 3 26.56783845637844 0.001094287848594888
-5 -4.75 3 4 17.83215432144956 0.0005555248220439069
-5 -4.75 4 5 12.74392827699748 0.0003204648406018862
-5 -4.75 5 6 9.500919642770382 0.0001944372985338561
-5 -4.75 6 7 7.29765090452582 0.0001179724403419513
-5 -4.75 7 8 5.729916582117692 7.023997804278537e-05
-5 -4.75 8 9 4.575018905600406 5.267230731309525e-05
-5 -4.75 9 10 3.701122707729253 3.983328923284901e-05
-5 -4.75 10 11 3.025641566160507 3.121264896810416e-05
-5 -4.75 11 12 2.494471219007129 2.617992052833529e-05
-5 -4.75 12 13 2.070829147962298 2.30846419833064e-05
-5 -4.75 13 14 1.728949364690752 2.120869811639281e-05
-5 -4.75 14 15 1.450300945359314 1.991797679679053e-05
-5 -4.75 15 16 1.221282447028577 4.629618046192441e-05
-5 -4.75 16 17 1.031702685154412 1.587076846498725e-05
-5 -4.75 17 18 0.8738129663038909 1.622803707657106e-05
-5 -4.75 18 19 0.7416329129574186 3.245359371739642e-05
-5 -4.75 19 20 0.630482170238139 1.252629300629859e-05
-5 -4.75 20 21 0.5366645784484592 1.131590100256208e-05
-5 -4.75 21 22 0.4572270236427042 1.047269959864039e-05
-5 -4.75 22 23 0.3897852337974231 9.714570097796305e-06
-5 -4.75 23 24 0.3324024120705607 8.854916569656091e-06
-5 -4.75 24 25 0.2834931169750671 7.647665871912679e-06
-5 -4.75 25 26 0.2417482718935825 6.498043089248062e-06
-5 -4.75 26 27 0.2060810294740303 5.8848579665427e-06
-5 -4.75 27 28 0.1755845294775286 5.399076134116054e-06
-5 -4.75 28 29 0.1494976707717407 4.701805488782629e-06
-5 -4.75 29 30 0.1271784691528232 4.010645939273028e-06
-5 -4.75 30 31 0.108084050241024 3.487064977256149e-06
-5 -4.75 31 32 0.09175280676429728 3.054575921007663e-06
-5 -4.75 32 33 0.07779172381695817 2.716186458043279e-06
-5 -4.75 33 34 0.0658646330247353 2.335657934990354e-06
-5 -4.75 34 35 0.05568370290760037 1.994126198966162e-06
-5 -4.75 35 36 0.04700180768502926 1.73705514237843e-06
-5 -4.75 36 37 0.03960692974705385 1.542342844051969e-06
-5 -4.75 37 38 0.03331619084571034 1.287683380479798e-06
-5 -4.75 38 39 0.02797220613845873 1.082587753029746e-06
-5 -4.75 39 40 0.02343949165483098 9.945799694342783e-07
-5 -4.75 40 41 0.01960127642527813 8.373313552696715e-07
-5 -4.75 41 42 0.01635659162268762 6.823582388848504e-07
-5 -4.75 42 43 0.0136188239211307 6.343906871000837e-07
-5 -4.75 43 44 0.01131335091992337 5.510529225271482e-07
-5 -4.75 44 45 0.009375682776285721 4.627460440855685e-07
-5 -4.75 45 46 0.007750585385061379 1.708582874852121e-07
-5 -4.75 46 47 0.006390733907341551 1.548200254811519e-07
-5 -4.75 47 48 0.005255337834099347 1.192629648042592e-07
-5 -4.75 48 49 0.004309608872473814 1.090884516469215e-07
-5 -4.75 49 50 0.003523793002547735 9.552937301491107e-08
-5 -4.75 50 51 0.002872502989506883 7.341251285694628e-08
-5 -4.75 51 52 0.0023341146532346 6.269900265903211e-08
-5 -4.75 52 53 0.001890285665044981 5.697682403747045e-08
-5 -4.75 53 54 0.001525454024150361 4.475531620198696e-08
-5 -4.75 54 55 0.001226435441401309 3.760230640487833e-08
-5 -4.75 55 56 0.0009821428157638235 3.359424924570878e-08
-5 -4.75 56 57 0.0007832074686388215 2.405655043344248e-08
-5 -4.75 57 58 0.0006217785473777125 2.196091519247358e-08
-5 -4.75 58 59 0.0004912760471298675 1.96200733482187e-08
-5 -4.75 59 60 0.0003861903273880198 1.498376388784674e-08
-5 -4.75 60 61 0.0003019361498107678 1.248322055940427e-08
-5 -4.75 61 62 0.0002346934709425737 9.424173104524486e-09
-5 -4.75 62 63 0.0001812934927967404 8.028545793567661e-09
-5 -4.75 63 64 0.000139113976213559 5.964858102076604e-10
-5 -4.75 64 65 0.0001059888936813688 5.644418753057582e-10
-5 -4.75 65 66 8.013665150140234e-05 4.703045944224118e-11
-5 -4.75 66 67 6.009541235846718e-05 2.22066446767331e-10
-5 -4.75 67 68 4.467118622137656e-05 2.906402318792432e-11
-5 -4.75 68 69 3.28925015111893e-05 2.997757191813182e-11
-5 -4.75 69 70 2.397295833582248e-05 2.651557069071643e-11
-5 -4.75 70 71 1.727958660881016e-05 1.348987062801802e-11
-5 -4.75 71 72 1.23061349578448e-05 1.097550329056719e-11
-5 -4.75 72 73 8.650132321722973e-06 1.085970430673489e-11
-5 -4.75 73 74 5.993923697458715e-06 1.011121653459314e-11
-5 -4.75 74 75 4.088717124523265e-06 7.37985729113138e-12
-5 -4.75 75 76 2.741324398575183e-06 6.633913342736378e-12
-5 -4.75 76 77 1.803156525168509e-06 4.767448715949532e-12
-5 -4.75 77 78 1.16111776391951e-06 4.320705814344402e-12
-5 -4.75 78 79 7.301222486436074e-07 3.324978450520107e-12
-5 -4.75 79 80 4.469872310984195e-07 2.253062432542192e-12
-5 -4.75 80 81 2.654744163740006e-07 2.174096719249353e-12
-5 -4.75 81 82 1.522983335314958e-07 1.598609363257753e-12
-5 -4.75 82 83 8.394640418630554e-08 1.205883071171987e-12
-5 -4.75 83 84 4.416325303451604e-08 9.093538741942317e-13
-5 -4.75 84 85 2.198953103343235e-08 6.386584203968117e-13
-5 -4.75 85 86 1.025033257537187e-08 4.540350568035447e-13
-5 -4.75 86 87 4.409046085929386e-09 1.496953557437364e-13
-5 -4.75 87 88 1.715818052953939e-09 4.993931291747508e-14
-5 -4.75 88 89 5.874924244415182e-10 1.499404859950652e-14
-5 -4.75 89 90 1.698401500953148e-10 4.139307539384566e-16
-5 -4.75 90 91 3.889693602635627e-11 4.581190815407998e-16
-5 -4.75 91 92 6.356819012830097e-12 2.407222842570185e-16
-5 -4.75 92 93 6.117580470229954e-13 7.63317158959881e-18
-5 -4.75 93 94 2.23750733365588e-14 9.764889244884486e-19
-5 -4.75 94 95 2.105744660989311e-16 3.933085340517809e-21
-5 -4.75 95 96 1.581910495151887e-21 8.515763470145573e-27
-5 -4.75 96 97 0 0
-5 -4.75 97 98 0 0
-5 -4.75 98 99 0 0
-5 -4.75 99 100 0 0
-4.75 -4.5 0 1 144.8095303534842 0.006770401349854183
-4.75 -4.5 1 2 463.2525898873235 0.002054848696616318
-4.75 -4.5 2 3 313.0553174359112 0.001502149744624148
-4.75 -4.5 3 4 219.7907284069774 0.000944091202228492
-4.75 -4.5 4 5 162.4581451501337 0.0007087843885926759
-4.75 -4.5 5 6 124.7014984617978 0.0005344565614677776
-4.75 -4.5 6 7 98.404817830844 0.0003869587982023859
-4.75 -4.5 7 8 79.29235177508323 0.0002972828201563971
-4.75 -4.5 8 9 64.93728232741387 0.0002411200868692731
-4.75 -4.5 9 10 53.8724039948159 0.0001897023891075378
-4.75 -4.5 10 11 45.16425564972543 0.0001413428445147247
-4.75 -4.5 11 12 38.19271944359055 9.842810471383245e-05
-4.75 -4.5 12 13 32.53172228069612 6.462411227659004e-05
-4.75 -4.5 13 14 27.87954547364979 3.981237478711819e-05
-4.75 -4.5 14 15 24.01707893153108 2.36322155657831e-05
-4.75 -4.5 15 16 20.78210288028594 1.470649044321704e-05
-4.75 -4.5 16 17 18.05186593381456 1.114396908263871e-05
-4.75 -4.5 17 18 15.73221223245666 9.771358969956623e-06
-4.75 -4.5 18 19 13.7499293912381 0.0006060016966653592
-4.75 -4.5 19 20 12.0471545836086 0.0003572789277104249
-4.75 -4.5 20 21 10.57778071712691 0.0001692070930552347
-4.75 -4.5 21 22 9.304734044001842 3.378244479712578e-05
-4.75 -4.5 22 23 8.197818748843932 6.516157908542652e-05
