#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 17.93438386223641 0.0005130103560055943
-5 -4.75 1 2 40.16531991600508 0.0008812804077606984
-5 -4.75 2 3 25.34394409079043 0.001014119907942757
-5 -4.75 3 4 17.17609012072924 0.0005378181644992708
-5 -4.75 4 5 12.35418371097999 0.0003220848594409631
-5 -4.75 5 6 9.25651687165559 0.0002027249969103195
-5 -4.75 6 7 7.13990372291483 0.0001290619708749219
-5 -4.75 7 8 5.626844251185395 7.946314139140043e-05
-5 -4.75 8 9 4.507777883538034 4.962611020786767e-05
-5 -4.75 9 10 3.657970335336023 3.855114624151668e-05
-5 -4.75 10 11 2.998957041744098 3.083368628642447e-05
-5 -4.75 11 12 2.479151390892731 2.585288803391705e-05
-5 -4.75 12 13 2.063377977217685 2.267368528174885e-05
-5 -4.75 13 14 1.726926108561517 2.06409340888225e-05
-5 -4.75 14 15 1.45198308038101 1.915867055624076e-05
-5 -4.75 15 16 1.225438504105759 1.749215338131549e-05
-5 -4.75 16 17 1.03745136424046 2.208067816211745e-05
-5 -4.75 17 18 0.8805195741926608 1.225629371137682e-05
-5 -4.75 18 19 0.7488409337268158 2.322560214385039e-05
-5 -4.75 19 20 0.6378668782442567 1.026733645170808e-05
-5 -4.75 20 21 0.543996190299478 9.355851259829073e-06
-5 -4.75 21 22 0.4643457993205936 8.867214060348516e-06
-5 -4.75 22 23 0.3965842346684984 8.464909630467865e-06
-5 -4.75 23 24 0.3388132702689344 7.785951159244853e-06
-5 -4.75 24 25 0.2894754715523956 6.733317237661574e-06
-5 -4.75 25 26 0.2472830603509771 5.764763338550472e-06
-5 -4.75 26 27 0.2111646651505794 5.289961124477216e-06
-5 -4.75 27 28 0.180224146471572 4.907804859566323e-06
-5 -4.75 28 29 0.1537081110784848 4.30025317779692e-06
-5 -4.75 29 30 0.1309800858061727 3.681977851444085e-06
-5 -4.75 30 31 0.1115006472824631 3.21058038076083e-06
-5 -4.75 31 32 0.09481006466238835 2.823260710133058e-06
-5 -4.75 32 33 0.08051624479492107 2.54297829992145e-06
-5 -4.75 33 34 0.06828327119404685 2.193717292611752e-06
-5 -4.75 34 35 0.05782291707661805 1.87599310329245e-06
-5 -4.75 35 36 0.04888711647844585 1.6419417311897e-06
-5 -4.75 36 37 0.04126271022798925 1.470217264924745e-06
-5 -4.75 37 38 0.03476546183116559 1.226895298425679e-06
-5 -4.75 38 39 0.02923653396459308 1.030297151139586e-06
-5 -4.75 39 40 0.02453887559592118 9.573940627435884e-07
-5 -4.75 40 41 0.02055417022550343 8.069621295694884e-07
-5 -4.75 41 42 0.01717986770632754 6.553972707913636e-07
-5 -4.75 42 43 0.01432784391247421 6.157440756333898e-07
-5 -4.75 43 44 0.01192204568450672 5.333225996436569e-07
-5 -4.75 44 45 0.00989659640242793 4.450182537491659e-07
-5 -4.75 45 46 0.008194962274795591 1.777920186196019e-07
-5 -4.75 46 47 0.006768610219700111 1.618943406755599e-07
-5 -4.75 47 48 0.005575624293222163 1.244432216614133e-07
-5 -4.75 48 49 0.004580199026429753 1.143949027847951e-07
-5 -4.75 49 50 0.003751637399093875 1.002582069695342e-07
-5 -4.75 50 51 0.003063703736715158 7.733160722021848e-08
-5 -4.75 51 52 0.002494006930551942 6.640350965056094e-08
-5 -4.75 52 53 0.002023513075013788 6.008107151069322e-08
-5 -4.75 53 54 0.001636048846967926 4.753383722093732e-08
-5 -4.75 54 55 0.001317884509390923 3.996393498528934e-08
-5 -4.75 55 56 0.001057451619874901 3.560462890489502e-08
-5 -4.75 56 57 0.0008449574646995534 2.592359108703323e-08
-5 -4.75 57 58 0.0006721800142339109 2.357350492978097e-08
-5 -4.75 58 59 0.0005322150851151329 2.087712707105147e-08
-5 -4.75 59 60 0.0004192718413002909 1.614397514542593e-08
-5 -4.75 60 61 0.000328520969897713 1.341435394627008e-08
-5 -4.75 61 62 0.0002559319370118588 1.023890303791797e-08
-5 -4.75 62 63 0.0001981541363998605 8.782317114074947e-09
-5 -4.75 63 64 0.0001524092494988747 6.027760630314839e-10
-5 -4.75 64 65 0.0001163974586785835 5.311507348992927e-10
-5 -4.75 65 66 8.822273352277973e-05 6.25221983560631e-11
-5 -4.75 66 67 6.632567209415381e-05 2.134711095771232e-10
-5 -4.75 67 68 4.942933522473814e-05 3.237578094343347e-11
-5 -4.75 68 69 3.649204829429769e-05 3.335012147898716e-11
-5 -4.75 69 70 2.666832413176742e-05 2.943383360529345e-11
-5 -4.75 70 71 1.927575212614546e-05 1.425261532669105e-11
-5 -4.75 71 72 1.376693132326538e-05 1.153162291777667e-11
-5 -4.75 72 73 9.705362806420113e-06 1.162145150213978e-11
-5 -4.75 73 74 6.745476753480193e-06 1.087720942420087e-11
-5 -4.75 74 75 4.615756018810131e-06 7.945704724974807e-12
-5 -4.75 75 76 3.104673952184741e-06 7.165286820229625e-12
-5 -4.75 76 77 2.048982857130732e-06 5.140500745136702e-12
-5 -4.75 77 78 1.323990126914648e-06 4.682748465884031e-12
-5 -4.75 78 79 8.355398006915469e-07 3.619059050689049e-12
