#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 6247.391827260841 0.4061954925236932
-5 -4 1 2 24915.82293134064 1.984657919936581
-5 -4 2 3 17734.33301124791 0.4310148916883918
-5 -4 3 4 12797.51461814706 0.2617742739348614
-5 -4 4 5 9661.949178637627 0.1897817292192485
-5 -4 5 6 7555.576660307718 0.5586596220464344
-5 -4 6 7 6065.975078413845 0.2356401689030463
-5 -4 7 8 4969.577737141553 0.087291120302325
-5 -4 8 9 4136.443900451502 0.06905693701901328
-5 -4 9 10 3487.304466040071 0.05397120917950815
-5 -4 10 11 2971.100651961197 0.04366251773353724
-5 -4 11 12 2553.486380166542 0.03899002870593904
-5 -4 12 13 2210.896695441879 0.03137721404891636
-5 -4 13 14 1926.456420551162 0.0238334711200423
-5 -4 14 15 1687.798508626095 0.01747303401884892
-5 -4 15 16 1485.75368130887 0.01260942090516437
-5 -4 16 17 1313.388199769555 0.1183861053632427
-5 -4 17 18 1165.305483496891 0.08949467714660386
-5 -4 18 19 1037.301569789284 0.06856652414262498
-5 -4 19 20 926.0351137947433 0.05008147987439315
-5 -4 20 21 828.8601360557966 0.03651876962851475
-5 -4 21 22 743.623063227412 0.02667767117918629
-5 -4 22 23 668.5507542245136 0.01954596622601912
-5 -4 23 24 602.1822003871705 0.01327526939587642
-5 -4 24 25 543.320927774065 0.01310947716353894
-5 -4 25 26 490.9746719711951 0.01222822271449786
-5 -4 26 27 444.2954410890972 0.0109877536031604
-5 -4 27 28 402.5570553200953 0.009629152133072694
-5 -4 28 29 365.147852763333 0.008273908859791845
-5 -4 29 30 331.552903790417 0.00699191096254026
-5 -4 30 31 301.3334618457939 0.005843875468542592
-5 -4 31 32 274.105208035012 0.005950617763744503
-5 -4 32 33 249.5289068735686 0.006372423416252104
-5 -4 33 34 227.3107585265406 0.006703306511667506
-5 -4 34 35 207.1969881364294 0.007060442498271868
-5 -4 35 36 188.9672730375952 0.007314750901315392
-5 -4 36 37 172.4293925291354 0.007427313663100676
-5 -4 37 38 157.4124868882278 0.007331039466492939
-5 -4 38 39 143.7624568468846 0.007130355941939115
-5 -4 39 40 131.3425754845267 0.007036674102039342
-5 -4 40 41 120.0315952252096 0.008554875532198025
-5 -4 41 42 109.726244735243 0.007447261395228111
-5 -4 42 43 100.331511308983 0.006521656036511558
-5 -4 43 44 91.76010293953686 0.00630074918925061
-5 -4 44 45 83.93726481013228 0.006032625883037213
-5 -4 45 46 76.7936471725389 0.005770977053288107
-5 -4 46 47 70.2671345184083 0.005522224156365496
-5 -4 47 48 64.30206529233035 0.005268599678657893
-5 -4 48 49 58.84812774674833 0.005016663797583476
-5 -4 49 50 53.85993288927819 0.00513262179680396
-5 -4 50 51 49.2969380066538 0.004573958905346842
-5 -4 51 52 45.12228176054509 0.00433363660845032
-5 -4 52 53 41.30197611674073 0.004076518256901807
-5 -4 53 54 37.80491859791972 0.002065910770035373
-5 -4 54 55 34.60330213076124 0.001625703250489607
-5 -4 55 56 31.67168864993619 0.001268791758775478
-5 -4 56 57 28.98689860334965 0.0009823221789666547
-5 -4 57 58 26.52805769247523 0.0007523129695883313
-5 -4 58 59 24.27622830208607 0.0005715942262085605
-5 -4 59 60 22.21408999780822 0.0004289750274892867
-5 -4 60 61 20.32550668086227 0.0003158562244998109
-5 -4 61 62 18.59571590736029 0.0002261002917904875
-5 -4 62 63 17.01133752638444 0.0001548886153663886
-5 -4 63 64 15.56007615697669 0.0001064538187467434
-5 -4 64 65 14.23070237014968 0.0001008616113225003
-5 -4 65 66 13.01308920937332 8.871417982270202e-05
-5 -4 66 67 11.89803665313335 5.999361204445108e-05
-5 -4 67 68 10.87711504722039 1.907038637227743e-05
-5 -4 68 69 9.942465932080571 2.422644177713096e-05
-5 -4 69 70 9.086736621949054 3.17803240399428e-05
-5 -4 70 71 8.303320638369529 3.861529640758476e-05
-5 -4 71 72 7.586146343813942 4.243201511577865e-05
-5 -4 72 73 6.929656697187334 4.974284676251273e-05
-5 -4 73 74 6.328806160915636 5.82279506149419e-05
-5 -4 74 75 5.779001559792044 4.112561442148888e-05
-5 -4 75 76 5.276042142654997 3.87651121407373e-05
-5 -4 76 77 4.816040241833528 3.653516730750539e-05
-5 -4 77 78 4.395342135115213 3.499860187883286e-05
-5 -4 78 79 4.01060854912872 3.293950876326335e-05
-5 -4 79 80 3.65881575023682 2.967110065821288e-05
-5 -4 80 81 3.337185288514499 2.852941404585252e-05
-5 -4 81 82 3.043186035262289 2.730269203832236e-05
-5 -4 82 83 2.774514503523509 2.625055829286183e-05
-5 -4 83 84 2.529056464699068 2.816696655605355e-05
-5 -4 84 85 2.304866749715956 2.809014412497035e-05
-5 -4 85 86 2.100149378067967 2.358286935377762e-05
-5 -4 86 87 1.913221353994441 1.328793465393829e-05
-5 -4 87 88 1.742555744079238 1.095495137715119e-05
-5 -4 88 89 1.586769872282447 9.383248744221362e-06
-5 -4 89 90 1.444596836367414 7.612430596548592e-06
-5 -4 90 91 1.314881743031266 6.263601937783747e-06
-5 -4 91 92 1.196566335503035 6.777664667723116e-06
-5 -4 92 93 1.088678476851293 4.597832463426599e-06
-5 -4 93 94 0.9903217980269849 3.024456118438934e-06
-5 -4 94 95 0.9006702951524591 3.302856015019451e-06
-5 -4 95 96 0.8189656762644322 3.584262971534358e-06
-5 -4 96 97 0.744520904780862 4.609835018598574e-06
-5 -4 97 98 0.6767058773848652 5.417252225026203e-06
-5 -4 98 99 0.6149441475185397 4.279566351517161e-06
-5 -4 99 100 0.558708830584621 8.431476542503091e-07
-4 -3.75 0 1 3349.588786165197 0.1937715881872464
-4 -3.75 1 2 22652.33678746751 2.074085445281526
-4 -3.75 2 3 18166.858316379 1.060512488904351
-4 -3.75 3 4 13691.80672691057 0.6294061264907214
-4 -3.75 4 5 10624.59688354236 0.3480170501643443
-4 -3.75 5 6 8486.267879885587 0.1823712965378945
-4 -3.75 6 7 6937.870983136784 0.1362167167280859
-4 -3.75 7 8 5777.629285585306 0.1125116486855404
-4 -3.75 8 9 4883.237442584266 0.08808285709437769
-4 -3.75 9 10 4177.681411121171 0.07524628081228002
-4 -3.75 10 11 3610.077504780904 0.06043185069484025
-4 -3.75 11 12 3146.16056286869 0.1436899894374619
-4 -3.75 12 13 2761.683910784094 0.2252544892803598
-4 -3.75 13 14 2439.300331474888 0.146160647216675
-4 -3.75 14 15 2166.200263449413 0.09196543778398336
-4 -3.75 15 16 1932.858183540994 0.05536935043664926
-4 -3.75 16 17 1731.884694131245 0.1631695711012071
-4 -3.75 17 18 1557.546943737362 0.126228975157801
-4 -3.75 18 19 1405.42389435284 0.09973578165840991
-4 -3.75 19 20 1271.963814071103 0.08271887931891797
-4 -3.75 20 21 1154.252362428827 0.06728845373163495
-4 -3.75 21 22 1049.949230608399 0.05298350475595726
-4 -3.75 22 23 957.169764840947 0.04195335899532893
-4 -3.75 23 24 874.3466839865969 0.03388506882413367
-4 -3.75 24 25 800.1479205088839 0.02855445143984525
-4 -3.75 25 26 733.4465474563534 0.02288692360752975
-4 -3.75 26 27 673.3115821267216 0.01750400920570883
-4 -3.75 27 28 618.9646748809929 0.01323607694791917
-4 -3.75 28 29 569.7379825965019 0.01073255415678886
-4 -3.75 29 30 525.0420057776894 0.008206711756088225
-4 -3.75 30 31 484.3691317860805 0.006291415680948376
-4 -3.75 31 32 447.281831757993 0.004976778932643811
-4 -3.75 32 33 413.4053100216208 0.005877720432465594
-4 -3.75 33 34 382.4146690510996 0.003133293389112168
-4 -3.75 34 35 354.0213438920927 0.002220059543560637
-4 -3.75 35 36 327.9703740733452 0.002974486602852267
-4 -3.75 36 37 304.0348326144668 0.001681360177371971
-4 -3.75 37 38 282.0137465890336 0.001638809564212806
-4 -3.75 38 39 261.7315821003579 0.02457050361198299
-4 -3.75 39 40 243.0312325013341 0.02063623020350747
-4 -3.75 40 41 225.7737424705202 0.01739203893427543
-4 -3.75 41 42 209.8337825453238 0.01470114388573052
-4 -3.75 42 43 195.097515650909 0.01246828001035283
-4 -3.75 43 44 181.4625507220953 0.01061932484270756
-4 -3.75 44 45 168.8364313679904 0.009077002482769103
-4 -3.75 45 46 157.1367159464886 0.007790446135743423
-4 -3.75 46 47 146.2890920219329 0.006724648712207681
-4 -3.75 47 48 136.2260022502024 0.005838691003390295
-4 -3.75 48 49 126.886070869263 0.005097004425223872
-4 -3.75 49 50 118.212653757099 0.00446305420253168
-4 -3.75 50 51 110.1539432361837 0.003924504492786696
-4 -3.75 51 52 102.662474140455 0.003518899663617958
-4 -3.75 52 53 95.69538067054329 0.003459644092970393
-4 -3.75 53 54 89.21360341402767 0.003412916041099834
-4 -3.75 54 55 83.18186885947341 0.003350721024546033
-4 -3.75 55 56 77.56740647615081 0.003259351197669957
-4 -3.75 56 57 72.33985242008852 0.00315749222419015
-4 -3.75 57 58 67.47115602792424 0.003060984221278318
-4 -3.75 58 59 62.93520901405302 0.002946070536637535
-4 -3.75 59 60 58.70802997098306 0.002841646864325753
-4 -3.75 60 61 54.76761791168001 0.002749647495079444
-4 -3.75 61 62 51.0938658240427 0.002650262327101416
-4 -3.75 62 63 47.66822273797654 0.002571925906302397
-4 -3.75 63 64 44.4737240535291 0.002806013919979478
-4 -3.75 64 65 41.49434170207804 0.002986896683324858
-4 -3.75 65 66 38.71526726451064 0.002948031099577975
-4 -3.75 66 67 36.12266388864485 0.003021228878182569
-4 -3.75 67 68 33.7035372873433 0.003108746450479316
-4 -3.75 68 69 31.44596552396598 0.003068738498274826
-4 -3.75 69 70 29.33896028206597 0.001902967731897576
-4 -3.75 70 71 27.37239471082513 0.001824751579782458
-4 -3.75 71 72 25.53692677217039 0.001745084338512726
-4 -3.75 72 73 23.82381192426287 0.00166792214491096
-4 -3.75 73 74 22.22488397928584 0.001587961066068289
-4 -3.75 74 75 20.73243618543617 0.001509003153053357
-4 -3.75 75 76 19.33924533901962 0.001434767203726039
-4 -3.75 76 77 18.03861232127168 0.001362382731279865
-4 -3.75 77 78 16.82431816777807 0.001298089697439053
-4 -3.75 78 79 15.69065045624147 0.001234587874087367
-4 -3.75 79 80 14.63226475527026 0.001174506736001391
-4 -3.75 80 81 13.64420168015334 0.001120096671673565
-4 -3.75 81 82 12.72188739939503 0.001063919860063933
-4 -3.75 82 83 11.86098942091288 0.001010692548216952
-4 -3.75 83 84 11.05745561553301 0.0009585934935856244
-4 -3.75 84 85 10.3074808034427 0.0009046419203695422
-4 -3.75 85 86 9.607450659130478 0.0008564395765926491
-4 -3.75 86 87 8.954039857063327 0.0008112229610386379
-4 -3.75 87 88 8.344167035542752 0.0007684329911636922
-4 -3.75 88 89 7.774963246151982 0.0007287121928616358
-4 -3.75 89 90 7.243770945073579 0.0006901180586815769
-4 -3.75 90 91 6.748103960790287 0.0006550928797679489
-4 -3.75 91 92 6.285661286694449 0.0006207151575488012
