#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 23.0418555404304 0.0006005359863685555
-5 -4.75 1 2 41.97705264357852 0.0008839227881338729
-5 -4.75 2 3 25.00984770119156 0.0002445400235444595
-5 -4.75 3 4 16.61446099666152 0.0002091507615382682
-5 -4.75 4 5 11.82067859609806 0.0001859979832854464
-5 -4.75 5 6 8.792631637750638 0.0001504570636292613
-5 -4.75 6 7 6.745265494669051 0.0001192935681304519
-5 -4.75 7 8 5.292511980188884 9.613133717856215e-05
-5 -4.75 8 9 4.224276750119758 7.893372023914935e-05
-5 -4.75 9 10 3.416755171380992 6.641940429652493e-05
-5 -4.75 10 11 2.793108023515881 5.665521949271835e-05
-5 -4.75 11 12 2.302891118765933 4.847443831446085e-05
-5 -4.75 12 13 1.912007933690818 4.059730734384814e-05
-5 -4.75 13 14 1.596637875531111 3.210874485692905e-05
-5 -4.75 14 15 1.339601542950383 2.36086766232102e-05
-5 -4.75 15 16 1.128323246379423 4.160380461559754e-05
-5 -4.75 16 17 0.953430278277969 1.412120744581635e-05
-5 -4.75 17 18 0.8077487560406013 1.44144093336962e-05
-5 -4.75 18 19 0.685767036191644 2.89772186330417e-05
-5 -4.75 19 20 0.5831686905108926 6.859964134520169e-06
-5 -4.75 20 21 0.4965503047475037 5.394380320766778e-06
-5 -4.75 21 22 0.4231876654793634 4.742271082713856e-06
-5 -4.75 22 23 0.36088359312966 4.718826133842668e-06
-5 -4.75 23 24 0.3078597335671352 4.377857575454946e-06
-5 -4.75 24 25 0.2626534684428292 1.172822301676035e-05
-5 -4.75 25 26 0.2240526914961852 7.774944744159962e-06
-5 -4.75 26 27 0.1910610534054665 4.90071344191878e-06
-5 -4.75 27 28 0.1628429497916113 2.734684683591837e-06
-5 -4.75 28 29 0.1386973542312987 1.311348788030076e-06
-5 -4.75 29 30 0.1180314846127464 1.534769815805803e-06
-5 -4.75 30 31 0.1003455901889468 2.081235346076959e-06
-5 -4.75 31 32 0.08521463580154202 2.099021142676349e-06
-5 -4.75 32 33 0.07227516602399481 1.744336696155036e-06
-5 -4.75 33 34 0.06121675988435101 1.041618106149833e-06
-5 -4.75 34 35 0.05177394984350885 8.396604381094575e-07
-5 -4.75 35 36 0.04371873149137925 6.005605962811078e-07
-5 -4.75 36 37 0.03685515052622398 4.591606107204327e-07
-5 -4.75 37 38 0.03101449166941161 7.554282984538474e-07
-5 -4.75 38 39 0.0260513299605556 8.280684203262889e-07
-5 -4.75 39 40 0.02184025925582497 5.748680642798931e-07
-5 -4.75 40 41 0.01827303908138827 2.59995762370846e-07
-5 -4.75 41 42 0.01525657970882141 1.906599903910705e-07
-5 -4.75 42 43 0.01271082263193463 2.006861455888104e-07
-5 -4.75 43 44 0.01056622794609323 2.485603441508555e-07
-5 -4.75 44 45 0.008763161828447259 2.544686863552303e-07
-5 -4.75 45 46 0.007250529587860567 2.210629931696101e-07
-5 -4.75 46 47 0.005984211217105558 1.297440940994585e-07
-5 -4.75 47 48 0.004926444920256325 1.004253157793969e-07
-5 -4.75 48 49 0.004044962918788605 7.553358483732703e-08
-5 -4.75 49 50 0.003312079619630921 7.218351214541632e-08
-5 -4.75 50 51 0.002704214898677655 8.319332259285744e-08
-5 -4.75 51 52 0.002201320794517187 8.74249292529862e-08
-5 -4.75 52 53 0.001786317273667468 5.237675642917432e-08
-5 -4.75 53 54 0.001444759129156614 5.531359020425827e-08
-5 -4.75 54 55 0.001164427518360214 3.341179083730071e-08
-5 -4.75 55 56 0.0009350058580305458 2.750979146001406e-08
-5 -4.75 56 57 0.0007478162306342209 2.504525469469981e-08
-5 -4.75 57 58 0.0005955729967839182 2.042382330044636e-08
-5 -4.75 58 59 0.0004721791114357551 1.378014719162751e-08
-5 -4.75 59 60 0.0003725330647371754 1.174911610992042e-08
-5 -4.75 60 61 0.0002923841593028594 1.192155857013396e-08
-5 -4.75 61 62 0.0002281920645544824 1.0097884657758e-08
-5 -4.75 62 63 0.0001770213265029265 6.91496524071137e-09
-5 -4.75 63 64 0.000136437125614796 5.37941811310904e-09
-5 -4.75 64 65 0.0001044273755360844 4.728913461011543e-09
-5 -4.75 65 66 7.93308596927832e-05 1.103766185370811e-09
-5 -4.75 66 67 5.9781822176021e-05 7.364063650051097e-10
-5 -4.75 67 68 4.466053283066237e-05 1.782446636239255e-10
-5 -4.75 68 69 3.305247688714511e-05 2.056586892904238e-10
-5 -4.75 69 70 2.421443749659225e-05 4.003049894126952e-10
-5 -4.75 70 71 1.754549948409376e-05 4.124561937413204e-10
-5 -4.75 71 72 1.256205592261115e-05 1.438402943456496e-10
-5 -4.75 72 73 8.877357714345505e-06 1.355749201529459e-10
-5 -4.75 73 74 6.184420634795405e-06 1.949810836596641e-10
-5 -4.75 74 75 4.241262835775236e-06 5.209184097938009e-11
-5 -4.75 75 76 2.858701681550511e-06 7.885821336757094e-11
-5 -4.75 76 77 1.890207542902615e-06 3.205753611291224e-11
-5 -4.75 77 78 1.223433877122473e-06 1.388796482185484e-11
-5 -4.75 78 79 7.731965438263494e-07 5.310987403027507e-12
-5 -4.75 79 80 4.757351566687307e-07 3.511579560725455e-12
-5 -4.75 80 81 2.839729715315914e-07 2.071970018420549e-12
-5 -4.75 81 82 1.637191204114419e-07 1.788690559572389e-12
-5 -4.75 82 83 9.067076138236338e-08 1.058425094072262e-12
-5 -4.75 83 84 4.791960723161258e-08 9.292094277530529e-13
-5 -4.75 84 85 2.396815399015966e-08 6.427942053017894e-13
-5 -4.75 85 86 1.122626774499667e-08 4.828999768886527e-13
-5 -4.75 86 87 4.85546610631548e-09 7.022482161648479e-14
-5 -4.75 87 88 1.904645233163498e-09 6.437836127100796e-14
-5 -4.75 88 89 6.615971114065806e-10 1.854938637355631e-16
-5 -4.75 89 90 1.974610843602109e-10 3.277204498872138e-15
-5 -4.75 90 91 4.913286350193211e-11 1.327725273631846e-15
-5 -4.75 91 92 1.019314892552701e-11 6.297630623612765e-17
-5 -4.75 92 93 1.831127324231963e-12 2.151441900883554e-17
-5 -4.75 93 94 2.43114232080362e-13 5.502152668976962e-18
-5 -4.75 94 95 8.602603689872858e-15 3.828062589112744e-20
-5 -4.75 95 96 1.469290452460179e-20 3.919421938990672e-25
-5 -4.75 96 97 0 0
-5 -4.75 97 98 0 0
-5 -4.75 98 99 0 0
-5 -4.75 99 100 0 0
-4.75 -4.5 0 1 172.0667815605411 0.005080660370367696
-4.75 -4.5 1 2 445.446005045954 0.01230421041407226
-4.75 -4.5 2 3 284.4477166055559 0.007212593268775436
-4.75 -4.5 3 4 196.309719666497 0.004726009997369829
-4.75 -4.5 4 5 143.9266103237042 0.003390570659917103
-4.75 -4.5 5 6 109.9656731052733 0.002519540715937296
-4.75 -4.5 6 7 86.52258276664625 0.001865950059638521
-4.75 -4.5 7 8 69.58145426214175 0.00142681494946828
-4.75 -4.5 8 9 56.90559960852041 0.001091005583866433
-4.75 -4.5 9 10 47.16254757454949 0.0008280847118626866
-4.75 -4.5 10 11 39.51095557935027 0.0006178663010203422
-4.75 -4.5 11 12 33.39431979923143 0.0004573610416755969
-4.75 -4.5 12 13 28.43408322605057 0.0003279297038432105
-4.75 -4.5 13 14 24.36187314398894 0.0002211550464252809
-4.75 -4.5 14 15 20.98352378876012 0.0001393094865349553
-4.75 -4.5 15 16 18.15570707410915 6.463072642048928e-05
-4.75 -4.5 16 17 15.77047011226942 1.344741087017098e-05
-4.75 -4.5 17 18 13.74487606967064 3.111435140645824e-05
-4.75 -4.5 18 19 12.0143810613592 0.0005111593070914466
-4.75 -4.5 19 20 10.52824791732053 0.0002923223571897893
-4.75 -4.5 20 21 9.246265465328962 0.0002625766611927816
-4.75 -4.5 21 22 8.135571512850852 0.0001042153625991915
-4.75 -4.5 22 23 7.169970778163489 0.0001017906464202412
-4.75 -4.5 23 24 6.327719760905183 0.0001237960021516216
-4.75 -4.5 24 25 5.590987523099859 0.0001704912898770061
-4.75 -4.5 25 26 4.944944389498664 0.0001991759931767589
-4.75 -4.5 26 27 4.377125158954535 0.0002177464195041168
-4.75 -4.5 27 28 3.877035673651624 6.676455012355476e-05
-4.75 -4.5 28 29 3.435819753342492 5.910407761566816e-05
-4.75 -4.5 29 30 3.046009070292349 5.021886519962493e-05
-4.75 -4.5 30 31 2.701176031415642 4.111639160520042e-05
-4.75 -4.5 31 32 2.395748202596881 2.846740875472875e-05
-4.75 -4.5 32 33 2.124950364527357 2.360628194431058e-05
-4.75 -4.5 33 34 1.884669554058644 2.275972040743923e-05
-4.75 -4.5 34 35 1.671346940542826 1.860767070116509e-05
-4.75 -4.5 35 36 1.48186306842067 1.729909498249249e-05
-4.75 -4.5 36 37 1.313467457888876 1.787483157689174e-05
-4.75 -4.5 37 38 1.163766582707099 1.88402216430017e-05
-4.75 -4.5 38 39 1.030671696007243 1.928245503579618e-05
-4.75 -4.5 39 40 0.9123340656480257 1.690977743618038e-05
-4.75 -4.5 40 41 0.8071195565822175 1.319652403664051e-05
-4.75 -4.5 41 42 0.713583395107707 8.190003129682211e-06
-4.75 -4.5 42 43 0.6304449469930919 2.235157807950472e-06
-4.75 -4.5 43 44 0.5565710418670009 6.926506863624837e-07
-4.75 -4.5 44 45 0.4909549203615262 2.325994327978531e-06
-4.75 -4.5 45 46 0.4326988577759349 5.219161358038793e-06
-4.75 -4.5 46 47 0.3810042388151747 6.033816192407837e-06
-4.75 -4.5 47 48 0.3351590316661697 6.011775372238848e-06
-4.75 -4.5 48 49 0.2945260292453742 5.084048854686607e-06
-4.75 -4.5 49 50 0.258538452629882 4.143875654338824e-06
-4.75 -4.5 50 51 0.226689718384726 3.976690185120146e-06
-4.75 -4.5 51 52 0.1985273808900951 3.515960613625913e-06
-4.75 -4.5 52 53 0.1736481243630628 1.947515533812227e-06
-4.75 -4.5 53 54 0.1516902835738238 2.117315837657507e-07
-4.75 -4.5 54 55 0.1323299401351004 1.543106116358439e-06
-4.75 -4.5 55 56 0.115278012090226 1.797357129629251e-06
-4.75 -4.5 56 57 0.1002761198765779 1.26781320504421e-06
-4.75 -4.5 57 58 0.0870935888024531 1.104593663411868e-06
-4.75 -4.5 58 59 0.07552428594495984 1.184479788890469e-06
-4.75 -4.5 59 60 0.06538404326348707 7.901839705615199e-07
-4.75 -4.5 60 61 0.05650826051169035 1.071086831241908e-07
-4.75 -4.5 61 62 0.04875012622997203 1.022611308687527e-06
-4.75 -4.5 62 63 0.0419791258792092 1.374308622278941e-06
-4.75 -4.5 63 64 0.03607913732751775 1.276687106525898e-06
-4.75 -4.5 64 65 0.03094656154985855 1.117786332500981e-06
-4.75 -4.5 65 66 0.0264888828419894 9.263430112219084e-07
-4.75 -4.5 66 67 0.02262409229241521 6.510375999101148e-07
-4.75 -4.5 67 68 0.0192796549992531 3.174326329430377e-07
-4.75 -4.5 68 69 0.0163912316713777 1.462944588526138e-07
-4.75 -4.5 69 70 0.01390169761791132 1.784769935349317e-07
-4.75 -4.5 70 71 0.01176046575999485 2.408759074423727e-07
-4.75 -4.5 71 72 0.009922875752922644 2.058493684571616e-07
-4.75 -4.5 72 73 0.00834953066918913 1.229478395047695e-07
-4.75 -4.5 73 74 0.007005672949959067 5.888069734647644e-08
-4.75 -4.5 74 75 0.005860706899720693 1.67559912377449e-08
-4.75 -4.5 75 76 0.004887758682119108 6.01684581706674e-08
-4.75 -4.5 76 77 0.004063288393520857 1.176919834870033e-07
-4.75 -4.5 77 78 0.003366645256873929 1.496185410318311e-07
-4.75 -4.5 78 79 0.0027797261749634 5.758463913476883e-08
-4.75 -4.5 79 80 0.002286923226804024 3.814329537117633e-08
-4.75 -4.5 80 81 0.001874468083154854 9.115066968356719e-09
-4.75 -4.5 81 82 0.001530460155315937 2.154724426163025e-08
