#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4 0 1 18423.93751185228 1.335523805235425
-5 -4 1 2 71048.85394873691 6.032572404219536
-5 -4 2 3 52331.44913187832 4.439056052586238
-5 -4 3 4 38269.55128433911 2.465276594186435
-5 -4 4 5 29153.41394157234 2.052591414430935
-5 -4 5 6 22966.44761888097 0.6224027350144752
-5 -4 6 7 18562.47213377499 0.2440180072881049
-5 -4 7 8 15304.11674401181 0.1357515777854132
-5 -4 8 9 12817.33238446343 0.1133429278834228
-5 -4 9 10 10871.84687821766 0.09326461082673632
-5 -4 10 11 9318.848716685574 0.07464686093589989
-5 -4 11 12 8057.728398318901 0.06241196450719144
-5 -4 12 13 7019.248810142014 0.04905727278401173
-5 -4 13 14 6153.801585702436 0.5713146757907452
-5 -4 14 15 5424.818089488684 0.3645223636476658
-5 -4 15 16 4805.250063244013 0.2232776076207301
-5 -4 16 17 4274.537807253511 0.3900525132157782
-5 -4 17 18 3816.746614896662 0.3027906803299629
-5 -4 18 19 3419.365952881069 0.2383388467510485
-5 -4 19 20 3072.466797158266 0.1827398123355124
-5 -4 20 21 2768.155775513002 0.1400299768552031
-5 -4 21 22 2500.017851826203 0.1087450434160928
-5 -4 22 23 2262.76458374048 0.0850684665369954
-5 -4 23 24 2052.033426880699 0.06465080958514591
-5 -4 24 25 1864.233207296754 0.04698402494682341
-5 -4 25 26 1696.381633244229 0.03330551107524116
-5 -4 26 27 1545.940172772623 0.02437545662746743
-5 -4 27 28 1410.728441872622 0.01663124641822833
-5 -4 28 29 1288.903154414427 0.01396864012713195
-5 -4 29 30 1178.904623082382 0.0117516071013597
-5 -4 30 31 1079.40258110481 0.009777702274504918
-5 -4 31 32 989.2386932594633 0.008062736093620515
-5 -4 32 33 907.3870148980351 0.007102137141032472
-5 -4 33 34 832.9533764228175 0.009089515318351005
-5 -4 34 35 765.1636966157819 0.01107442370243916
-5 -4 35 36 703.3448632326827 0.01275753900915788
-5 -4 36 37 646.9094152078587 0.01400170091369546
-5 -4 37 38 595.3352571534881 0.01454200004798167
-5 -4 38 39 548.1500027005056 0.0146057139960476
-5 -4 39 40 504.9318285529566 0.01498344584990718
-5 -4 40 41 465.3114934491559 0.01505344575986101
-5 -4 41 42 428.9593502865422 0.01517936781550588
-5 -4 42 43 395.5818231573309 0.01517460442113361
-5 -4 43 44 364.91608887059 0.01502549771942085
-5 -4 44 45 336.7245373555253 0.0305251323337643
-5 -4 45 46 310.7902790813588 0.02524104698534302
-5 -4 46 47 286.918271742644 0.02089362780435522
-5 -4 47 48 264.9333246039575 0.01728488564259578
-5 -4 48 49 244.6764527162882 0.01430483614254285
-5 -4 49 50 226.0034733167071 0.01271589826708919
-5 -4 50 51 208.7850654460317 0.01233747864344537
-5 -4 51 52 192.9037272997607 0.01186477895396365
-5 -4 52 53 178.2504522027803 0.01129184372715031
-5 -4 53 54 164.7247570347121 0.01085929257959606
-5 -4 54 55 152.2366340398381 0.01037921232608596
-5 -4 55 56 140.7033373144612 0.00989732405759014
-5 -4 56 57 130.0490328730014 0.009470270807412362
-5 -4 57 58 120.2050745887724 0.009061885246993029
-5 -4 58 59 111.1089013768781 0.008670736835497905
-5 -4 59 60 102.7030887179763 0.008233736271463954
-5 -4 60 61 94.93388855991097 0.007798642394334365
-5 -4 61 62 87.75167159850974 0.007404032857053267
-5 -4 62 63 81.11125744751169 0.007007361619940866
-5 -4 63 64 74.97081790941198 0.006623421453667788
-5 -4 64 65 69.29187823275953 0.006284161819536394
-5 -4 65 66 64.03957619161022 0.005970519159205878
-5 -4 66 67 59.18206443997234 0.005668947870020702
-5 -4 67 68 54.69001303913036 0.005369544224173239
-5 -4 68 69 50.53591924463196 0.00503496800159553
-5 -4 69 70 46.69374158208619 0.0006176084382545355
