#ylo yhi PDF0  uncertainty
-5 -4 85854.44242092647 21.8637336693012
-4 -3.75 95611.4655920693 72.91709716275369
-3.75 -3.5 134531.7487977939 162.3899009765287
-3.5 -3.25 169649.5214421072 180.2002349735476
-3.25 -3 199133.3685462377 148.1182703783499
-3 -2.75 224192.583283681 302.4597853853441
-2.75 -2.5 245527.0684141283 250.9399447720646
-2.5 -2.25 263705.4209290501 205.3069014981542
-2.25 -2 279202.7791649193 174.3450426488182
-2 -1.75 292335.6921135424 161.5166423941403
-1.75 -1.5 306339.3325844117 262.1422148001221
-1.5 -1.25 312768.1763824717 171.1888365057944
-1.25 -1 320342.0407931604 173.8283410526775
-1 -0.75 326586.4171206559 200.8686993345756
-0.75 -0.5 331064.1904659588 175.6414615435255
-0.5 -0.25 334184.1997257966 173.9277325789389
-0.25 0 335793.5882439078 179.0169187258431
0 0.25 335855.1959653877 177.2010902467275
0.25 0.5 334337.0047215647 168.3448317679195
0.5 0.75 331275.7561141746 166.7743097080813
0.75 1 326798.274478628 199.6222505577509
1 1.25 320539.6450495185 159.1338810172086
1.25 1.5 312959.574808257 154.9011029290246
1.5 1.75 306529.1107698306 219.5361109870935
1.75 2 292535.9959178797 146.5559681901093
2 2.25 279404.4333732362 173.8366804354448
2.25 2.5 263902.1918431411 207.3621265256455
2.5 2.75 245699.1903299731 246.603931348513
2.75 3 224319.0039370973 302.7611084809759
3 3.25 199221.7827845984 171.4545700344941
3.25 3.5 169162.536803304 172.5592959333566
3.5 3.75 134480.7101793812 163.9037000979935
3.75 4 95531.87754657782 72.95947516253328
4 5 85673.0027704159 21.74736115090729
-5 5 8515047.323413786 1079.502701875605
