#ylo yhi PDF0  uncertainty
-5 -4 269993.2475947715 309.9148646234269
-4 -3.75 220663.1890422439 152.3363605873652
-3.75 -3.5 274051.4238815316 317.9510713771836
-3.5 -3.25 311923.5177959834 341.8459020401677
-3.25 -3 335721.8489327488 248.7471181381535
-3 -2.75 348696.2431613266 428.2990776204704
-2.75 -2.5 355104.9272983534 335.017365092887
-2.5 -2.25 358019.0613821948 374.3342284674683
-2.25 -2 359453.044853187 390.6918580139697
-2 -1.75 360474.6803307587 395.0639710921367
-1.75 -1.5 361799.3645292267 391.1452672231866
-1.5 -1.25 362873.7982364153 382.2650713690561
-1.25 -1 364129.1606274936 375.9183916497601
-1 -0.75 365578.0067874506 371.3441822832592
-0.75 -0.5 366551.4143958917 363.5178399039322
-0.5 -0.25 367463.1374531818 222.7790881482807
-0.25 0 367898.7458884686 357.6049564204659
0 0.25 367975.4535525098 355.4060164757184
0.25 0.5 367657.9111305525 211.8684117612058
0.5 0.75 366824.9786424128 352.5588855417366
0.75 1 365858.9845778982 356.1306528727922
1 1.25 364390.2369128544 356.9439879658617
1.25 1.5 363116.1225295312 359.7576077985586
1.5 1.75 362035.6139329784 364.594391247075
1.75 2 360712.8754959474 365.4232877095101
2 2.25 359697.2848009515 358.9101102080314
2.25 2.5 358267.4009134366 343.3897814870476
2.5 2.75 355327.041686044 308.3120356447039
2.75 3 348860.3894553835 428.9858719331515
3 3.25 335834.3964658463 247.7612767206643
3.25 3.5 311902.1689421988 349.9962404450849
3.5 3.75 273924.4626272077 329.841560316567
3.75 4 220470.9993026247 173.3554033796387
4 5 269347.332564674 309.9020686048419
-5 5 11502598.46572428 1980.354124739407
