#ylo yhi PDF0  uncertainty
-5 -4.75 114.179876116391 0.04006905457437199
-4.75 -4.5 1329.721357515637 0.6507153311834006
-4.5 -4.25 5890.825733530651 4.113065208086386
-4.25 -4 14282.30614458692 12.44585773998687
-4 -3.75 24409.87298420581 18.79526173413427
-3.75 -3.5 34092.00548211099 22.87949838725945
-3.5 -3.25 42243.62697029553 25.26323794117787
-3.25 -3 48557.80966042203 26.73999223939554
-3 -2.75 53285.35939836921 27.472913493366
-2.75 -2.5 56855.14808919428 50.37924258185744
-2.5 -2.25 59684.39923670462 30.24747798520649
-2.25 -2 62041.73309551056 28.35535756895072
-2 -1.75 64109.50265511819 36.91751965968272
-1.75 -1.5 66377.35714615529 28.32298144550122
-1.5 -1.25 67406.7273047436 28.95650903223065
-1.25 -1 68767.57647315475 32.76355353716888
-1 -0.75 69862.28489955542 29.2624057938683
-0.75 -0.5 70702.17145568338 29.35707408696721
-0.5 -0.25 71298.7920559714 30.24247561908102
-0.25 0 71605.61983384089 29.85614791025526
0 0.25 71616.4846292264 29.85122106064681
0.25 0.5 71325.36606964997 30.25976514039123
0.5 0.75 70738.41958972428 29.35292362929912
0.75 1 69903.22196627849 29.28837188233527
1 1.25 68806.28556888318 32.76167613414249
1.25 1.5 67445.48681254608 28.96836831844305
1.5 1.75 66415.75838160529 28.30280860705173
1.75 2 64150.15135925641 36.78345404507742
2 2.25 62083.79664922724 28.35957858733017
2.25 2.5 59725.35815289077 30.39295482923207
2.5 2.75 56894.3818165128 50.31500665665816
2.75 3 53317.47636441026 27.49177776499915
3 3.25 48581.93545941509 26.74873578071719
3.25 3.5 42256.60703178538 25.27564605646943
3.5 3.75 34088.43921521852 22.89529312037427
3.75 4 24398.52106573145 18.79777105700613
4 4.25 14267.61263722426 12.45936119855174
4.25 4.5 5880.212187624976 4.139866972913905
4.5 4.75 1326.172949981948 0.6502896078827867
4.75 5 113.6731570778699 0.03992932390856693
-5 5 1906252.380917056 173.2857773948606
