(*{Q, Y, qT, xsec, deltanum}*)
{  91.000000,  0.000000,  0.500000, ,         0.0077981372} 
{  91.000000,  0.000000,  1.500000, ,         0.0217602461} 
{  91.000000,  0.000000,  3.000000, ,         0.0667057166} 
{  91.000000,  0.000000,  5.000000, ,         0.0728200872} 
{  91.000000,  0.000000,  7.000000, ,         0.0657468212} 
{  91.000000,  0.000000,  9.000000, ,         0.0577090534} 
{  91.000000,  0.000000,  11.000000, ,         0.0489560819} 
{  91.000000,  0.000000,  13.000000, ,         0.0403336979} 
{  91.000000,  0.000000,  15.000000, ,         0.0361509636} 
{  91.000000,  0.000000,  17.000000, ,         0.0298889163} 
{  91.000000,  0.000000,  19.000000, ,         0.0257545609} 
{  91.000000,  0.000000,  21.250000, ,         0.0264385907} 
{  91.000000,  0.000000,  23.750000, ,         0.0228025886} 
{  91.000000,  0.000000,  26.250000, ,         0.0195321627} 
{  91.000000,  0.000000,  28.750000, ,         0.0173045349} 
{  91.000000,  0.000000,  31.500000, ,         0.0172932729} 
{  91.000000,  0.000000,  34.500000, ,         0.0146083693} 
{  91.000000,  0.000000,  37.500000, ,         0.0124920801} 
{  91.000000,  0.000000,  40.500000, ,         0.0106933957} 
{  91.000000,  0.000000,  43.500000, ,         0.0090187168} 
{  91.000000,  0.000000,  46.500000, ,         0.0076547406} 
{  91.000000,  0.000000,  49.500000, ,         0.0063867811} 
{  91.000000,  0.000000,  52.500000, ,         0.0053935260} 
{  91.000000,  0.000000,  55.500000, ,         0.0045802328} 
{  91.000000,  0.000000,  59.000000, ,         0.0053022541} 
{  91.000000,  0.000000,  63.000000, ,         0.0043980867} 
{  91.000000,  0.000000,  67.500000, ,         0.0045642941} 
{  91.000000,  0.000000,  72.500000, ,         0.0035610692} 
{  91.000000,  0.000000,  77.500000, ,         0.0028719296} 
{  91.000000,  0.000000,  82.500000, ,         0.0021721601} 
{  91.000000,  0.000000,  90.000000, ,         0.0026518279} 
{  91.000000,  0.000000,  100.000000, ,         0.0008788277} 
{  91.000000,  0.000000,  115.000000, ,         0.0022707256} 
