------------------------------------------
Welcome to SCETlib -- Don't Stop Resummin'
------------------------------------------
SCETlib version      c702f44

Read runcard n3llp.ini
Using custom EW parameters.
Calculating central values only (no variations config file found).

Started job on Wed Mar 13 08:47:45 2024
Machine:              lxplus8s10.cern.ch
Number of threads:    40
Number of CUBA cores: 1
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 25.000000,  27.500000} in     114s. Obtained xsec =        20.8485987442 +-         0.0195321627.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 36.000000,  39.000000} in     127s. Obtained xsec =        12.7762376078 +-         0.0124920801.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 39.000000,  42.000000} in     133s. Obtained xsec =        10.7904759040 +-         0.0106933957.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 33.000000,  36.000000} in     139s. Obtained xsec =        15.1776821714 +-         0.0146083693.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 30.000000,  33.000000} in     146s. Obtained xsec =        18.1125448088 +-         0.0172932729.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 42.000000,  45.000000} in     149s. Obtained xsec =         9.1357847952 +-         0.0090187168.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 27.500000,  30.000000} in     150s. Obtained xsec =        17.8086982666 +-         0.0173045349.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 45.000000,  48.000000} in     156s. Obtained xsec =         7.7321480297 +-         0.0076547406.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 20.000000,  22.500000} in     156s. Obtained xsec =        29.0908668117 +-         0.0264385907.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 22.500000,  25.000000} in     157s. Obtained xsec =        24.5703924685 +-         0.0228025886.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 48.000000,  51.000000} in     167s. Obtained xsec =         6.5320608256 +-         0.0063867811.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 14.000000,  16.000000} in     169s. Obtained xsec =        36.5307969148 +-         0.0361509636.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 16.000000,  18.000000} in     172s. Obtained xsec =        31.4782593689 +-         0.0298889163.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 12.000000,  14.000000} in     173s. Obtained xsec =        42.6394064796 +-         0.0403336979.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 18.000000,  20.000000} in     174s. Obtained xsec =        27.2505503363 +-         0.0257545609.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 51.000000,  54.000000} in     174s. Obtained xsec =         5.5436210933 +-         0.0053935260.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 6.000000,  8.000000} in     178s. Obtained xsec =        68.5736547547 +-         0.0657468212.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 10.000000,  12.000000} in     179s. Obtained xsec =        50.0184400223 +-         0.0489560819.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 54.000000,  57.000000} in     179s. Obtained xsec =         4.7748818596 +-         0.0045802328.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 80.000000,  85.000000} in     185s. Obtained xsec =         2.2088045447 +-         0.0021721601.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 4.000000,  6.000000} in     186s. Obtained xsec =        75.8590052932 +-         0.0728200872.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 8.000000,  10.000000} in     186s. Obtained xsec =        58.8371633948 +-         0.0577090534.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 2.000000,  4.000000} in     189s. Obtained xsec =        69.2799533698 +-         0.0667057166.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 57.000000,  61.000000} in     190s. Obtained xsec =         5.4099796674 +-         0.0053022541.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 105.000000,  125.000000} in     196s. Obtained xsec =        -2.4182883409 +-         0.0022707256.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 1.000000,  2.000000} in     198s. Obtained xsec =        22.4493327255 +-         0.0217602461.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 75.000000,  80.000000} in     198s. Obtained xsec =         2.8916936899 +-         0.0028719296.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 85.000000,  95.000000} in     199s. Obtained xsec =         2.7312403574 +-         0.0026518279.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 61.000000,  65.000000} in     199s. Obtained xsec =         4.5187774621 +-         0.0043980867.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 95.000000,  105.000000} in     201s. Obtained xsec =         0.8858186466 +-         0.0008788277.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 65.000000,  70.000000} in     204s. Obtained xsec =         4.6267279589 +-         0.0045642941.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 70.000000,  75.000000} in     205s. Obtained xsec =         3.6848500818 +-         0.0035610692.
   Finished Q = { 66.000000,  116.000000}, Y = {-2.500000,  2.500000}, qT = { 0.000000,  1.000000} in     222s. Obtained xsec =         8.1471369887 +-         0.0077981372.
Finished evaluation. Took 222s = 0.06175752249028948h on 40 kernels.
Writing out results ...
Finished job on Wed Mar 13 08:51:27 2024 on machine lxplus8s10.cern.ch
