(*{Q, Y, qT, xsec, deltanum}*)
{  90.000000,  0.000000,  0.500000, ,         0.0015986299} 
{  90.000000,  0.000000,  1.500000, ,         0.0042553586} 
{  90.000000,  0.000000,  2.500000, ,         0.0057617956} 
{  90.000000,  0.000000,  3.500000, ,         0.0057998937} 
{  90.000000,  0.000000,  4.500000, ,         0.0057368474} 
{  90.000000,  0.000000,  5.500000, ,         0.0057396836} 
{  90.000000,  0.000000,  6.500000, ,         0.0052291787} 
{  90.000000,  0.000000,  7.500000, ,         0.0049936331} 
{  90.000000,  0.000000,  8.500000, ,         0.0045224013} 
{  90.000000,  0.000000,  9.500000, ,         0.0040929199} 
{  90.000000,  0.000000,  10.500000, ,         0.0038759143} 
{  90.000000,  0.000000,  11.500000, ,         0.0042260428} 
{  90.000000,  0.000000,  12.500000, ,         0.0034166390} 
{  90.000000,  0.000000,  13.500000, ,         0.0031625686} 
{  90.000000,  0.000000,  14.500000, ,         0.0034539524} 
{  90.000000,  0.000000,  15.500000, ,         0.0032212061} 
{  90.000000,  0.000000,  16.500000, ,         0.0029925971} 
{  90.000000,  0.000000,  17.500000, ,         0.0025490902} 
{  90.000000,  0.000000,  18.500000, ,         0.0025857698} 
{  90.000000,  0.000000,  19.500000, ,         0.0022996050} 
{  90.000000,  0.000000,  20.500000, ,         0.0022659597} 
{  90.000000,  0.000000,  21.500000, ,         0.0020589466} 
{  90.000000,  0.000000,  22.500000, ,         0.0019157562} 
{  90.000000,  0.000000,  23.500000, ,         0.0018891966} 
{  90.000000,  0.000000,  24.500000, ,         0.0017452540} 
{  90.000000,  0.000000,  25.500000, ,         0.0016618201} 
{  90.000000,  0.000000,  26.500000, ,         0.0016146686} 
{  90.000000,  0.000000,  27.500000, ,         0.0015134937} 
{  90.000000,  0.000000,  28.500000, ,         0.0014208780} 
{  90.000000,  0.000000,  29.500000, ,         0.0013548287} 
{  90.000000,  0.000000,  30.500000, ,         0.0012239812} 
{  90.000000,  0.000000,  31.500000, ,         0.0011446889} 
{  90.000000,  0.000000,  32.500000, ,         0.0011586452} 
{  90.000000,  0.000000,  33.500000, ,         0.0011003136} 
{  90.000000,  0.000000,  34.500000, ,         0.0010350809} 
{  90.000000,  0.000000,  35.500000, ,         0.0009834489} 
{  90.000000,  0.000000,  36.500000, ,         0.0009332923} 
{  90.000000,  0.000000,  37.500000, ,         0.0008857209} 
{  90.000000,  0.000000,  38.500000, ,         0.0008413405} 
{  90.000000,  0.000000,  39.500000, ,         0.0007992316} 
