------------------------------------------
Welcome to SCETlib -- Don't Stop Resummin'
------------------------------------------
SCETlib version      c702f44

Read runcard inclusive_Z_MSHT20an3lo_nplambda_N3LLp.ini
Using custom EW parameters.
Calculating central values only (no variations config file found).

Started job on Wed Mar 13 00:19:19 2024
Machine:              lxplus8s10.cern.ch
Number of threads:    40
Number of CUBA cores: 1
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 7.000000,  8.000000} in      31s. Obtained xsec =        57.3446533462 +-         0.0049936331.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 6.000000,  7.000000} in      31s. Obtained xsec =        61.2642272263 +-         0.0052291787.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 5.000000,  6.000000} in      32s. Obtained xsec =        65.0664703769 +-         0.0057396836.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 4.000000,  5.000000} in      34s. Obtained xsec =        68.2735925424 +-         0.0057368474.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 8.000000,  9.000000} in      35s. Obtained xsec =        53.4393507508 +-         0.0045224013.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 9.000000,  10.000000} in      42s. Obtained xsec =        49.6716946250 +-         0.0040929199.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 11.000000,  12.000000} in      42s. Obtained xsec =        42.8534075229 +-         0.0042260428.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 15.000000,  16.000000} in      42s. Obtained xsec =        32.2518502389 +-         0.0032212061.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 14.000000,  15.000000} in      43s. Obtained xsec =        34.5560877160 +-         0.0034539524.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 32.000000,  33.000000} in      43s. Obtained xsec =        11.6373979708 +-         0.0011586452.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 16.000000,  17.000000} in      43s. Obtained xsec =        30.1372298674 +-         0.0029925971.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 18.000000,  19.000000} in      43s. Obtained xsec =        26.3938126522 +-         0.0025857698.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 10.000000,  11.000000} in      45s. Obtained xsec =        46.1326075721 +-         0.0038759143.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 13.000000,  14.000000} in      45s. Obtained xsec =        37.0715901134 +-         0.0031625686.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 17.000000,  18.000000} in      45s. Obtained xsec =        28.1857536886 +-         0.0025490902.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 20.000000,  21.000000} in      45s. Obtained xsec =        23.2161152675 +-         0.0022659597.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 12.000000,  13.000000} in      45s. Obtained xsec =        39.8338784071 +-         0.0034166390.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 30.000000,  31.000000} in      45s. Obtained xsec =        12.9560019489 +-         0.0012239812.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 19.000000,  20.000000} in      46s. Obtained xsec =        24.7468910437 +-         0.0022996050.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 31.000000,  32.000000} in      46s. Obtained xsec =        12.2751435357 +-         0.0011446889.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 22.000000,  23.000000} in      46s. Obtained xsec =        20.4854175634 +-         0.0019157562.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 21.000000,  22.000000} in      46s. Obtained xsec =        21.7956949714 +-         0.0020589466.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 39.000000,  40.000000} in      47s. Obtained xsec =         8.1145633105 +-         0.0007992316.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 33.000000,  34.000000} in      48s. Obtained xsec =        11.0394820680 +-         0.0011003136.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 38.000000,  39.000000} in      48s. Obtained xsec =         8.5331411243 +-         0.0008413405.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 23.000000,  24.000000} in      48s. Obtained xsec =        19.2786157179 +-         0.0018891966.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 36.000000,  37.000000} in      48s. Obtained xsec =         9.4459794787 +-         0.0009332923.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 37.000000,  38.000000} in      48s. Obtained xsec =         8.9760844579 +-         0.0008857209.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 35.000000,  36.000000} in      48s. Obtained xsec =         9.9455776555 +-         0.0009834489.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 34.000000,  35.000000} in      48s. Obtained xsec =        10.4763919798 +-         0.0010350809.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 3.000000,  4.000000} in      52s. Obtained xsec =        68.8521615884 +-         0.0057998937.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 2.000000,  3.000000} in      54s. Obtained xsec =        62.8087552013 +-         0.0057617956.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 29.000000,  30.000000} in      56s. Obtained xsec =        13.6832534177 +-         0.0013548287.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 24.000000,  25.000000} in      56s. Obtained xsec =        18.1646253972 +-         0.0017452540.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 1.000000,  2.000000} in      56s. Obtained xsec =        45.6048462182 +-         0.0042553586.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.500000,  2.500000}, qT = { 0.000000,  1.000000} in      59s. Obtained xsec =        16.8700321871 +-         0.0015986299.
