(*{Q, Y, qT, xsec, deltanum}*)
{  90.000000, -3.800000,  1.250000, ,         0.0000156300} 
{  90.000000, -3.800000,  3.750000, ,         0.0007610269} 
{  90.000000, -3.800000,  6.500000, ,         0.0005581761} 
{  90.000000, -3.800000,  9.700000, ,         0.0005062433} 
{  90.000000, -3.800000,  13.150000, ,         0.0004002540} 
{  90.000000, -3.800000,  16.700000, ,         0.0003203246} 
{  90.000000, -3.800000,  20.250000, ,         0.0002013702} 
{  90.000000, -3.800000,  23.750000, ,         0.0001728596} 
{  90.000000, -3.800000,  27.250000, ,         0.0001231956} 
{  90.000000, -3.800000,  30.800000, ,         0.0001059173} 
{  90.000000, -3.800000,  36.500000, ,         0.0001586288} 
{  90.000000, -3.800000,  42.650000, ,         0.0000606567} 
{  90.000000, -3.800000,  47.550000, ,         0.0000551925} 
{  90.000000, -3.800000,  53.300000, ,         0.0000418895} 
{  90.000000, -3.800000,  60.150000, ,         0.0000274224} 
{  90.000000, -3.800000,  68.650000, ,         0.0000117491} 
{  90.000000, -3.800000,  79.400000, ,         0.0000093981} 
{  90.000000, -3.800000,  95.200000, ,         0.0000485999} 
{  90.000000, -3.800000,  118.500000, ,         0.0000982332} 
{  90.000000, -3.800000,  152.500000, ,         0.0001543875} 
{  90.000000, -3.800000,  213.000000, ,         0.0002826727} 
{  90.000000, -3.800000,  326.500000, ,         0.0005028411} 
{  90.000000, -3.400000,  1.250000, ,         0.0000773585} 
{  90.000000, -3.400000,  3.750000, ,         0.0007864423} 
{  90.000000, -3.400000,  6.500000, ,         0.0006855615} 
{  90.000000, -3.400000,  9.700000, ,         0.0005296841} 
{  90.000000, -3.400000,  13.150000, ,         0.0003815490} 
{  90.000000, -3.400000,  16.700000, ,         0.0002850751} 
{  90.000000, -3.400000,  20.250000, ,         0.0002083007} 
{  90.000000, -3.400000,  23.750000, ,         0.0001612413} 
{  90.000000, -3.400000,  27.250000, ,         0.0001270607} 
{  90.000000, -3.400000,  30.800000, ,         0.0001042350} 
{  90.000000, -3.400000,  36.500000, ,         0.0001622986} 
{  90.000000, -3.400000,  42.650000, ,         0.0000655522} 
{  90.000000, -3.400000,  47.550000, ,         0.0000585650} 
{  90.000000, -3.400000,  53.300000, ,         0.0000489884} 
{  90.000000, -3.400000,  60.150000, ,         0.0000631648} 
{  90.000000, -3.400000,  68.650000, ,         0.0000306717} 
{  90.000000, -3.400000,  79.400000, ,         0.0000099483} 
{  90.000000, -3.400000,  95.200000, ,         0.0000419671} 
{  90.000000, -3.400000,  118.500000, ,         0.0000763758} 
{  90.000000, -3.400000,  152.500000, ,         0.0001308676} 
{  90.000000, -3.400000,  213.000000, ,         0.0002620707} 
{  90.000000, -3.400000,  326.500000, ,         0.0004278005} 
{  90.000000, -3.000000,  1.250000, ,         0.0001077293} 
{  90.000000, -3.000000,  3.750000, ,         0.0008701150} 
{  90.000000, -3.000000,  6.500000, ,         0.0004028055} 
{  90.000000, -3.000000,  9.700000, ,         0.0003250004} 
{  90.000000, -3.000000,  13.150000, ,         0.0002405624} 
{  90.000000, -3.000000,  16.700000, ,         0.0003666042} 
{  90.000000, -3.000000,  20.250000, ,         0.0002708006} 
{  90.000000, -3.000000,  23.750000, ,         0.0002115067} 
{  90.000000, -3.000000,  27.250000, ,         0.0001681564} 
{  90.000000, -3.000000,  30.800000, ,         0.0001389299} 
{  90.000000, -3.000000,  36.500000, ,         0.0002173552} 
{  90.000000, -3.000000,  42.650000, ,         0.0000888997} 
{  90.000000, -3.000000,  47.550000, ,         0.0000798224} 
{  90.000000, -3.000000,  53.300000, ,         0.0001176454} 
{  90.000000, -3.000000,  60.150000, ,         0.0000793712} 
{  90.000000, -3.000000,  68.650000, ,         0.0000465901} 
{  90.000000, -3.000000,  79.400000, ,         0.0000344422} 
{  90.000000, -3.000000,  95.200000, ,         0.0000194505} 
{  90.000000, -3.000000,  118.500000, ,         0.0000670950} 
{  90.000000, -3.000000,  152.500000, ,         0.0001397321} 
{  90.000000, -3.000000,  213.000000, ,         0.0001388249} 
{  90.000000, -3.000000,  326.500000, ,         0.0002370460} 
{  90.000000, -2.600000,  1.250000, ,         0.0001395075} 
{  90.000000, -2.600000,  3.750000, ,         0.0014041581} 
{  90.000000, -2.600000,  6.500000, ,         0.0012398145} 
{  90.000000, -2.600000,  9.700000, ,         0.0009545659} 
{  90.000000, -2.600000,  13.150000, ,         0.0006841191} 
{  90.000000, -2.600000,  16.700000, ,         0.0005088339} 
{  90.000000, -2.600000,  20.250000, ,         0.0003702971} 
{  90.000000, -2.600000,  23.750000, ,         0.0002853320} 
{  90.000000, -2.600000,  27.250000, ,         0.0002238257} 
{  90.000000, -2.600000,  30.800000, ,         0.0001823797} 
{  90.000000, -2.600000,  36.500000, ,         0.0002790325} 
{  90.000000, -2.600000,  42.650000, ,         0.0001101873} 
{  90.000000, -2.600000,  47.550000, ,         0.0000967099} 
{  90.000000, -2.600000,  53.300000, ,         0.0001328202} 
{  90.000000, -2.600000,  60.150000, ,         0.0000879197} 
{  90.000000, -2.600000,  68.650000, ,         0.0000913817} 
{  90.000000, -2.600000,  79.400000, ,         0.0000416572} 
{  90.000000, -2.600000,  95.200000, ,         0.0000025890} 
{  90.000000, -2.600000,  118.500000, ,         0.0000705893} 
{  90.000000, -2.600000,  152.500000, ,         0.0002291114} 
{  90.000000, -2.600000,  213.000000, ,         0.0004566090} 
{  90.000000, -2.600000,  326.500000, ,         0.0007258774} 
{  90.000000, -2.200000,  1.250000, ,         0.0001396586} 
{  90.000000, -2.200000,  3.750000, ,         0.0008283467} 
{  90.000000, -2.200000,  6.500000, ,         0.0008820158} 
{  90.000000, -2.200000,  9.700000, ,         0.0007297977} 
{  90.000000, -2.200000,  13.150000, ,         0.0005464570} 
{  90.000000, -2.200000,  16.700000, ,         0.0004200651} 
{  90.000000, -2.200000,  20.250000, ,         0.0003142474} 
{  90.000000, -2.200000,  23.750000, ,         0.0002481860} 
{  90.000000, -2.200000,  27.250000, ,         0.0001993596} 
{  90.000000, -2.200000,  30.800000, ,         0.0001664075} 
{  90.000000, -2.200000,  36.500000, ,         0.0002650375} 
{  90.000000, -2.200000,  42.650000, ,         0.0001101557} 
{  90.000000, -2.200000,  47.550000, ,         0.0001923518} 
{  90.000000, -2.200000,  53.300000, ,         0.0001545461} 
{  90.000000, -2.200000,  60.150000, ,         0.0001134390} 
{  90.000000, -2.200000,  68.650000, ,         0.0001117334} 
{  90.000000, -2.200000,  79.400000, ,         0.0000537832} 
{  90.000000, -2.200000,  95.200000, ,         0.0000149308} 
{  90.000000, -2.200000,  118.500000, ,         0.0000563372} 
{  90.000000, -2.200000,  152.500000, ,         0.0001263060} 
{  90.000000, -2.200000,  213.000000, ,         0.0002936757} 
{  90.000000, -2.200000,  326.500000, ,         0.0005057037} 
{  90.000000, -1.800000,  1.250000, ,         0.0001929052} 
{  90.000000, -1.800000,  3.750000, ,         0.0003998740} 
{  90.000000, -1.800000,  6.500000, ,         0.0004294893} 
{  90.000000, -1.800000,  9.700000, ,         0.0003549732} 
{  90.000000, -1.800000,  13.150000, ,         0.0011185644} 
{  90.000000, -1.800000,  16.700000, ,         0.0008231581} 
{  90.000000, -1.800000,  20.250000, ,         0.0005917190} 
{  90.000000, -1.800000,  23.750000, ,         0.0004498148} 
{  90.000000, -1.800000,  27.250000, ,         0.0003475234} 
{  90.000000, -1.800000,  30.800000, ,         0.0003001248} 
{  90.000000, -1.800000,  36.500000, ,         0.0004472691} 
{  90.000000, -1.800000,  42.650000, ,         0.0001699520} 
{  90.000000, -1.800000,  47.550000, ,         0.0001430395} 
{  90.000000, -1.800000,  53.300000, ,         0.0001092566} 
{  90.000000, -1.800000,  60.150000, ,         0.0000721432} 
