------------------------------------------
Welcome to SCETlib -- Don't Stop Resummin'
------------------------------------------
SCETlib version      1973dcf

Read runcard inclusive_Z_CT18Z_nplambda_n3lo_sing.ini
Using custom EW parameters.
{'muB': 'central', 'nuB': 'central', 'muS': 'central', 'nuS': 'central', 'muf': 'central', 'muFO_fixed': '0.', 'kappaFO': '1.', 'kappaf': '1.', 'phase_muH': '1.', 'b0_over_bmax': '0.', 'b0_over_bmax_global': '0.', 'mu0_min': '1.', 'muB_min': '1.', 'muS_min': '1.', 'nuS_min': '0.', 'muf_min': '1.40', 'lambda': '0.', 'transition_points': '[0.2, 0.6, 1.0]', 'transition_type': 'slope', 'recoil_scheme': 'collins_soper', 'compensate_fo': 'yes', 'c_nu': '0.1', 'omega_nu': '0.', 'b0_over_bmax_nu': '0.', 'Omega': '0.', 'Delta_Omega': '0.', 'Lambda2': '0.', 'Delta_Lambda2': '0.', 'Lambda4': '0.0625', 'Omega_Down': '0.', 'Lambda2_Down': '0.', 'Omega_DownBar': '0.', 'Lambda2_DownBar': '0.', 'Omega_Up': '0.', 'Lambda2_Up': '0.', 'Omega_UpBar': '0.', 'Lambda2_UpBar': '0.', 'Omega_Strange': '0.', 'Lambda2_Strange': '0.', 'Omega_StrangeBar': '0.', 'Lambda2_StrangeBar': '0.', 'Omega_Charm': '0.', 'Lambda2_Charm': '0.', 'Omega_CharmBar': '0.', 'Lambda2_CharmBar': '0.', 'Omega_Bottom': '0.', 'Lambda2_Bottom': '0.', 'Omega_BottomBar': '0.', 'Lambda2_BottomBar': '0.', 'Omega_Gluon': '0.', 'Lambda2_Gluon': '0.'}
Calculating central values only (no variations config file found).

Started job on Sun May 12 12:46:43 2024
Machine:              lxplus8s10.cern.ch
Number of threads:    128
Number of CUBA cores: 1
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 0.000000,  2.500000} in       0s. Obtained xsec =        -2.3207592607 +-         0.0001929052.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 0.000000,  2.500000} in       0s. Obtained xsec =        -2.0238712517 +-         0.0001396586.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 0.000000,  2.500000} in       1s. Obtained xsec =        -1.6875457148 +-         0.0001395075.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 0.000000,  2.500000} in       1s. Obtained xsec =        -1.3097083725 +-         0.0001077293.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 56.400000,  63.900000} in       1s. Obtained xsec =         0.6474016620 +-         0.0000631648.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 50.200000,  56.400000} in       1s. Obtained xsec =         1.1872534610 +-         0.0001176454.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 56.400000,  63.900000} in       1s. Obtained xsec =         0.9697564304 +-         0.0000793712.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 50.200000,  56.400000} in       1s. Obtained xsec =         1.4628148734 +-         0.0001328202.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 56.400000,  63.900000} in       1s. Obtained xsec =         1.2309622762 +-         0.0000879197.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 14.900000,  18.500000} in       1s. Obtained xsec =         8.6288627870 +-         0.0008231581.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 63.900000,  73.400000} in       1s. Obtained xsec =         0.9585821830 +-         0.0000913817.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 56.400000,  63.900000} in       1s. Obtained xsec =         1.4513490426 +-         0.0001134390.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 44.900000,  50.200000} in       1s. Obtained xsec =         1.9260945483 +-         0.0001923518.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 29.000000,  32.600000} in       1s. Obtained xsec =         3.4534458840 +-         0.0003001248.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 32.600000,  40.400000} in       1s. Obtained xsec =         5.5277898002 +-         0.0004472691.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 63.900000,  73.400000} in       1s. Obtained xsec =         1.3659370862 +-         0.0000613892.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 50.200000,  56.400000} in       1s. Obtained xsec =         1.9035384294 +-         0.0001092566.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 63.900000,  73.400000} in       1s. Obtained xsec =         1.1703083459 +-         0.0001117334.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 18.500000,  22.000000} in       1s. Obtained xsec =         6.4686720636 +-         0.0005917190.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 25.500000,  29.000000} in       1s. Obtained xsec =         4.1246276966 +-         0.0003475234.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 40.400000,  44.900000} in       1s. Obtained xsec =         2.3171555128 +-         0.0001699520.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 50.200000,  56.400000} in       1s. Obtained xsec =         1.6928228337 +-         0.0001545461.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 22.000000,  25.500000} in       1s. Obtained xsec =         5.1211801252 +-         0.0004498148.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 11.400000,  14.900000} in       1s. Obtained xsec =        11.2047165771 +-         0.0011185644.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 44.900000,  50.200000} in       1s. Obtained xsec =         2.1466401061 +-         0.0001430395.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 56.400000,  63.900000} in       1s. Obtained xsec =         1.6539932655 +-         0.0000721432.
   Finished Q = { 60.000000,  120.000000}, Y = {-4.000000, -3.600000}, qT = { 132.000000,  173.000000} in       1s. Obtained xsec =        -1.8089060541 +-         0.0001543875.
   Finished Q = { 60.000000,  120.000000}, Y = {-4.000000, -3.600000}, qT = { 253.000000,  400.000000} in       1s. Obtained xsec =        -5.5607680800 +-         0.0005028411.
   Finished Q = { 60.000000,  120.000000}, Y = {-4.000000, -3.600000}, qT = { 173.000000,  253.000000} in       1s. Obtained xsec =        -3.4993397464 +-         0.0002826727.
   Finished Q = { 60.000000,  120.000000}, Y = {-4.000000, -3.600000}, qT = { 2.500000,  5.000000} in       1s. Obtained xsec =        10.4458677153 +-         0.0007610269.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 32.600000,  40.400000} in       1s. Obtained xsec =         2.8844190549 +-         0.0001622986.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 29.000000,  32.600000} in       1s. Obtained xsec =         1.8777940517 +-         0.0001042350.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 11.400000,  14.900000} in       1s. Obtained xsec =         6.9922925840 +-         0.0003815490.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 5.000000,  8.000000} in       1s. Obtained xsec =        12.5988230839 +-         0.0006855615.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 8.000000,  11.400000} in       1s. Obtained xsec =         9.7426831760 +-         0.0005296841.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 18.500000,  22.000000} in       1s. Obtained xsec =         4.7833426449 +-         0.0002708006.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 63.900000,  73.400000} in       1s. Obtained xsec =         0.4204500262 +-         0.0000306717.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 11.400000,  14.900000} in       1s. Obtained xsec =         8.6189084433 +-         0.0002405624.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 44.900000,  50.200000} in       1s. Obtained xsec =         1.3928679462 +-         0.0000798224.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 85.400000,  105.000000} in       1s. Obtained xsec =        -0.4236184144 +-         0.0000419671.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 2.500000,  5.000000} in       1s. Obtained xsec =        13.9850416661 +-         0.0007864423.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 63.900000,  73.400000} in       1s. Obtained xsec =         0.7113504956 +-         0.0000465901.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 50.200000,  56.400000} in       1s. Obtained xsec =         0.8358844114 +-         0.0000489884.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 132.000000,  173.000000} in       1s. Obtained xsec =        -2.3176381938 +-         0.0001308676.
